outcome,model,purged_auc,n
recovery,GLOBAL,0.4518,3435
recovery,GLOBAL_PATCH,0.4942,3435
recovery,GLOBAL_PATCH_SHOCK,0.4979,3435
recovery,GLOBAL_PATCH_SHOCK_RELATIONAL,0.5054,3435
recovery,ALT_GLOBAL_RELATIONAL_DIRECT,0.4547,3435
recovery,ALT_RANK_RELATIONAL_NO_SHOCK,0.5334,3435
recovery,ALT_SHOCK_HEALTH_NO_RELATIONAL,0.4979,3435
contagion,GLOBAL,0.4719,3435
contagion,GLOBAL_PATCH,0.5221,3435
contagion,GLOBAL_PATCH_SHOCK,0.5412,3435
contagion,GLOBAL_PATCH_SHOCK_RELATIONAL,0.5418,3435
contagion,ALT_GLOBAL_RELATIONAL_DIRECT,0.4754,3435
contagion,ALT_RANK_RELATIONAL_NO_SHOCK,0.5415,3435
contagion,ALT_SHOCK_HEALTH_NO_RELATIONAL,0.5412,3435
decoupling,GLOBAL,0.5203,3435
decoupling,GLOBAL_PATCH,0.6086,3435
decoupling,GLOBAL_PATCH_SHOCK,0.61,3435
decoupling,GLOBAL_PATCH_SHOCK_RELATIONAL,0.6121,3435
decoupling,ALT_GLOBAL_RELATIONAL_DIRECT,0.5125,3435
decoupling,ALT_RANK_RELATIONAL_NO_SHOCK,0.6208,3435
decoupling,ALT_SHOCK_HEALTH_NO_RELATIONAL,0.61,3435
