dimension,level,n_events,false_loner_density,true_loner_density,note
rank_band,1001-1500,86,0.0976,0.9024,
rank_band,101-250,909,0.2562,0.735,
rank_band,1501-2000,37,0.0333,0.9667,
rank_band,251-500,648,0.1788,0.8175,
rank_band,26-100,926,0.3743,0.623,
rank_band,501-750,571,0.1398,0.8581,
rank_band,751-1000,470,0.0925,0.905,
volatility,V1,730,0.7286,0.2679,
volatility,V2,729,0.0873,0.9107,
volatility,V3,729,0.0361,0.9594,
volatility,V4,729,0.0298,0.9681,
volatility,V5,730,0.0268,0.9649,
absolute_move,10-20%,1280,0.0266,0.9698,
absolute_move,2-5%,220,0.4108,0.5838,
absolute_move,5-10%,601,0.098,0.8998,
absolute_move,<2%,504,0.9067,0.0907,
absolute_move,>20%,1042,0.0195,0.974,
sigma,2-3σ,2432,0.2072,0.79,
sigma,3-4σ,625,0.1835,0.8114,
sigma,4σ+,590,0.1885,0.8019,
field_cell4,HH,1143,0.2375,0.7603,
field_cell4,HL,564,0.1872,0.8075,
field_cell4,LH,501,0.141,0.8492,
field_cell4,LL,1439,0.1907,0.8059,
field_mcell6,M6_A,707,0.2414,0.7551,
field_mcell6,M6_B,436,0.23,0.77,
field_mcell6,M6_C,857,0.1898,0.8065,
field_mcell6,M6_D,244,0.1937,0.801,
field_mcell6,M6_E,902,0.1882,0.8081,
field_mcell6,M6_F,501,0.141,0.8492,
subtype,LOW_VOL_NORMALIZATION_ARTIFACT,233,0.0639,,median abs/peer values below
subtype_abs_peer_context,LOW_VOL_NORMALIZATION_ARTIFACT,233,0.0034,0.0018,
subtype,MIXED,168,0.0461,,median abs/peer values below
subtype_abs_peer_context,MIXED,168,0.0206,0.0099,
subtype,PEER_REORGANIZATION_EVENT,69,0.0189,,median abs/peer values below
subtype_abs_peer_context,PEER_REORGANIZATION_EVENT,69,0.0224,0.0148,
subtype,TRUE_SHARED_LOCAL_MOVE,25,0.0069,,median abs/peer values below
subtype_abs_peer_context,TRUE_SHARED_LOCAL_MOVE,25,0.064,0.0329,
