condition,level,n,p_rejoin_30d,p_rehabilitate,p_decoupling_30d,p_contagion_7d,p_isolated_30d,median_membership_turnover,median_abs_shock
OVERALL,ALL,2462,0.1154,0.4444,0.1665,0.3461,0.3883,0.9474,0.1213
RANK_DEPTH,DEEP,512,0.1113,0.4355,0.1387,0.3633,0.2422,1.0,0.165
RANK_DEPTH,MID,1002,0.1048,0.489,0.1407,0.3453,0.3782,1.0,0.1337
RANK_DEPTH,SHALLOW,948,0.1287,0.4019,0.2089,0.3376,0.4778,0.8235,0.0884
FIELD_CELL6,M6_A,584,0.1164,0.4315,0.214,0.3271,0.3168,0.9474,0.1334
FIELD_CELL6,M6_B,313,0.1214,0.4728,0.1629,0.2812,0.3419,0.9474,0.1202
FIELD_CELL6,M6_C,527,0.1157,0.4326,0.1556,0.3719,0.4516,0.9474,0.1212
FIELD_CELL6,M6_D,191,0.1099,0.4031,0.1571,0.3717,0.3822,0.9474,0.1079
FIELD_CELL6,M6_E,542,0.107,0.4446,0.1531,0.3653,0.441,0.9474,0.1043
FIELD_CELL6,M6_F,305,0.1246,0.4852,0.1279,0.3541,0.3738,0.9474,0.1401
ABS_CLASS,10-20%,828,0.1232,0.5193,0.1292,0.3418,0.4553,0.9474,0.1407
ABS_CLASS,2-5%,185,0.1243,0.373,0.2595,0.2919,0.4757,0.8889,0.0346
ABS_CLASS,5-10%,459,0.1198,0.4575,0.1612,0.3007,0.4619,0.9474,0.077
ABS_CLASS,<2%,375,0.1493,0.1707,0.32,0.3867,0.1227,0.6667,0.0041
ABS_CLASS,>20%,615,0.078,0.522,0.0992,0.3772,0.3789,1.0,0.2902
