surface,abs_class,metric,n_days,n_cells,cells,between_cell_std,pooled_within_cell_std,between_within_ratio,kruskal_p,cell_medians
CELL6,2-5%,turnover,330761,6,M6_A;M6_B;M6_C;M6_D;M6_E;M6_F,0.0196,0.1768,0.1109,,1.0;1.0;1.0;1.0;1.0;0.9474
CELL6,2-5%,decoupling,330761,6,M6_A;M6_B;M6_C;M6_D;M6_E;M6_F,0.0,0.4615,0.0,,0.0;0.0;0.0;0.0;0.0;0.0
CELL6,2-5%,contagion,330761,6,M6_A;M6_B;M6_C;M6_D;M6_E;M6_F,0.0,0.4228,0.0,,0.0;0.0;0.0;0.0;0.0;0.0
CELL6,5-10%,turnover,180608,6,M6_A;M6_B;M6_C;M6_D;M6_E;M6_F,0.0,0.1671,0.0,,1.0;1.0;1.0;1.0;1.0;1.0
CELL6,5-10%,decoupling,180608,6,M6_A;M6_B;M6_C;M6_D;M6_E;M6_F,0.0,0.4578,0.0,,0.0;0.0;0.0;0.0;0.0;0.0
CELL6,5-10%,contagion,180608,6,M6_A;M6_B;M6_C;M6_D;M6_E;M6_F,0.0,0.4326,0.0,,0.0;0.0;0.0;0.0;0.0;0.0
CELL6,10-20%,turnover,74794,6,M6_A;M6_B;M6_C;M6_D;M6_E;M6_F,0.0,0.1477,0.0,,1.0;1.0;1.0;1.0;1.0;1.0
CELL6,10-20%,decoupling,74794,6,M6_A;M6_B;M6_C;M6_D;M6_E;M6_F,0.0,0.4434,0.0,,0.0;0.0;0.0;0.0;0.0;0.0
CELL6,10-20%,contagion,74794,6,M6_A;M6_B;M6_C;M6_D;M6_E;M6_F,0.0,0.4496,0.0,,0.0;0.0;0.0;0.0;0.0;0.0
CELL6,>20%,turnover,35382,6,M6_A;M6_B;M6_C;M6_D;M6_E;M6_F,0.0,0.1221,0.0,,1.0;1.0;1.0;1.0;1.0;1.0
CELL6,>20%,decoupling,35382,6,M6_A;M6_B;M6_C;M6_D;M6_E;M6_F,0.0,0.4319,0.0,,0.0;0.0;0.0;0.0;0.0;0.0
CELL6,>20%,contagion,35382,6,M6_A;M6_B;M6_C;M6_D;M6_E;M6_F,0.0,0.4588,0.0,,0.0;0.0;0.0;0.0;0.0;0.0
CELL4,2-5%,turnover,330761,4,HH;HL;LH;LL,0.0228,0.1769,0.1288,,1.0;1.0;0.9474;1.0
CELL4,2-5%,decoupling,330761,4,HH;HL;LH;LL,0.0,0.4614,0.0,,0.0;0.0;0.0;0.0
CELL4,2-5%,contagion,330761,4,HH;HL;LH;LL,0.0,0.4226,0.0,,0.0;0.0;0.0;0.0
CELL4,5-10%,turnover,180608,4,HH;HL;LH;LL,0.0,0.1663,0.0,,1.0;1.0;1.0;1.0
CELL4,5-10%,decoupling,180608,4,HH;HL;LH;LL,0.0,0.4577,0.0,,0.0;0.0;0.0;0.0
CELL4,5-10%,contagion,180608,4,HH;HL;LH;LL,0.0,0.4325,0.0,,0.0;0.0;0.0;0.0
CELL4,10-20%,turnover,74794,4,HH;HL;LH;LL,0.0,0.1478,0.0,,1.0;1.0;1.0;1.0
CELL4,10-20%,decoupling,74794,4,HH;HL;LH;LL,0.0,0.4446,0.0,,0.0;0.0;0.0;0.0
CELL4,10-20%,contagion,74794,4,HH;HL;LH;LL,0.0,0.4492,0.0,,0.0;0.0;0.0;0.0
CELL4,>20%,turnover,35382,4,HH;HL;LH;LL,0.0,0.1217,0.0,,1.0;1.0;1.0;1.0
CELL4,>20%,decoupling,35382,4,HH;HL;LH;LL,0.0,0.4329,0.0,,0.0;0.0;0.0;0.0
CELL4,>20%,contagion,35382,4,HH;HL;LH;LL,0.0,0.4594,0.0,,0.0;0.0;0.0;0.0
