transfer,subperiod,n,gain_slope,ed50_abs_threshold,mean_forcing
abs_to_turnover,2020-2021,850,2.727,0.1572,0.932
abs_to_turnover,2022,629,0.1201,3.3656,-1.1131
abs_to_turnover,2023,491,-0.0043,-142.2529,-0.336
abs_to_turnover,2024,657,0.1615,2.763,0.1068
abs_to_turnover,2025-2026,1020,0.5561,0.9377,-0.2448
abs_to_decoupling,2020-2021,850,-0.0,-46309.1931,0.932
abs_to_decoupling,2022,629,0.1494,6.004,-1.1131
abs_to_decoupling,2023,491,0.4758,1.7244,-0.336
abs_to_decoupling,2024,657,0.0045,202.954,0.1068
abs_to_decoupling,2025-2026,1020,-0.0051,-224.7924,-0.2448
abs_to_contagion,2020-2021,850,-0.0,-42443.2724,0.932
abs_to_contagion,2022,629,-0.9657,-0.7347,-1.1131
abs_to_contagion,2023,491,-0.3285,-2.743,-0.336
abs_to_contagion,2024,657,-0.3074,-3.5556,0.1068
abs_to_contagion,2025-2026,1020,-0.0978,-8.9435,-0.2448
abs_to_rejoin,2020-2021,850,-0.3989,-4.3213,0.932
abs_to_rejoin,2022,629,-0.0474,-38.3324,-1.1131
abs_to_rejoin,2023,491,-0.6716,-2.8571,-0.336
abs_to_rejoin,2024,657,-0.4062,-4.1724,0.1068
abs_to_rejoin,2025-2026,1020,-0.067,-26.2696,-0.2448
