health_cell,n,rel_state_composition,top_relational_state,p_top_state,membership_stable_share,membership_rotating_share,field_cell4_mode
PRICE_DOWN_RANK_DOWN,984,REORGANIZING:0.4177;DECOUPLED:0.3506;LOCALLY_CONFORMING:0.1209;REHABILITATING:0.0305;TRUE_ISOLATED:0.0254;PEER_STRESSED:0.0203;FALSE_ISOLATED:0.0132;CONTAGIOUS:0.0122;REJOINING:0.0091,REORGANIZING,0.4177,0.3435,0.3201,LL
PRICE_DOWN_RANK_UP,990,REORGANIZING:0.402;DECOUPLED:0.3828;LOCALLY_CONFORMING:0.0949;REHABILITATING:0.0394;TRUE_ISOLATED:0.0323;FALSE_ISOLATED:0.0152;PEER_STRESSED:0.0152;CONTAGIOUS:0.0111;REJOINING:0.0071,REORGANIZING,0.402,0.3717,0.303,LL
PRICE_UP_RANK_DOWN,598,REORGANIZING:0.4114;DECOUPLED:0.388;LOCALLY_CONFORMING:0.0936;TRUE_ISOLATED:0.0485;REHABILITATING:0.0217;PEER_STRESSED:0.0151;FALSE_ISOLATED:0.0084;CONTAGIOUS:0.0084;REJOINING:0.005,REORGANIZING,0.4114,0.3612,0.3244,LL
PRICE_UP_RANK_UP,1075,REORGANIZING:0.466;DECOUPLED:0.3944;LOCALLY_CONFORMING:0.0419;TRUE_ISOLATED:0.0363;CONTAGIOUS:0.0177;PEER_STRESSED:0.0167;REHABILITATING:0.0112;REJOINING:0.0102;FALSE_ISOLATED:0.0037;DISLOCATED_UNCLASSIFIED:0.0019,REORGANIZING,0.466,0.2726,0.3786,LL
