date,direction,session_pnl_pips,n_lots,tier,exit_reason,year
2024-01-08,-1,-29.42000000000011,2,T2,hard_exit_12pm,2024
2024-01-09,-1,-9.705000000001128,3,T1,opposite_p90_exit,2024
2024-01-09,-1,-25.194999999999244,5,T1,stopped_out,2024
2024-01-09,-1,-41.83500000000045,7,T1,stopped_out,2024
2024-01-10,1,-12.960000000001969,2,T1,stopped_out,2024
2024-01-10,1,-2.9350000000019065,4,T1,tp2,2024
2024-01-15,-1,1.1799999999982944,2,T2,hard_exit_12pm,2024
2024-01-18,-1,13.339999999999353,2,T2,tp2,2024
2024-01-22,-1,-19.399999999998418,2,T2,stopped_out,2024
2024-01-25,1,-11.810000000005537,2,T1,stopped_out,2024
2024-01-25,-1,-0.6600000000058763,4,T1,tp2,2024
2024-01-26,-1,8.149999999999991,2,T1,tp2,2024
2024-01-26,-1,3.850000000000577,4,T1,stopped_out,2024
2024-01-26,-1,-10.950000000001012,6,T1,stopped_out,2024
2024-01-26,-1,-22.99000000000095,8,T1,stopped_out,2024
2024-01-26,1,-14.840000000000959,10,T1,tp2,2024
2024-01-26,1,-31.01999999999782,12,T1,stopped_out,2024
2024-01-26,1,-22.86999999999783,14,T1,tp2,2024
2024-01-26,1,-45.71999999999886,16,T1,stopped_out,2024
2024-01-29,-1,7.849999999998026,2,T1,tp2,2024
2024-01-30,1,-17.329999999999956,2,T2,stopped_out,2024
2024-01-31,-1,-23.080000000002098,2,T3,stopped_out,2024
2024-02-01,-1,13.925000000001187,2,T1,tp2,2024
2024-02-01,-1,12.300000000002644,4,T1,opposite_p90_exit,2024
2024-02-01,-1,-0.6599999999971047,6,T1,stopped_out,2024
2024-02-02,1,-0.5349999999993962,2,T1,opposite_p90_exit,2024
2024-02-02,-1,12.340000000001574,4,T1,tp2,2024
2024-02-05,-1,13.174999999998494,2,T1,tp2,2024
2024-02-05,-1,18.83500000000127,4,T1,hard_exit_12pm,2024
2024-02-06,1,-14.27499999999926,2,T1,hard_exit_12pm,2024
2024-02-08,-1,11.179999999999414,2,T2,tp2,2024
2024-02-09,-1,5.975000000002396,2,T1,tp2,2024
2024-02-09,1,11.950000000002571,4,T1,tp2,2024
2024-02-13,-1,10.025000000002283,2,T1,tp2,2024
2024-02-13,-1,20.050000000002346,4,T1,tp2,2024
2024-02-14,-1,7.699999999997043,2,T1,tp2,2024
2024-02-15,1,7.174999999999155,2,T1,tp2,2024
2024-02-15,1,14.35000000000053,4,T1,tp2,2024
2024-02-16,-1,13.47500000000046,2,T1,tp2,2024
2024-02-20,1,13.174999999998494,2,T1,tp2,2024
2024-02-21,-1,-13.190000000005252,2,T1,stopped_out,2024
2024-02-27,1,-12.270000000003222,2,T1,stopped_out,2024
2024-02-29,1,-14.339999999995023,2,T1,stopped_out,2024
2024-02-29,1,-4.989999999996051,4,T1,tp2,2024
2024-03-07,-1,10.250000000000426,2,T1,tp2,2024
2024-03-07,-1,20.500000000000853,4,T1,tp2,2024
2024-03-08,-1,8.974999999999845,2,T1,tp2,2024
2024-03-08,1,17.94999999999969,4,T1,tp2,2024
2024-03-11,1,-11.809999999998876,2,T2,stopped_out,2024
2024-03-12,1,-18.939999999998513,2,T1,stopped_out,2024
2024-03-14,-1,10.925000000001518,2,T1,tp2,2024
2024-03-29,-1,-11.809999999998876,2,T2,stopped_out,2024
2024-04-01,-1,-11.809999999998876,2,T1,stopped_out,2024
2024-04-03,1,-16.639999999996768,2,T1,stopped_out,2024
2024-04-05,-1,11.419999999999654,2,T2,tp2,2024
2024-04-10,-1,5.900000000000794,2,T1,tp2,2024
2024-04-10,-1,11.800000000001589,4,T1,tp2,2024
2024-04-10,-1,17.700000000002383,6,T1,tp2,2024
2024-04-12,-1,12.94999999999813,2,T1,tp2,2024
2024-04-12,-1,12.839999999998188,4,T1,opposite_p90_exit,2024
2024-04-12,-1,25.78999999999854,6,T1,tp2,2024
2024-04-12,-1,10.06999999999714,8,T1,stopped_out,2024
2024-04-15,1,-11.580000000004475,2,T2,stopped_out,2024
2024-04-18,-1,10.999999999998678,2,T1,tp2,2024
2024-04-23,1,27.776000000001467,2,T1,kill_switch_132,2024
2024-04-23,1,34.95100000000062,4,T1,tp2,2024
2024-04-23,1,27.476000000003722,6,T1,opposite_p90_exit,2024
2024-04-26,1,-13.190000000003032,2,T1,stopped_out,2024
2024-04-26,1,-4.290000000002568,4,T1,tp2,2024
2024-05-02,1,-47.04999999999865,3,T1,opposite_p90_exit,2024
2024-05-02,-1,-36.199999999998724,5,T1,tp2,2024
2024-05-03,1,11.974999999999515,2,T1,tp2,2024
2024-05-03,1,23.95000000000125,4,T1,tp2,2024
2024-05-03,1,18.55000000000129,6,T1,stopped_out,2024
2024-05-09,1,6.049999999999557,2,T1,tp2,2024
2024-05-14,-1,-11.809999999998876,2,T1,stopped_out,2024
2024-05-14,1,-5.83499999999648,4,T1,tp2,2024
2024-05-15,1,10.099999999999444,2,T1,tp2,2024
2024-05-17,-1,-14.624999999999332,2,T1,hard_exit_12pm,2024
2024-05-23,-1,-19.099999999998673,2,T1,opposite_p90_exit,2024
2024-05-29,-1,12.27500000000148,2,T1,tp2,2024
2024-05-29,-1,-0.9150000000037721,4,T1,stopped_out,2024
2024-05-30,1,9.424999999998352,2,T1,tp2,2024
2024-05-30,1,18.849999999998925,4,T1,tp2,2024
2024-06-04,-1,8.124999999994166,4,T1,tp2,2024
2024-06-07,-1,7.324999999997917,2,T1,tp2,2024
2024-06-11,-1,10.924999999999297,2,T1,tp2,2024
2024-06-11,-1,21.849999999998595,4,T1,tp2,2024
2024-06-11,-1,36.524999999996865,7,T1,tp2,2024
2024-06-12,1,5.675000000000431,2,T1,tp2,2024
2024-06-12,1,-10.024999999998172,4,T1,stopped_out,2024
2024-06-12,1,-4.349999999997742,6,T1,tp2,2024
2024-06-13,-1,8.524999999999118,2,T1,tp2,2024
2024-06-14,-1,-15.489999999995895,2,T1,stopped_out,2024
2024-06-14,-1,-8.089999999994156,4,T1,tp2,2024
2024-06-14,-1,-0.6899999999946367,6,T1,tp2,2024
2024-06-14,-1,-2.689999999992306,8,T1,opposite_p90_exit,2024
2024-06-14,-1,4.710000000007213,10,T1,tp2,2024
2024-06-14,-1,12.110000000006732,12,T1,tp2,2024
2024-06-17,-1,-15.67500000000177,2,T1,opposite_p90_exit,2024
2024-06-19,-1,4.40000000000207,2,T1,tp2,2024
2024-06-19,-1,-10.599999999996388,4,T1,hard_exit_12pm,2024
2024-06-20,-1,-11.149999999997661,2,T1,hard_exit_12pm,2024
2024-06-21,-1,12.049999999998896,2,T1,tp2,2024
2024-06-21,-1,32.69999999999746,5,T1,tp2,2024
2024-06-21,-1,44.749999999996355,7,T1,tp2,2024
2024-06-27,1,4.950000000001232,2,T1,hard_exit_12pm,2024
2024-06-28,1,-17.559999999996577,2,T2,stopped_out,2024
2024-07-01,1,3.1900000000016924,2,T3,opposite_p90_exit,2024
2024-07-01,1,-15.290000000001356,4,T3,stopped_out,2024
2024-07-02,-1,-12.039999999999939,2,T1,stopped_out,2024
2024-07-03,1,10.250000000000426,2,T1,tp2,2024
2024-07-05,1,-20.090000000001606,2,T1,stopped_out,2024
2024-07-05,1,-51.31000000000019,4,T1,hard_exit_12pm,2024
2024-07-08,1,-13.650000000000716,2,T3,stopped_out,2024
2024-07-11,1,-9.20000000000043,2,T1,stopped_out,2024
2024-07-12,1,7.4750000000011205,2,T1,tp2,2024
2024-07-16,1,-15.199999999999768,2,T1,opposite_p90_exit,2024
2024-07-17,1,7.550000000000502,2,T1,tp2,2024
2024-07-17,1,15.099999999998783,4,T1,tp2,2024
2024-07-17,1,22.649999999997064,6,T1,tp2,2024
2024-07-18,-1,6.049999999999557,2,T1,tp2,2024
2024-07-19,-1,10.699999999998933,2,T1,tp2,2024
2024-07-19,-1,14.099999999996673,4,T1,hard_exit_12pm,2024
2024-07-23,-1,7.4749999999989,2,T1,tp2,2024
2024-07-23,-1,14.9499999999978,4,T1,tp2,2024
2024-07-24,-1,8.375000000000355,2,T1,tp2,2024
2024-07-25,1,5.824999999999193,2,T1,tp2,2024
2024-07-30,1,7.174999999999155,2,T1,tp2,2024
2024-07-30,-1,-10.615000000005146,4,T1,stopped_out,2024
2024-07-31,1,12.080000000000869,2,T2,tp2,2024
2024-08-01,-1,9.27499999999737,2,T1,tp2,2024
2024-08-01,-1,18.54999999999696,4,T1,tp2,2024
2024-08-01,-1,27.82499999999433,6,T1,tp2,2024
2024-08-02,1,-4.975000000000506,2,T1,opposite_p90_exit,2024
2024-08-02,1,6.699999999999264,4,T1,tp2,2024
2024-08-02,1,18.375000000001254,6,T1,tp2,2024
2024-08-06,-1,3.324999999998358,2,T1,opposite_p90_exit,2024
2024-08-06,-1,16.799999999998818,4,T1,tp2,2024
2024-08-06,-1,30.274999999997057,6,T1,tp2,2024
2024-08-08,1,-12.959999999999749,2,T1,stopped_out,2024
2024-08-08,-1,0.2150000000009662,4,T1,tp2,2024
2024-08-08,-1,13.390000000001681,6,T1,tp2,2024
2024-08-13,-1,8.07500000000283,2,T1,tp2,2024
2024-08-13,1,16.15000000000344,4,T1,tp2,2024
2024-08-14,1,11.524999999998787,2,T1,tp2,2024
2024-08-14,1,-2.299999999999745,4,T1,opposite_p90_exit,2024
2024-08-15,-1,8.524999999999118,2,T1,tp2,2024
2024-08-20,1,8.449999999999736,2,T1,tp2,2024
2024-08-21,-1,-0.7999999999986898,2,T1,hard_exit_12pm,2024
2024-08-22,-1,-6.60000000000116,2,T1,stopped_out,2024
2024-08-26,-1,12.199999999999878,2,T2,tp2,2024
2024-08-30,1,-12.959999999999749,2,T1,stopped_out,2024
2024-08-30,1,-29.369999999997674,4,T1,stopped_out,2024
