dir,var,entry,sl,tp,pnl,res
LONG,INITIAL,1.08874,1.0885700000000003,1.09033,-1.7,SL
LONG,INITIAL,1.09009,1.0896139999999999,1.09089,-4.8,SL
LONG,INITIAL,1.0872600000000001,1.0871200000000003,1.08888,16.2,TP
LONG,INITIAL,1.08808,1.0876419999999998,1.08872,6.4,TP
SHORT,CASCADE,1.08846,1.0885264000000001,1.08772,-0.7,SL
LONG,INITIAL,1.0901,1.0896779999999997,1.09157,14.7,TP
LONG,INITIAL,1.12101,1.1205459999999998,1.12191,-4.6,SL
LONG,INITIAL,1.12134,1.120924,1.12242,10.8,TP
SHORT,INITIAL,1.12447,1.1245599999999998,1.12324,-0.9,SL
LONG,INITIAL,1.12419,1.1241839999999999,1.12546,12.7,TP
LONG,INITIAL,1.1223,1.1219400000000004,1.12315,-3.6,SL
LONG,INITIAL,1.11989,1.1193279999999997,1.12221,23.2,TP
LONG,INITIAL,1.11181,1.1117100000000002,1.11303,12.2,TP
LONG,INITIAL,1.10447,1.1043599999999996,1.1054599999999999,-1.1,SL
SHORT,INITIAL,1.10181,1.1021759999999998,1.10079,10.2,TP
SHORT,INITIAL,1.10239,1.102474,1.10144,-0.8,SL
LONG,INITIAL,1.09613,1.095866,1.09833,-2.6,SL
SHORT,INITIAL,1.09521,1.0953699999999995,1.09394,12.7,TP
LONG,INITIAL,1.09428,1.0940240000000003,1.09519,-2.6,SL
SHORT,INITIAL,1.09939,1.099868,1.09637,-4.8,SL
SHORT,INITIAL,1.09904,1.0992599999999997,1.09794,-2.2,SL
LONG,CASCADE,1.09795,1.0978932,1.09875,-0.6,SL
SHORT,INITIAL,1.10081,1.1011220000000004,1.09989,9.2,TP
LONG,INITIAL,1.09633,1.0962179999999997,1.09767,-1.1,SL
LONG,CASCADE,1.09372,1.09357,1.09483,-1.5,SL
LONG,INITIAL,1.09727,1.096702,1.09789,-5.7,SL
SHORT,INITIAL,1.1027,1.102994,1.10053,-2.9,SL
LONG,INITIAL,1.0918,1.0912780000000004,1.09295,-5.2,SL
SHORT,INITIAL,1.09469,1.0950259999999998,1.09221,-3.4,SL
SHORT,INITIAL,1.08864,1.088682,1.08734,13.0,TP
SHORT,INITIAL,1.08938,1.089402,1.08828,-0.2,SL
SHORT,INITIAL,1.08319,1.0834859999999995,1.08221,-3.0,SL
SHORT,INITIAL,1.08026,1.0803379999999998,1.07893,-0.8,SL
SHORT,INITIAL,1.08209,1.0821159999999999,1.08073,13.6,TP
SHORT,INITIAL,1.08028,1.080424,1.07939,-1.4,SL
SHORT,INITIAL,1.07478,1.0749040000000003,1.07376,10.2,TP
LONG,INITIAL,1.07049,1.0702220000000002,1.07163,-2.7,SL
LONG,INITIAL,1.07145,1.0711160000000002,1.07237,9.2,TP
SHORT,INITIAL,1.07442,1.0759380000000005,1.07431,1.1,TP
SHORT,INITIAL,1.0664,1.0665540000000002,1.06563,-1.5,SL
SHORT,INITIAL,1.06724,1.0674940000000004,1.06624,10.0,TP
SHORT,INITIAL,1.06984,1.0699599999999998,1.06864,-1.2,SL
SHORT,INITIAL,1.06531,1.0661799999999997,1.06442,8.9,TP
LONG,INITIAL,1.05714,1.0570399999999998,1.05825,-1.0,SL
SHORT,INITIAL,1.05934,1.0598399999999997,1.05852,-5.0,SL
SHORT,INITIAL,1.04712,1.0476379999999996,1.04656,-5.2,SL
SHORT,INITIAL,1.05218,1.052184,1.05115,-0.0,SL
SHORT,INITIAL,1.05542,1.0555340000000004,1.05428,-1.1,SL
LONG,INITIAL,1.05309,1.0527560000000002,1.05445,-3.3,SL
SHORT,INITIAL,1.05466,1.054662,1.0531,-0.0,SL
SHORT,INITIAL,1.06217,1.062384,1.06091,12.6,TP
LONG,CASCADE,1.05958,1.0587468,1.05999,4.1,TP
LONG,INITIAL,1.05299,1.0529739999999999,1.05425,-0.2,SL
SHORT,INITIAL,1.05346,1.053842,1.05294,5.2,TP
SHORT,INITIAL,1.05667,1.0568739999999999,1.05474,-2.0,SL
LONG,INITIAL,1.05581,1.055406,1.05644,-4.0,SL
SHORT,INITIAL,1.05712,1.057238,1.05517,-1.2,SL
LONG,INITIAL,1.06068,1.0605099999999996,1.06161,-1.7,SL
SHORT,INITIAL,1.06138,1.0615020000000006,1.05994,-1.2,SL
SHORT,INITIAL,1.06494,1.0656319999999997,1.06418,-6.9,SL
SHORT,INITIAL,1.07188,1.0723779999999998,1.07009,-5.0,SL
SHORT,INITIAL,1.07494,1.0750860000000002,1.07403,-1.5,SL
SHORT,INITIAL,1.06762,1.067848,1.06644,11.8,TP
LONG,INITIAL,1.06803,1.067968,1.06931,-0.6,SL
SHORT,INITIAL,1.08617,1.086344,1.08531,-1.7,SL
SHORT,INITIAL,1.09357,1.0937120000000002,1.09226,-1.4,SL
LONG,CASCADE,1.09263,1.0925836000000004,1.09339,7.6,TP
LONG,INITIAL,1.09008,1.0899999999999999,1.09099,-0.8,SL
LONG,INITIAL,1.0907499999999999,1.0897400000000002,1.09084,0.9,TP
LONG,CASCADE,1.0911,1.09085,1.09169,-2.5,SL
SHORT,INITIAL,1.0915300000000001,1.0921619999999996,1.09093,6.0,TP
LONG,INITIAL,1.09855,1.0984460000000005,1.09959,-1.0,SL
LONG,CASCADE,1.09739,1.0969892000000003,1.09793,-4.0,SL
SHORT,INITIAL,1.07964,1.0802180000000003,1.07892,7.2,TP
LONG,INITIAL,1.07654,1.0762359999999997,1.0776,10.6,TP
LONG,INITIAL,1.07696,1.0769099999999996,1.07801,-0.5,SL
LONG,CASCADE,1.0738,1.0737079999999999,1.07564,18.4,TP
LONG,INITIAL,1.07562,1.0753679999999999,1.07649,8.7,TP
SHORT,INITIAL,1.07962,1.0796440000000005,1.07817,-0.2,SL
LONG,INITIAL,1.07884,1.078206,1.07968,-6.3,SL
LONG,INITIAL,1.09583,1.0953020000000002,1.09671,-5.3,SL
LONG,INITIAL,1.09516,1.0949679999999997,1.09642,-1.9,SL
SHORT,INITIAL,1.10074,1.1009799999999998,1.09988,-2.4,SL
LONG,INITIAL,1.10591,1.1058199999999998,1.10703,-0.9,SL
LONG,INITIAL,1.10516,1.10487,1.1063,-2.9,SL
SHORT,INITIAL,1.09532,1.0956620000000001,1.09454,-3.4,SL
LONG,CASCADE,1.09389,1.0935587999999998,1.09455,6.6,TP
LONG,INITIAL,1.09147,1.0913419999999998,1.09242,-1.3,SL
LONG,CASCADE,1.08976,1.0896452,1.09067,-1.1,SL
LONG,INITIAL,1.09321,1.0931900000000003,1.09451,-0.2,SL
LONG,INITIAL,1.09423,1.0938519999999998,1.09493,7.0,TP
SHORT,INITIAL,1.0985800000000001,1.098872,1.0979700000000001,6.1,TP
LONG,INITIAL,1.09547,1.0954620000000002,1.09687,-0.1,SL
SHORT,INITIAL,1.09677,1.0968820000000001,1.09532,-1.1,SL
SHORT,INITIAL,1.08821,1.0884720000000003,1.08746,7.5,TP
LONG,INITIAL,1.08699,1.086696,1.08795,-2.9,SL
SHORT,INITIAL,1.0916,1.0918839999999999,1.08975,-2.8,SL
LONG,INITIAL,1.08252,1.0824660000000004,1.08339,-0.5,SL
SHORT,INITIAL,1.0853,1.0853460000000001,1.08429,-0.5,SL
LONG,INITIAL,1.0828,1.0821840000000003,1.08379,-6.2,SL
SHORT,INITIAL,1.08394,1.0840099999999997,1.08269,-0.7,SL
SHORT,INITIAL,1.08372,1.084284,1.08325,-5.6,SL
SHORT,INITIAL,1.08873,1.0891179999999996,1.08804,6.9,TP
LONG,INITIAL,1.07667,1.07635,1.07778,-3.2,SL
LONG,INITIAL,1.07679,1.0762300000000002,1.07755,-5.6,SL
LONG,INITIAL,1.07894,1.078796,1.07983,-1.4,SL
LONG,INITIAL,1.07007,1.069444,1.07094,8.7,TP
LONG,INITIAL,1.08313,1.0822339999999997,1.08659,-9.0,SL
LONG,INITIAL,1.08294,1.0829300000000002,1.08403,-0.1,SL
SHORT,INITIAL,1.08235,1.08252,1.08142,9.3,TP
LONG,INITIAL,1.09175,1.0915540000000001,1.09294,-2.0,SL
LONG,INITIAL,1.0812,1.080702,1.08189,6.9,TP
SHORT,INITIAL,1.08337,1.0834739999999998,1.08222,-1.0,SL
LONG,INITIAL,1.08178,1.081696,1.08273,-0.8,SL
SHORT,INITIAL,1.07522,1.0755039999999998,1.07425,-2.8,SL
LONG,INITIAL,1.06618,1.0661420000000004,1.06909,-0.4,SL
LONG,CASCADE,1.0639,1.0635248,1.0646,-3.8,SL
SHORT,INITIAL,1.06449,1.064772,1.06387,-2.8,SL
SHORT,INITIAL,1.067,1.0670799999999998,1.06576,-0.8,SL
LONG,INITIAL,1.06443,1.0643180000000003,1.06577,-1.1,SL
LONG,INITIAL,1.06895,1.0685419999999999,1.06962,-4.1,SL
SHORT,INITIAL,1.07485,1.0748660000000003,1.0737,-0.2,SL
LONG,INITIAL,1.07075,1.0703320000000003,1.07163,-4.2,SL
SHORT,INITIAL,1.07217,1.072636,1.07169,-4.7,SL
LONG,INITIAL,1.06833,1.068238,1.0698,-0.9,SL
SHORT,INITIAL,1.07407,1.0745460000000002,1.07349,-4.8,SL
LONG,INITIAL,1.07676,1.07668,1.07778,-0.8,SL
SHORT,INITIAL,1.08197,1.0824619999999996,1.07991,-4.9,SL
LONG,INITIAL,1.08683,1.0866579999999997,1.08767,-1.7,SL
SHORT,INITIAL,1.0846,1.0849799999999998,1.08245,-3.8,SL
SHORT,INITIAL,1.08252,1.0827319999999998,1.08073,-2.1,SL
SHORT,INITIAL,1.08504,1.0852599999999997,1.08394,-2.2,SL
LONG,INITIAL,1.08776,1.0876899999999996,1.08879,-0.7,SL
LONG,INITIAL,1.07432,1.0740139999999998,1.07507,-3.1,SL
LONG,INITIAL,1.07276,1.072484,1.07486,-2.8,SL
LONG,INITIAL,1.07042,1.0704140000000002,1.0718,-0.1,SL
LONG,INITIAL,1.06741,1.06729,1.06938,-1.2,SL
SHORT,INITIAL,1.07063,1.0706840000000002,1.06932,-0.5,SL
LONG,INITIAL,1.0704,1.0701919999999998,1.07127,-2.1,SL
LONG,INITIAL,1.07592,1.0754000000000001,1.0765,-5.2,SL
LONG,INITIAL,1.08916,1.0882140000000002,1.08938,-9.5,SL
SHORT,INITIAL,1.09322,1.0934040000000005,1.09193,-1.8,SL
SHORT,INITIAL,1.08343,1.0835060000000003,1.08234,-0.8,SL
LONG,INITIAL,1.08131,1.0805680000000004,1.0818,4.9,TP
SHORT,INITIAL,1.0891,1.089652,1.08644,-5.5,SL
LONG,INITIAL,1.08864,1.0879479999999997,1.09127,26.3,TP
LONG,INITIAL,1.11544,1.1153259999999996,1.11702,-1.1,SL
LONG,INITIAL,1.10758,1.106986,1.10846,-5.9,SL
LONG,INITIAL,1.1059,1.105768,1.10711,12.1,TP
LONG,INITIAL,1.1107,1.1103460000000003,1.11226,-3.5,SL
SHORT,INITIAL,1.11543,1.1154639999999998,1.11355,-0.3,SL
SHORT,INITIAL,1.11833,1.1187799999999997,1.11658,-4.5,SL
SHORT,INITIAL,1.11716,1.1171860000000002,1.11613,-0.3,SL
SHORT,CASCADE,1.12057,1.1207328000000003,1.11996,6.1,TP
LONG,INITIAL,1.10557,1.1049640000000003,1.10657,10.0,TP
SHORT,INITIAL,1.09784,1.098028,1.09684,-1.9,SL
SHORT,INITIAL,1.09685,1.096984,1.09595,-1.3,SL
SHORT,INITIAL,1.09135,1.0916320000000004,1.0904,9.5,TP
SHORT,INITIAL,1.08911,1.0894239999999995,1.08828,-3.1,SL
SHORT,INITIAL,1.08128,1.0813520000000003,1.08034,-0.7,SL
SHORT,INITIAL,1.0826,1.0827039999999999,1.08167,9.3,TP
LONG,INITIAL,1.07759,1.0773679999999997,1.07882,-2.2,SL
SHORT,INITIAL,1.08631,1.086444,1.08541,9.0,TP
SHORT,INITIAL,1.09022,1.0903920000000002,1.08938,-1.7,SL
LONG,INITIAL,1.07688,1.0765699999999996,1.07767,-3.1,SL
LONG,INITIAL,1.06274,1.0621760000000002,1.06343,6.9,TP
LONG,CASCADE,1.06202,1.0619067999999998,1.06273,-1.1,SL
LONG,INITIAL,1.05235,1.0522039999999997,1.05337,-1.5,SL
SHORT,INITIAL,1.05501,1.055246,1.05386,-2.4,SL
LONG,INITIAL,1.05271,1.052632,1.0536,8.9,TP
LONG,INITIAL,1.05651,1.0564940000000003,1.0581,-0.2,SL
LONG,INITIAL,1.04594,1.0453720000000004,1.04645,-5.7,SL
LONG,INITIAL,1.04056,1.0397919999999998,1.04131,7.5,TP
SHORT,INITIAL,1.0536,1.0546020000000003,1.05084,27.6,TP
LONG,INITIAL,1.05303,1.0529739999999996,1.05436,-0.6,SL
SHORT,INITIAL,1.05952,1.0595539999999999,1.05852,10.0,TP
LONG,CASCADE,1.05691,1.0566735999999999,1.05748,-2.4,SL
SHORT,INITIAL,1.05252,1.053074,1.05083,-5.5,SL
SHORT,INITIAL,1.0525,1.0528840000000002,1.05196,5.4,TP
SHORT,INITIAL,1.05838,1.0584060000000002,1.05735,-0.3,SL
SHORT,INITIAL,1.0572300000000001,1.0572920000000003,1.05628,-0.6,SL
LONG,INITIAL,1.05318,1.05279,1.05422,-3.9,SL
LONG,CASCADE,1.05207,1.0518488,1.05284,7.7,TP
LONG,INITIAL,1.04977,1.049534,1.05103,-2.4,SL
LONG,INITIAL,1.04927,1.0491099999999998,1.05076,-1.6,SL
SHORT,INITIAL,1.03919,1.0392119999999998,1.0382,-0.2,SL
SHORT,INITIAL,1.04096,1.0410499999999998,1.03951,-0.9,SL
SHORT,INITIAL,1.03748,1.0375740000000002,1.03621,-0.9,SL
LONG,INITIAL,1.0395,1.038906,1.0406,-5.9,SL
SHORT,INITIAL,1.04387,1.0439800000000001,1.04167,-1.1,SL
LONG,INITIAL,1.04127,1.0412360000000005,1.04238,-0.3,SL
LONG,INITIAL,1.03932,1.038108,1.04088,15.6,TP
LONG,INITIAL,1.0291,1.0289980000000003,1.03001,-1.0,SL
SHORT,INITIAL,1.02593,1.0259420000000004,1.0235,-0.1,SL
SHORT,INITIAL,1.03064,1.0306959999999998,1.02975,-0.6,SL
LONG,INITIAL,1.0283,1.0281919999999998,1.02927,-1.1,SL
LONG,INITIAL,1.02745,1.025896,1.0277,2.5,TP
LONG,INITIAL,1.02742,1.0272679999999998,1.02839,-1.5,SL
SHORT,INITIAL,1.04218,1.0426039999999996,1.04124,-4.2,SL
LONG,INITIAL,1.04202,1.0414200000000002,1.04318,-6.0,SL
SHORT,INITIAL,1.0461,1.046284,1.04525,-1.8,SL
SHORT,CASCADE,1.04768,1.0478735999999997,1.047,-1.9,SL
LONG,INITIAL,1.04674,1.0466979999999997,1.04815,-0.4,SL
LONG,INITIAL,1.04251,1.041828,1.04317,6.6,TP
LONG,INITIAL,1.0416,1.0412280000000003,1.04268,10.8,TP
LONG,CASCADE,1.03986,1.0398036,1.04145,-0.6,SL
LONG,INITIAL,1.03849,1.0382280000000002,1.04023,-2.6,SL
LONG,INITIAL,1.03967,1.0391419999999998,1.04022,5.5,TP
LONG,INITIAL,1.03787,1.0378040000000002,1.03875,-0.7,SL
SHORT,INITIAL,1.03855,1.039034,1.03756,9.9,TP
SHORT,INITIAL,1.04906,1.049072,1.04795,-0.1,SL
LONG,INITIAL,1.04797,1.0477659999999998,1.04891,-2.0,SL
LONG,INITIAL,1.04569,1.0454079999999997,1.04642,7.3,TP
LONG,INITIAL,1.04376,1.0437139999999998,1.04477,-0.5,SL
SHORT,INITIAL,1.04986,1.050142,1.04924,-2.8,SL
SHORT,INITIAL,1.04126,1.0413919999999997,1.04016,-1.3,SL
SHORT,INITIAL,1.08165,1.0820540000000005,1.08102,6.3,TP
SHORT,CASCADE,1.08276,1.0833651999999998,1.08145,13.1,TP
SHORT,CASCADE,1.08276,1.0832732,1.08203,-5.1,SL
