date,direction,entry_price,exit_price,pnl_pips,exit_reason,signal_type,tier
2024-01-04,1,1.09566,1.09657,8.599999999999664,tp1_ar25,signal1,T3
2024-01-04,1,1.09566,1.09572,0.09999999999948983,hard_exit_12pm,signal2,T3
2024-01-05,-1,1.09242,1.09209,2.7999999999994145,tp1_ar25,signal1,T1
2024-01-05,-1,1.09242,1.0917599999999998,6.1000000000010495,tp2_ar50,signal2,T1
2024-01-05,-1,1.09067,1.0916776000000001,-10.576000000001084,kill_switch_132,cascade_2,T1
2024-01-05,-1,1.09149,1.0916776000000001,-2.376000000000655,kill_switch_132,cascade_3,T1
2024-01-08,-1,1.09284,1.093264,-4.7399999999997995,sl_80pct_body,signal1,T3
2024-01-08,-1,1.09284,1.093264,-4.7399999999997995,sl_80pct_body,signal2,T3
2024-01-11,-1,1.09619,1.09823,-20.900000000000418,sl_80pct_body,signal1,T2
2024-01-11,-1,1.09619,1.09823,-20.900000000000418,sl_80pct_body,signal2,T2
2024-01-11,-1,1.09562,1.0956350000000001,-0.6500000000009827,tp1_ar25,cascade_2,T2
2024-01-11,-1,1.09363,1.0933696000000002,2.1039999999993846,kill_switch_132,cascade_3,T2
2024-01-12,-1,1.09687,1.09663,1.9000000000001798,tp1_ar25,signal1,T1
2024-01-12,-1,1.09687,1.09639,4.3000000000003595,tp2_ar50,signal2,T1
2024-01-18,1,1.09024,1.089904,-3.86000000000114,sl_80pct_body,signal1,T3
2024-01-18,1,1.09024,1.089904,-3.86000000000114,sl_80pct_body,signal2,T3
2024-01-19,-1,1.08733,1.0870825,1.9749999999995609,tp1_ar25,signal1,T1
2024-01-19,-1,1.08733,1.0868349999999998,4.450000000001342,tp2_ar50,signal2,T1
2024-01-19,-1,1.08722,1.08828,-11.099999999998388,hard_exit_12pm,cascade_2,T1
2024-01-19,-1,1.08762,1.08828,-7.099999999998829,hard_exit_12pm,cascade_3,T1
2024-01-22,1,1.09084,1.090512,-3.78000000000106,sl_80pct_body,signal1,T3
2024-01-22,1,1.09084,1.090512,-3.78000000000106,sl_80pct_body,signal2,T3
2024-01-24,1,1.08975,1.090495,6.949999999999957,tp1_ar25,signal1,T2
2024-01-24,1,1.08975,1.09124,14.399999999999913,tp2_ar50,signal2,T2
