band,cls,n,med_z1,p_ge3,med_ret,med_fwd7_sig,p_rev7
1001-1500,BAND_BROAD,29254,2.766856557572125,0.4184726874957271,0.12325605034399756,-0.09823405568141819,0.5857660490873043
1001-1500,ISOLATED,87,2.5222674684380686,0.3103448275862069,-0.18265119392912976,0.6116356983107539,0.5977011494252874
1001-1500,LOCAL_CLUSTER,3287,2.5668597298922733,0.32947976878612717,-0.1479580427223931,0.12387251733805871,0.5914207484027989
1001-1500,MULTI_BAND,28052,2.7748165137855496,0.4246399543704549,0.12416815493788202,-0.028967200752265124,0.5282332810494795
1501-2000,BAND_BROAD,34506,2.771590140974663,0.4160146061554512,0.10303754602421034,0.0,0.5845939836550165
1501-2000,ISOLATED,36,2.354923178354282,0.2222222222222222,-0.22572410178356883,0.41714158821625447,0.75
1501-2000,LOCAL_CLUSTER,2410,2.6290560490606376,0.35518672199170126,-0.1546252700880738,0.20385768470461713,0.6203319502074689
1501-2000,MULTI_BAND,22525,2.778593575797423,0.4186015538290788,0.07683645170566988,0.022547063060988765,0.5297669256381798
501-750,BAND_BROAD,13150,2.838833707572801,0.4466920152091255,0.1696882106284806,-0.2267391651030199,0.5894296577946768
501-750,ISOLATED,612,2.642440864745511,0.36437908496732024,-0.12572021577662484,-0.016042121144563597,0.5522875816993464
501-750,LOCAL_CLUSTER,5575,2.704411906043885,0.40573991031390133,0.012348667974760641,-0.17150285983139893,0.580627802690583
501-750,MULTI_BAND,8414,2.733348318609995,0.39909674352270025,0.011503231153839333,0.0,0.5329213216068457
751-1000,BAND_BROAD,15468,2.7813035571412383,0.430307732092061,0.1655396989566883,-0.1271595028165945,0.5636798551848978
751-1000,ISOLATED,477,2.5619921460908133,0.31027253668763105,-0.1332206252549083,0.09763354816250279,0.5911949685534591
751-1000,LOCAL_CLUSTER,6057,2.687809463295877,0.38765065213802213,-0.052795948126715064,-0.11313208233339189,0.5662869407297342
751-1000,MULTI_BAND,8059,2.731147371653979,0.39744385159449064,-0.05303177653865909,-0.006755395821094766,0.5106092567316044
