rank_band,sign,condition,value,n,p_rev_7d,gb_med_7d,gb_p75_7d,fwd_med_sig_7d
501-750,UP,btc_dir,BTC_UP,27995,0.5878549741025183,0.21109914627271625,0.9096898732810719,-0.38722356039489736
501-750,UP,btc_dir,BTC_DOWN,14004,0.609254498714653,0.25846892120061304,0.9427646541165516,-0.5455232899997584
501-750,UP,btc_dir,NA,875,0.5485714285714286,0.087633482577628,0.6916490907669899,-0.2371116432644112
501-750,UP,vol_reg,VOL_HIGH,20089,0.5952013539748121,0.23089459778818905,0.9626974968794092,-0.3751351317887801
501-750,UP,vol_reg,VOL_LOW,22785,0.5930217248189599,0.2167245215777333,0.8765578765737602,-0.49503135712256363
501-750,UP,breadth_reg,BRD_LOW,18586,0.6390293769503927,0.32608501104618226,0.9756484078677693,-0.5984808174421515
501-750,UP,breadth_reg,BRD_HIGH,24288,0.5596179183135704,0.1435990705218018,0.8608285925312426,-0.28955699369726146
501-750,UP,eth_dir,ETH_STRONG,28755,0.5891844896539732,0.21494717469807578,0.9086334717804372,-0.37871993319296654
501-750,UP,eth_dir,NA,875,0.5485714285714286,0.087633482577628,0.6916490907669899,-0.2371116432644112
501-750,UP,eth_dir,ETH_WEAK,13244,0.6075958924796134,0.252059510042972,0.9458758340908997,-0.5743927703032812
501-750,UP,shmc,NON_SHMC,35463,0.5874573499139949,0.20684478178001656,0.8979559443951336,-0.4264287928734078
501-750,UP,shmc,SHMC,7411,0.6255566050465524,0.3031459893647024,0.9898620681488918,-0.4507100724924466
501-750,UP,age,MATURE,12402,0.5938558297048863,0.20977320084978196,0.8476596930819786,-0.4297917171266834
501-750,UP,age,MID,13491,0.5879475205692684,0.1909574226589422,0.833523545776459,-0.40313210863373233
501-750,UP,age,YOUNG,16981,0.5990224368411754,0.26443832347472174,1.0545807655614587,-0.4644845387232286
501-750,UP,volq,Q1,1852,0.5286177105831533,0.04126855436052347,0.7286341129126548,-0.08470521948676657
501-750,UP,volq,Q2,4814,0.5467386788533444,0.08678040008107005,0.7692701451305786,-0.17080946476552905
501-750,UP,volq,Q3,9655,0.5650958052822371,0.16032773283463267,0.8950735525952189,-0.3182785072164307
501-750,UP,volq,Q4,25872,0.6193181818181818,0.29698461595527786,0.9635444750053681,-0.5919602981158121
501-750,UP,volq,nan,681,0.5565345080763583,0.0503392100537466,0.8549843403497372,-0.10367083234019195
501-750,UP,stale,False,42874,0.5940430097494985,0.22356638425273284,0.915619965017924,-0.43064622293998456
501-750,UP,zero_v,False,42193,0.5946484013935961,0.22652006792224505,0.9163469153349353,-0.4371703877718512
501-750,UP,zero_v,True,681,0.5565345080763583,0.0503392100537466,0.8549843403497372,-0.10367083234019195
751-1000,UP,btc_dir,BTC_UP,28503,0.5545381187945129,0.13792805629558402,0.8626647449833322,-0.23362509397880088
751-1000,UP,btc_dir,BTC_DOWN,14237,0.564725714687083,0.16094878979071003,0.877741095273861,-0.2970432798460073
751-1000,UP,btc_dir,NA,831,0.5222623345367028,0.03372708868867561,0.5943935915327452,-0.06063913930932467
751-1000,UP,vol_reg,VOL_LOW,23611,0.5549531997797637,0.1308138349315237,0.8209980920418034,-0.2796973798879605
