window,win_start,win_end,rank_band,state,n,p_abs_gt1s,p_abs_gt2s,p_abs_gt3s,p_up_gt2s,p_dn_gt2s,med_fwd7_sig
365D,2019-08-31,2020-08-30,501-750,nonSHMC,9989,0.23936329962959255,0.09370307338071879,0.047151867053759136,0.08018820702773051,0.013514866352988287,0.07678492490917119
365D,2019-08-31,2020-08-30,501-750,SHMC,1707,0.22671353251318102,0.08728763913298183,0.0421792618629174,0.07439953134153486,0.012888107791446984,0.027683394369634778
365D,2019-11-29,2020-11-28,501-750,nonSHMC,20256,0.22156398104265404,0.07884083728278041,0.03964257503949447,0.06008096366508689,0.018759873617693525,0.01724392387034037
365D,2019-11-29,2020-11-28,501-750,SHMC,4088,0.18909001956947163,0.06262230919765166,0.028864970645792562,0.04672211350293542,0.015900195694716242,-0.06425436895502293
365D,2020-02-27,2021-02-26,501-750,nonSHMC,36066,0.24249986136527477,0.08991848278156712,0.047080352686740976,0.07031553263461432,0.01960295014695281,0.05783634635036652
365D,2020-02-27,2021-02-26,501-750,SHMC,6110,0.1988543371522095,0.06726677577741408,0.03175122749590835,0.05057283142389525,0.01669394435351882,-0.011385025666871718
365D,2020-05-27,2021-05-27,501-750,nonSHMC,52063,0.23315982559591264,0.08149741659143729,0.04039336957148071,0.06083014808981426,0.020667268501623034,0.03289032862047936
365D,2020-05-27,2021-05-27,501-750,SHMC,8915,0.19001682557487382,0.05978687605159843,0.027369601794727985,0.0443073471676949,0.015479528883903533,-0.006965233884288295
365D,2020-08-25,2021-08-25,501-750,nonSHMC,59502,0.2185976941951531,0.06875399146247185,0.03294006924137004,0.0496621962286982,0.019091795233773655,0.017715424340073206
365D,2020-08-25,2021-08-25,501-750,SHMC,11215,0.17021845742309408,0.04609897458760588,0.02050824788230049,0.030227374052608114,0.01587160053499777,-0.02052576833674791
365D,2020-11-23,2021-11-23,501-750,nonSHMC,66058,0.21007296618123467,0.06356535166066184,0.02935299282448757,0.04733718853129069,0.01622816312937116,0.022042769451568252
