rank_band,breadth,n_potential,p_realized,med_sig7_fwd
501-750,HIGH,10557,0.22875816993464052,-0.0510101419148241
501-750,LOW,10678,0.1686645439220828,-0.13357634320433562
751-1000,HIGH,11421,0.23877068557919623,0.0013035031597826278
751-1000,LOW,11422,0.19112239537734196,-0.08662571305070871
1001-1500,HIGH,23124,0.2375886524822695,0.00856573061333397
1001-1500,LOW,23294,0.19249592169657423,-0.06508254201712302
1501-2000,HIGH,23097,0.26929904316577913,0.0513277529486672
1501-2000,LOW,23238,0.2193390136844823,-0.004717060177901024
