rank_band,horizon,n,z_median,z_p75,z_p95,z_p99,impossible_median_ratio
26-100,1D,158812,0.5125283248551944,0.96189914183534,2.1343409541473584,3.902732366772425,NO
26-100,3D,158812,0.9036557526270094,1.7001781765134647,3.6480783723127,6.288034485290056,NO
26-100,7D,158812,1.4210538877129868,2.65461084706857,5.647231607393786,9.719309393693079,NO
26-100,14D,158812,2.0937452437820863,3.867597969326364,8.242439791538562,14.567915160215247,NO
26-100,30D,158812,3.333086208395013,5.854068813949749,13.410987482852677,25.041564774221648,NO
101-250,1D,307269,0.4808235830225251,0.931923774806728,2.146262512620986,4.068926469099278,NO
101-250,3D,307268,0.8633897114024707,1.648010138078885,3.6561731903784445,6.51921044738025,NO
101-250,7D,307266,1.3711361595971265,2.6067870701819533,5.673272901065338,9.827076830823975,NO
101-250,14D,307265,2.0682524877621846,3.838177177961479,8.233426728657221,14.437489078347792,NO
101-250,30D,307265,3.3065377044124933,5.865058109055603,13.130624257927755,24.54199469574919,NO
251-500,1D,487868,0.4553656705184558,0.9007979358272254,2.1104945110168694,4.16957756561184,NO
251-500,3D,487866,0.8148945423785631,1.5757390707042556,3.5500778518304843,6.3258869951432315,NO
251-500,7D,487866,1.2923689316081173,2.466254725899856,5.328411787238524,8.879864538917207,NO
251-500,14D,487867,1.9525637468387478,3.612564292357554,7.295621253820943,12.171171508673558,NO
251-500,30D,487867,3.084926038695538,5.3780464923592355,10.660351846037168,18.561826703624018,NO
501-750,1D,467001,0.4215170156484129,0.8676733169489138,2.1733725524159255,4.657177313794866,NO
501-750,3D,467000,0.7588113778258571,1.5232244228479315,3.704115078547915,7.318645217096934,NO
501-750,7D,467000,1.2188308297518344,2.416345243441984,5.7749848700632676,10.749301555984204,NO
501-750,14D,466999,1.8748806843090844,3.6183318847777324,8.308327247632068,15.68807792390769,NO
501-750,30D,466997,3.0466325551168776,5.610484151779024,12.986298579137953,25.27093092647438,NO
751-1000,1D,502718,0.42173352068795433,0.8768175146938808,2.170266014955826,4.499080015885336,NO
751-1000,3D,502716,0.7647724495810847,1.5248490077999464,3.568994781367355,6.831135775048013,NO
751-1000,7D,502717,1.2227092011030478,2.38448443549232,5.414321496784058,9.817615681160712,NO
751-1000,14D,502714,1.859036661898116,3.5001534692655323,7.602582861237279,13.775475109901913,NO
751-1000,30D,502707,2.9943470497277724,5.383123711507663,11.225499518576193,20.904257847287692,NO
1001-1500,1D,1011137,0.400435753329376,0.8559041775898908,2.1780569653338073,4.572506132632894,NO
1001-1500,3D,1011114,0.7209677657855362,1.4743932725468172,3.5102033456486237,6.742992547669111,NO
1001-1500,7D,1011113,1.1529211196934164,2.284677555196698,5.264805874819459,9.459015089900513,NO
1001-1500,14D,1011112,1.7468059982484103,3.355402687663995,7.299563356278007,13.08510477676408,NO
1001-1500,30D,1011115,2.8317074850796007,5.170436358479396,10.493341612255875,19.311040480234446,NO
1501-2000,1D,1008995,0.3567458889438128,0.8204671306869278,2.1647471720639517,4.494046384990749,NO
1501-2000,3D,1008966,0.6607048566487108,1.4010618477900127,3.383925482152308,6.326259633923321,NO
1501-2000,7D,1008966,1.057104965176844,2.1543471378945633,4.962089116213594,8.352946778854067,NO
1501-2000,14D,1008967,1.5902605603180666,3.127440742075966,6.726794431989789,10.784572480043813,NO
1501-2000,30D,1008982,2.551753652234054,4.805586098677025,9.365312393278316,14.88807882942301,NO
