rank_lo,rank_hi,width,sign,n,p_rev_7d,gb_med_7d,gb_p75_7d
475,524,50,UP,1244,0.7041800643086816,0.2062717523040089,0.6134255240580162
475,524,50,DOWN,344,0.3808139534883721,0.0,0.18959276717274304
500,549,50,UP,2113,0.6876478939895883,0.20356168089124932,0.593121309575898
500,549,50,DOWN,538,0.42193308550185876,0.0,0.3053158430164581
525,574,50,UP,1600,0.654375,0.209394862015915,0.5913298247074377
525,574,50,DOWN,426,0.5070422535211268,0.0048371728646778136,0.5754889687757067
550,599,50,UP,1553,0.6239536381197682,0.1706111658115009,0.6047590417990791
550,599,50,DOWN,483,0.5238095238095238,0.03199296029031334,0.6255841984972115
575,624,50,UP,1667,0.5998800239952009,0.1350423374562143,0.5927885094437055
575,624,50,DOWN,525,0.5542857142857143,0.09484604080261257,0.5721733406964342
600,649,50,UP,1693,0.5859421145894861,0.14099705563988676,0.5979155633456756
600,649,50,DOWN,587,0.565587734241908,0.09609551064999285,0.6080730608402078
625,674,50,UP,1703,0.5789782736347622,0.12176642037265666,0.592984951106945
625,674,50,DOWN,626,0.5319488817891374,0.04787119956881441,0.6246206560751447
650,699,50,UP,1717,0.5876528829353523,0.12641088773099454,0.6044810758655118
650,699,50,DOWN,641,0.5475819032761311,0.09671861905799586,0.6409124535971107
675,724,50,UP,1715,0.5959183673469388,0.13518243154110582,0.5727751588433582
675,724,50,DOWN,645,0.57984496124031,0.13563786148028414,0.7040721664998073
700,749,50,UP,1683,0.6001188354129531,0.13512561294797185,0.5506305705699793
700,749,50,DOWN,660,0.5651515151515152,0.11499845751029514,0.7113103794413959
725,774,50,UP,1687,0.6004742145820984,0.14766607376045926,0.5995964067733874
725,774,50,DOWN,665,0.562406015037594,0.11568598780130125,0.6597140163930589
750,799,50,UP,1720,0.5843023255813954,0.11791743173884069,0.5866841787393937
750,799,50,DOWN,667,0.5727136431784108,0.15172458595384924,0.73052384372237
775,824,50,UP,1688,0.5906398104265402,0.1225631481193475,0.5582561293316959
775,824,50,DOWN,694,0.5432276657060519,0.09449989695245259,0.7287895148903905
800,849,50,UP,1683,0.6036838978015449,0.14280384441293223,0.5730408898839465
800,849,50,DOWN,679,0.5346097201767305,0.06339357195875873,0.581641556399787
825,874,50,UP,1699,0.5979988228369629,0.12619611077412668,0.5672785817470468
825,874,50,DOWN,692,0.5361271676300579,0.04263778727304107,0.5727709599822874
850,899,50,UP,1731,0.5927209705372617,0.1567993831852484,0.5875413094838398
850,899,50,DOWN,726,0.5261707988980716,0.027695311714033593,0.6148787453687419
875,924,50,UP,1791,0.586823003908431,0.15288643280629427,0.5873917168324798
875,924,50,DOWN,732,0.5314207650273224,0.04281492233996667,0.6655139407209147
900,949,50,UP,1851,0.5834683954619124,0.10660310563637776,0.5464423655831738
900,949,50,DOWN,721,0.5312066574202496,0.04281492233996667,0.658857764480584
925,974,50,UP,1851,0.5786061588330632,0.0994921546455695,0.5567956611849658
925,974,50,DOWN,701,0.5463623395149786,0.10271061734985398,0.6849413692839622
950,999,50,UP,1827,0.5769020251778872,0.11832969562973214,0.5893780507835663
950,999,50,DOWN,738,0.5528455284552846,0.15005043207487423,0.742969983849116
975,1024,50,UP,1764,0.5810657596371882,0.11531927676529573,0.5833999158633663
975,1024,50,DOWN,769,0.577373211963589,0.1593557621899671,0.8541906482343807
1000,1049,50,UP,1716,0.5693473193473193,0.09951641775505372,0.551768580406683
1000,1049,50,DOWN,725,0.5972413793103448,0.15458000324849067,0.7593262953464476
1025,1074,50,UP,1766,0.5736126840317101,0.12546342576105357,0.5599524846893474
1025,1074,50,DOWN,694,0.579250720461095,0.13120056130158553,0.6526681247179518
1050,1099,50,UP,1780,0.5803370786516854,0.12569772357412545,0.5681343995510926
1050,1099,50,DOWN,739,0.5480378890392422,0.07507203623296918,0.744489396406131
1075,1124,50,UP,1782,0.5836139169472503,0.1308425955013257,0.5678520068457144
1075,1124,50,DOWN,759,0.5691699604743083,0.09063908987979159,0.8471068518784883
1100,1149,50,UP,1852,0.5831533477321814,0.13285914439531046,0.5637268495183265
1100,1149,50,DOWN,670,0.5955223880597015,0.1844880034607224,0.7508511253988378
1125,1174,50,UP,1814,0.5667034178610805,0.10825481982794198,0.5552181688865407
1125,1174,50,DOWN,679,0.561119293078056,0.11223704519242135,0.7510205115666333
1150,1199,50,UP,1742,0.5757749712973593,0.12002208525078707,0.53960799379368
1150,1199,50,DOWN,712,0.5674157303370787,0.12035486047856685,0.7958792245940614
1175,1224,50,UP,1765,0.5898016997167139,0.13785864775020246,0.5196601350628522
1175,1224,50,DOWN,725,0.5724137931034483,0.14063987352945953,0.7665428701454492
1200,1249,50,UP,1832,0.5720524017467249,0.10217992855341877,0.5050306956994406
1200,1249,50,DOWN,739,0.557510148849797,0.11705145536478982,0.7537861438619088
1225,1274,50,UP,1881,0.570441254651781,0.09674095226273687,0.5039965485950192
1225,1274,50,DOWN,764,0.56282722513089,0.10570472829064168,0.7116362475943894
1250,1299,50,UP,1840,0.5826086956521739,0.10096100087681,0.5227833700437374
1250,1299,50,DOWN,768,0.5846354166666666,0.11496824694519847,0.7815672246019196
1275,1324,50,UP,1821,0.5826468973091707,0.09942786250848082,0.5332603165942162
1275,1324,50,DOWN,729,0.5624142661179699,0.10840164716700337,0.8064217119794846
1300,1349,50,UP,1808,0.5896017699115044,0.11297246921043011,0.5230733205914259
1300,1349,50,DOWN,740,0.5351351351351351,0.06338654861638682,0.7151980208206982
1325,1374,50,UP,1861,0.5857066093498119,0.11657895696506149,0.5611947612920619
1325,1374,50,DOWN,727,0.5488308115543329,0.07747478160297741,0.7537961638366637
1350,1399,50,UP,1862,0.5708915145005371,0.09149739194772497,0.5369665321482984
1350,1399,50,DOWN,710,0.5619718309859155,0.09138847848481241,0.7595622484685294
1375,1424,50,UP,1804,0.5792682926829268,0.0976196655965191,0.5309065360841971
