purge_d,rank_band,sign,n_raw,n_purged,unique_assets,horizon,p_rev,gb_med
RAW,501-750,UP,8784,8784,2120,3D,0.6338797814207651,0.1418333996040229
RAW,501-750,UP,8784,8784,2120,7D,0.6202185792349727,0.16319924459029328
RAW,501-750,UP,8784,8784,2120,14D,0.6033697632058288,0.19016254425091353
RAW,501-750,DOWN,2920,2920,1107,3D,0.5476027397260274,0.04956358903544543
RAW,501-750,DOWN,2920,2920,1107,7D,0.5273972602739726,0.040146642524276195
RAW,501-750,DOWN,2920,2920,1107,14D,0.5342465753424658,0.09212890846672314
RAW,751-1000,UP,8810,8810,2498,3D,0.6192962542565267,0.12996169392160242
RAW,751-1000,UP,8810,8810,2498,7D,0.5875141884222475,0.1261701261701262
RAW,751-1000,UP,8810,8810,2498,14D,0.5582292849035188,0.11643655265016781
RAW,751-1000,DOWN,3533,3533,1478,3D,0.5632606849702803,0.07524268164171288
RAW,751-1000,DOWN,3533,3533,1478,7D,0.5434474950467025,0.07714240017954407
RAW,751-1000,DOWN,3533,3533,1478,14D,0.5519388621568072,0.1122618507607144
RAW,1001-1500,UP,17919,17919,3637,3D,0.6134828952508511,0.12252708004339992
RAW,1001-1500,UP,17919,17919,3637,7D,0.5797756571237235,0.11387398810543382
RAW,1001-1500,UP,17919,17919,3637,14D,0.5387577431776327,0.06781939737056633
RAW,1001-1500,DOWN,7307,7307,2492,3D,0.5779389626385658,0.09048484923844707
RAW,1001-1500,DOWN,7307,7307,2492,7D,0.5671274120706172,0.11383888724057045
RAW,1001-1500,DOWN,7307,7307,2492,14D,0.5683591077049405,0.1754431586459223
RAW,1501-2000,UP,15396,15396,3606,3D,0.6019095869056897,0.10321493506999901
RAW,1501-2000,UP,15396,15396,3606,7D,0.5565731358794492,0.08757551448924178
RAW,1501-2000,UP,15396,15396,3606,14D,0.50811899194596,0.017374194575131657
RAW,1501-2000,DOWN,9212,9212,3147,3D,0.590859748154581,0.10894406106390386
RAW,1501-2000,DOWN,9212,9212,3147,7D,0.588797221016066,0.16263875485530147
RAW,1501-2000,DOWN,9212,9212,3147,14D,0.6054059921841077,0.3143267529376648
7D,501-750,UP,8784,7509,2120,3D,0.6353708882674124,0.13579325042678408
7D,501-750,UP,8784,7509,2120,7D,0.6221867092821947,0.16238899376783827
7D,501-750,UP,8784,7509,2120,14D,0.6052736715940871,0.18744703389491035
7D,501-750,DOWN,2920,2533,1107,3D,0.5278326095538887,0.02263669889137338
7D,501-750,DOWN,2920,2533,1107,7D,0.5065140150019739,0.009443652457739931
7D,501-750,DOWN,2920,2533,1107,14D,0.5140150019739439,0.037855132950444896
7D,751-1000,UP,8810,7583,2498,3D,0.6213899512066464,0.12993194970166472
7D,751-1000,UP,8810,7583,2498,7D,0.5927733087168666,0.13361413850739706
7D,751-1000,UP,8810,7583,2498,14D,0.5634972965844652,0.12695101868788716
7D,751-1000,DOWN,3533,3097,1478,3D,0.558282208588957,0.06102805008455775
7D,751-1000,DOWN,3533,3097,1478,7D,0.538585728123991,0.0689384199355548
7D,751-1000,DOWN,3533,3097,1478,14D,0.5495640942847917,0.10041865371013911
7D,1001-1500,UP,17919,15025,3637,3D,0.618036605657238,0.12537964562163245
7D,1001-1500,UP,17919,15025,3637,7D,0.5856905158069884,0.11966787898268588
7D,1001-1500,UP,17919,15025,3637,14D,0.546955074875208,0.0815171356646284
7D,1001-1500,DOWN,7307,6350,2492,3D,0.575748031496063,0.08237115519328307
7D,1001-1500,DOWN,7307,6350,2492,7D,0.5661417322834645,0.10441243622933308
7D,1001-1500,DOWN,7307,6350,2492,14D,0.5694488188976378,0.17447130265389646
7D,1501-2000,UP,15396,13105,3606,3D,0.6045020984357116,0.10387145553365267
7D,1501-2000,UP,15396,13105,3606,7D,0.5597100343380389,0.08914729841097914
7D,1501-2000,UP,15396,13105,3606,14D,0.5104158718046548,0.022135340778556903
7D,1501-2000,DOWN,9212,8115,3147,3D,0.5858287122612446,0.09647678298454951
7D,1501-2000,DOWN,9212,8115,3147,7D,0.5855822550831793,0.14950061667883416
7D,1501-2000,DOWN,9212,8115,3147,14D,0.5988909426987061,0.2919397074079202
14D,501-750,UP,8784,6967,2120,3D,0.6344194057700588,0.13565329390120678
14D,501-750,UP,8784,6967,2120,7D,0.6250897086263815,0.16677020561755446
14D,501-750,UP,8784,6967,2120,14D,0.6058561791301852,0.18756660150956614
14D,501-750,DOWN,2920,2460,1107,3D,0.5260162601626016,0.022022235060278755
14D,501-750,DOWN,2920,2460,1107,7D,0.5056910569105691,0.008466529884185418
14D,501-750,DOWN,2920,2460,1107,14D,0.5113821138211382,0.031193340306204118
14D,751-1000,UP,8810,7072,2498,3D,0.6190610859728507,0.12886044343048236
14D,751-1000,UP,8810,7072,2498,7D,0.5943156108597285,0.13365297386453873
14D,751-1000,UP,8810,7072,2498,14D,0.5627828054298643,0.12486921225629143
14D,751-1000,DOWN,3533,2990,1478,3D,0.5561872909698997,0.05992637888623575
14D,751-1000,DOWN,3533,2990,1478,7D,0.5361204013377926,0.06674495971257233
14D,751-1000,DOWN,3533,2990,1478,14D,0.5478260869565217,0.09439753097642758
14D,1001-1500,UP,17919,13761,3637,3D,0.6188503742460577,0.12621989208838275
14D,1001-1500,UP,17919,13761,3637,7D,0.5895647118668701,0.12288351133573655
14D,1001-1500,UP,17919,13761,3637,14D,0.5530848048833661,0.09406256699448182
14D,1001-1500,DOWN,7307,6035,2492,3D,0.5768019884009942,0.08379281543375067
14D,1001-1500,DOWN,7307,6035,2492,7D,0.5661971830985916,0.10060158406132531
14D,1001-1500,DOWN,7307,6035,2492,14D,0.5700082850041425,0.1754781220409475
14D,1501-2000,UP,15396,11987,3606,3D,0.6036539584549929,0.1031143483386172
14D,1501-2000,UP,15396,11987,3606,7D,0.5618586802369233,0.09456233917920334
14D,1501-2000,UP,15396,11987,3606,14D,0.5133895052974056,0.0297473504008043
14D,1501-2000,DOWN,9212,7686,3147,3D,0.5857403070517825,0.09511981136694843
14D,1501-2000,DOWN,9212,7686,3147,7D,0.5836586000520426,0.14490583851044464
14D,1501-2000,DOWN,9212,7686,3147,14D,0.5983606557377049,0.2882140665710381
30D,501-750,UP,8784,6217,2120,3D,0.6350329741032652,0.1351174972037258
30D,501-750,UP,8784,6217,2120,7D,0.6268296606080103,0.16581781529627565
30D,501-750,UP,8784,6217,2120,14D,0.6073668972173074,0.18744703389491035
30D,501-750,DOWN,2920,2331,1107,3D,0.5242385242385242,0.020076387986256914
