band,discriminator,cohen_d,realized_n,nondeliv_n
ALL,top500_breadth_30d,0.14896349973810155,30421,106410
ALL,mkt_vol_30d,-0.16874826793042969,29855,103298
ALL,volume_24h_usd,0.019475349664465638,28646,100662
ALL,listing_age_days,-0.03256082004756529,30421,106410
ALL,rank,0.11576289050053418,30421,106410
501-750,top500_breadth_30d,0.1914124096838139,4216,17019
501-750,mkt_vol_30d,-0.24540997354235625,4164,16554
501-750,volume_24h_usd,0.05172874957167124,4095,16734
501-750,listing_age_days,0.021996219933078785,4216,17019
501-750,rank,0.038352430439617356,4216,17019
751-1000,top500_breadth_30d,0.16211534642553754,4910,17933
751-1000,mkt_vol_30d,-0.19405564710387638,4843,17447
751-1000,volume_24h_usd,0.028444692322744727,4740,17431
751-1000,listing_age_days,-0.01817139883858186,4910,17933
751-1000,rank,-0.01057767251188291,4910,17933
1001-1500,top500_breadth_30d,0.1367149430699421,9978,36440
1001-1500,mkt_vol_30d,-0.18860841869377112,9771,35311
1001-1500,volume_24h_usd,0.048606026533854096,9401,34520
1001-1500,listing_age_days,-0.055755686499564944,9978,36440
1001-1500,rank,0.004930011108292629,9978,36440
1501-2000,top500_breadth_30d,0.14360393673465563,11317,35018
1501-2000,mkt_vol_30d,-0.10763076347695481,11077,33986
1501-2000,volume_24h_usd,0.017449233308086926,10410,31977
1501-2000,listing_age_days,-0.046848467198469385,11317,35018
1501-2000,rank,0.22950849922526725,11317,35018
