rank_band,atoms,lag,n_days,n_subperiods,p_deliver,base_p_deliver,lift
501-750,DISP_HI|BRD_HI,0,625,25,0.6032,0.4218678815489749,0.18133211845102504
501-750,DISP_HI|BRD_LO,0,472,26,0.3220338983050847,0.4218678815489749,-0.0998339832438902
501-750,DISP_LO|BRD_HI,0,472,23,0.4216101694915254,0.4218678815489749,-0.00025771205744951065
501-750,DISP_LO|BRD_LO,0,626,25,0.31629392971246006,0.4218678815489749,-0.10557395183651486
751-1000,DISP_HI|BRD_HI,0,611,25,0.6202945990180033,0.48018223234624147,0.14011236667176186
751-1000,DISP_HI|BRD_LO,0,486,26,0.3786008230452675,0.48018223234624147,-0.10158140930097398
751-1000,DISP_LO|BRD_HI,0,486,22,0.51440329218107,0.48018223234624147,0.03422105983482848
751-1000,DISP_LO|BRD_LO,0,612,23,0.3937908496732026,0.48018223234624147,-0.08639138267303886
1001-1500,DISP_HI|BRD_HI,0,601,23,0.6589018302828619,0.48929384965831435,0.16960798062454752
1001-1500,DISP_HI|BRD_LO,0,496,26,0.4213709677419355,0.48929384965831435,-0.06792288191637885
1001-1500,DISP_LO|BRD_HI,0,496,21,0.4899193548387097,0.48929384965831435,0.000625505180395336
1001-1500,DISP_LO|BRD_LO,0,602,23,0.3754152823920266,0.48929384965831435,-0.11387856726628776
1501-2000,DISP_HI|BRD_HI,0,634,23,0.637223974763407,0.48018223234624147,0.1570417424171655
1501-2000,DISP_HI|BRD_LO,0,463,22,0.3714902807775378,0.48018223234624147,-0.10869195156870365
1501-2000,DISP_LO|BRD_HI,0,463,20,0.48596112311015116,0.48018223234624147,0.005778890763909694
1501-2000,DISP_LO|BRD_LO,0,635,23,0.3984251968503937,0.48018223234624147,-0.08175703549584779
501-750,DISP_HI|BRD_HI -> DISP_HI|BRD_HI,1,416,24,0.6538461538461539,0.4218678815489749,0.23197827229717893
501-750,DISP_HI|BRD_HI -> DISP_LO|BRD_HI,1,161,22,0.45962732919254656,0.4218678815489749,0.03775944764357164
501-750,DISP_HI|BRD_LO -> DISP_HI|BRD_LO,1,225,23,0.30666666666666664,0.4218678815489749,-0.11520121488230828
501-750,DISP_HI|BRD_LO -> DISP_LO|BRD_LO,1,207,24,0.2898550724637681,0.4218678815489749,-0.1320128090852068
501-750,DISP_LO|BRD_HI -> DISP_HI|BRD_HI,1,164,22,0.49390243902439024,0.4218678815489749,0.07203455747541532
501-750,DISP_LO|BRD_HI -> DISP_LO|BRD_HI,1,258,20,0.43023255813953487,0.4218678815489749,0.00836467659055995
501-750,DISP_LO|BRD_LO -> DISP_HI|BRD_LO,1,201,24,0.3283582089552239,0.4218678815489749,-0.09350967259375104
501-750,DISP_LO|BRD_LO -> DISP_LO|BRD_LO,1,367,21,0.329700272479564,0.4218678815489749,-0.0921676090694109
751-1000,DISP_HI|BRD_HI -> DISP_HI|BRD_HI,1,414,23,0.6545893719806763,0.48018223234624147,0.17440713963443488
751-1000,DISP_HI|BRD_HI -> DISP_LO|BRD_HI,1,148,21,0.5337837837837838,0.48018223234624147,0.053601551437542305
751-1000,DISP_HI|BRD_LO -> DISP_HI|BRD_LO,1,265,23,0.3584905660377358,0.48018223234624147,-0.12169166630850564
751-1000,DISP_HI|BRD_LO -> DISP_LO|BRD_LO,1,176,22,0.36363636363636365,0.48018223234624147,-0.11654586870987782
751-1000,DISP_LO|BRD_HI -> DISP_HI|BRD_HI,1,155,22,0.5483870967741935,0.48018223234624147,0.06820486442795204
751-1000,DISP_LO|BRD_HI -> DISP_LO|BRD_HI,1,282,20,0.5106382978723404,0.48018223234624147,0.03045606552609892
751-1000,DISP_LO|BRD_LO -> DISP_HI|BRD_LO,1,183,22,0.3879781420765027,0.48018223234624147,-0.09220409026973875
751-1000,DISP_LO|BRD_LO -> DISP_LO|BRD_LO,1,376,21,0.3882978723404255,0.48018223234624147,-0.09188436000581596
1001-1500,DISP_HI|BRD_HI -> DISP_HI|BRD_HI,1,406,22,0.7019704433497537,0.48929384965831435,0.21267659369143932
1001-1500,DISP_HI|BRD_HI -> DISP_LO|BRD_HI,1,154,19,0.6038961038961039,0.48929384965831435,0.11460225423778958
1001-1500,DISP_HI|BRD_LO -> DISP_HI|BRD_LO,1,258,20,0.43410852713178294,0.48929384965831435,-0.05518532252653141
1001-1500,DISP_HI|BRD_LO -> DISP_LO|BRD_LO,1,194,19,0.39690721649484534,0.48929384965831435,-0.09238663316346901
1001-1500,DISP_LO|BRD_HI -> DISP_HI|BRD_HI,1,156,19,0.5576923076923077,0.48929384965831435,0.06839845803399336
1001-1500,DISP_LO|BRD_HI -> DISP_LO|BRD_HI,1,283,20,0.44876325088339225,0.48929384965831435,-0.0405305987749221
1001-1500,DISP_LO|BRD_LO -> DISP_HI|BRD_LO,1,197,22,0.3553299492385787,0.48929384965831435,-0.13396390041973566
1001-1500,DISP_LO|BRD_LO -> DISP_LO|BRD_LO,1,351,20,0.3561253561253561,0.48929384965831435,-0.13316849353295823
1501-2000,DISP_HI|BRD_HI -> DISP_HI|BRD_HI,1,480,20,0.6416666666666667,0.48018223234624147,0.16148443432042525
1501-2000,DISP_HI|BRD_HI -> DISP_LO|BRD_HI,1,115,18,0.4956521739130435,0.48018223234624147,0.015469941566802037
1501-2000,DISP_HI|BRD_LO -> DISP_HI|BRD_LO,1,289,19,0.35294117647058826,0.48018223234624147,-0.1272410558756532
1501-2000,DISP_HI|BRD_LO -> DISP_LO|BRD_LO,1,132,16,0.3181818181818182,0.48018223234624147,-0.1620004141644233
1501-2000,DISP_LO|BRD_HI -> DISP_HI|BRD_HI,1,111,18,0.6126126126126126,0.48018223234624147,0.1324303802663711
1501-2000,DISP_LO|BRD_HI -> DISP_LO|BRD_HI,1,293,18,0.49829351535836175,0.48018223234624147,0.018111283012120283
1501-2000,DISP_LO|BRD_HI -> DISP_LO|BRD_LO,1,50,14,0.4,0.48018223234624147,-0.08018223234624144
1501-2000,DISP_LO|BRD_LO -> DISP_HI|BRD_LO,1,137,18,0.34306569343065696,0.48018223234624147,-0.1371165389155845
1501-2000,DISP_LO|BRD_LO -> DISP_LO|BRD_LO,1,442,19,0.41402714932126694,0.48018223234624147,-0.06615508302497453
