rank_band,sector,n_assets,n_obs,n_events_ge3s,p_ge3s,baseline_band_ge3s,lift_ge3s,med_z,p95_z,up_med_z,dn_med_z,up_pge2s,dn_pge2s,rev7_p,fwd7_med_sig,momenta_mode
501-750,ai-big-data,207,21605,428,0.02341484763936758,0.02135313681716707,0.0020617108222005104,0.46186655426048717,2.1484472945465085,0.4880881618150308,0.44311117859636173,0.08822523652114442,0.030405049973698053,0.5041888451747281,-0.30835656244241205,SHORT_COLD_MEDIUM_COLD
501-750,algorand,6,384,14,0.04516129032258064,0.02135313681716707,0.023808153505413574,0.4235612584910804,2.595252684505135,0.41059127633358206,0.43992263786171903,0.08333333333333333,0.04819277108433735,0.5625,-0.6031549358816042,SHORT_COLD_MEDIUM_COLD
501-750,arbitrum,6,447,7,0.017721518987341773,0.02135313681716707,-0.0036316178298252955,0.37524607326892523,1.9348729440389931,0.3515749137237093,0.3886143988900707,0.062146892655367235,0.03669724770642202,0.465324384787472,-0.6784967456011607,SHORT_COLD_MEDIUM_COLD
501-750,art,6,426,6,0.01729106628242075,0.02135313681716707,-0.004062070534746318,0.4579273682471556,1.9187309991577945,0.4628190170326974,0.456300721332794,0.06321839080459771,0.023121387283236993,0.4859154929577465,-0.1449108447195238,SHORT_HOT_MEDIUM_HOT
501-750,asset-management,58,6267,146,0.026838235294117645,0.02135313681716707,0.005485098476950577,0.4312106737742888,2.2759295860094646,0.42911664354843726,0.4323006668217826,0.08498168498168499,0.040221402214022144,0.5126854954523695,-0.1405313742331179,SHORT_HOT_MEDIUM_HOT
501-750,avalanche,8,542,11,0.024070021881838075,0.02135313681716707,0.002716885064671007,0.49621277461415536,2.2102671979380526,0.5217194962154491,0.4587685564237618,0.09302325581395349,0.0371900826446281,0.4833948339483395,-0.4249836749835347,SHORT_COLD_MEDIUM_COLD
501-750,base,13,708,9,0.016981132075471698,0.02135313681716707,-0.004372004741695371,0.35636055225085383,1.793940569165206,0.30860452837038366,0.3782072522911252,0.07174887892376682,0.013029315960912053,0.4830508474576271,-0.5712876743642749,SHORT_COLD_MEDIUM_COLD
501-750,binance-chain,15,1373,38,0.03301476976542137,0.02135313681716707,0.011661632948254303,0.3530459588700317,2.558059450303043,0.43536617537156075,0.3057030168134048,0.14897260273972604,0.0427807486631016,0.45957756737072103,0.019268895912461007,SHORT_HOT_MEDIUM_HOT
501-750,binance-labs-portfolio,6,621,10,0.017482517482517484,0.02135313681716707,-0.0038706193346495846,0.3795837433943292,1.7545755320271534,0.39866432939064705,0.3675203843793531,0.05813953488372093,0.025477707006369428,0.48792270531400966,-0.22488740868510138,SHORT_COLD_MEDIUM_COLD
501-750,binance-launchpad,5,1296,30,0.025619128949615714,0.02135313681716707,0.0042659921324486455,0.4055619572648464,2.20106869844874,0.4029609071522791,0.4113629437902376,0.06292517006802721,0.051457975986277875,0.49382716049382713,-0.055185702831034016,SHORT_COLD_MEDIUM_COLD
501-750,binance-smart-chain,82,3916,75,0.02505846976277982,0.02135313681716707,0.00370533294561275,0.4072803564349108,2.140765859150401,0.45793809904886446,0.373726836974922,0.08074123097286565,0.033356024506466984,0.4816138917262513,-0.044832782813739695,SHORT_HOT_MEDIUM_HOT
501-750,bitcoin,6,1354,31,0.026909722222222224,0.02135313681716707,0.005556585405055155,0.2751128082347213,2.178789015719273,0.39648196153466425,0.3727069996788107,0.0957683741648107,0.041666666666666664,0.4202363367799114,-0.01738811348504904,SHORT_COLD_MEDIUM_COLD
501-750,bnb-chain,80,8472,187,0.02459878979215996,0.02135313681716707,0.00324565297499289,0.3851900496466946,2.1265562923152834,0.4080507974253449,0.41477888653553774,0.0671725688589095,0.04961528256832051,0.477219074598678,-0.11230914086269775,SHORT_COLD_MEDIUM_COLD
