lens,rank_band,label,n,mean,std,tstat,pvalue,sig_bh5
sector,501-750,ai-big-data,18279,-inf,,,,False
sector,501-750,algorand,310,-inf,,,,False
sector,501-750,analytics,1144,-inf,,,,False
sector,501-750,arbitrum,395,-inf,,,,False
sector,501-750,art,347,-inf,,,,False
sector,501-750,asset-management,5440,-inf,,,,False
sector,501-750,avalanche,457,-inf,,,,False
sector,501-750,base,530,-inf,,,,False
sector,501-750,binance-chain,1151,-inf,,,,False
sector,501-750,binance-labs-portfolio,572,-inf,,,,False
sector,501-750,binance-launchpad,1171,-inf,,,,False
sector,501-750,binance-smart-chain,2993,-inf,,,,False
sector,501-750,bitcoin,1152,-inf,,,,False
sector,501-750,bnb-chain,7602,-inf,,,,False
sector,501-750,centralized-exchange,2370,-inf,,,,False
sector,501-750,coinbase-ventures-portfolio,406,-inf,,,,False
sector,501-750,collectibles-nfts,30221,-inf,,,,False
sector,501-750,commodities,374,-inf,,,,False
sector,501-750,communications-social-media,3161,-inf,,,,False
sector,501-750,cosmos,8430,-inf,,,,False
sector,501-750,cross-chain,491,-inf,,,,False
sector,501-750,cybersecurity,5148,-inf,,,,False
sector,501-750,dag,1735,-inf,,,,False
sector,501-750,dao,3661,-inf,,,,False
sector,501-750,dao-maker,307,-inf,,,,False
sector,501-750,decentralized-exchange,3155,-inf,,,,False
sector,501-750,decentralized-exchange-dex-token,9130,-inf,,,,False
sector,501-750,defi,57445,-inf,,,,False
sector,501-750,defi-2,320,-inf,,,,False
sector,501-750,derivatives,492,-inf,,,,False
sector,501-750,distributed-computing,4767,-inf,,,,False
sector,501-750,dpos,1641,-inf,,,,False
sector,501-750,dwf-labs-portfolio,1156,-inf,,,,False
sector,501-750,education,1228,-inf,,,,False
sector,501-750,energy,1652,-inf,,,,False
sector,501-750,enterprise-solutions,650,-inf,,,,False
sector,501-750,ethereum,16886,-inf,,,,False
sector,501-750,events,996,-inf,,,,False
sector,501-750,exnetwork-capital-portfolio,1200,-inf,,,,False
sector,501-750,fan-token,1689,-inf,,,,False
sector,501-750,fantom,538,-inf,,,,False
sector,501-750,filesharing,616,-inf,,,,False
sector,501-750,gambling,1904,-inf,,,,False
sector,501-750,gaming,8141,-inf,,,,False
sector,501-750,hardware,1509,-inf,,,,False
sector,501-750,health,1956,-inf,,,,False
sector,501-750,hospitality,1039,-inf,,,,False
sector,501-750,hybrid-pow-pos,776,-inf,,,,False
sector,501-750,identity,479,-inf,,,,False
sector,501-750,insurance,994,-inf,,,,False
sector,501-750,interoperability,2871,-inf,,,,False
sector,501-750,iot,1428,-inf,,,,False
sector,501-750,launchpad,585,-inf,,,,False
sector,501-750,layer-1,858,-inf,,,,False
sector,501-750,lending-borowing,320,-inf,,,,False
sector,501-750,liquid-staking-derivatives,336,-inf,,,,False
sector,501-750,logistics,2330,-inf,,,,False
sector,501-750,lpos,487,-inf,,,,False
sector,501-750,marketing,2687,-inf,,,,False
sector,501-750,marketplace,16068,-inf,,,,False
sector,501-750,masternodes,311,-inf,,,,False
sector,501-750,media,11551,-inf,,,,False
sector,501-750,medium-of-exchange,5256,-inf,,,,False
sector,501-750,memes,14216,-inf,,,,False
sector,501-750,metaverse,906,-inf,,,,False
sector,501-750,mineable,27049,-inf,,,,False
sector,501-750,music,668,-inf,,,,False
sector,501-750,mvb,488,-inf,,,,False
sector,501-750,optimism,703,-inf,,,,False
sector,501-750,oracles,422,-inf,,,,False
sector,501-750,osmosis,367,-inf,,,,False
sector,501-750,payments,1011,-inf,,,,False
sector,501-750,platform,27478,-inf,,,,False
sector,501-750,polkadot,1795,-inf,,,,False
sector,501-750,polkastarter,323,-inf,,,,False
sector,501-750,polygon,1535,-inf,,,,False
sector,501-750,pos,4450,-inf,,,,False
sector,501-750,pow,1517,-inf,,,,False
sector,501-750,prediction-markets,716,-inf,,,,False
sector,501-750,privacy,3322,-inf,,,,False
sector,501-750,real-estate,1930,-inf,,,,False
sector,501-750,real-world-assets,612,-inf,,,,False
sector,501-750,retail,940,-inf,,,,False
sector,501-750,scaling,1354,-inf,,,,False
sector,501-750,services,7754,-inf,,,,False
sector,501-750,smart-contracts,585,-inf,,,,False
sector,501-750,solana,3626,-inf,,,,False
sector,501-750,spartan-group,373,-inf,,,,False
sector,501-750,sports,5842,-inf,,,,False
sector,501-750,stablecoin,7096,-inf,,,,False
sector,501-750,staking,420,-inf,,,,False
sector,501-750,storage,366,-inf,,,,False
sector,501-750,store-of-value,1692,-inf,,,,False
sector,501-750,substrate,431,-inf,,,,False
sector,501-750,tokenized-stock,1803,-inf,,,,False
sector,501-750,trustswap-launchpad,559,-inf,,,,False
sector,501-750,vr-ar,2686,-inf,,,,False
sector,501-750,wallet,1426,-inf,,,,False
sector,501-750,web3,447,-inf,,,,False
sector,501-750,yield-farming,1429,-inf,,,,False
sector,501-750,zero-knowledge-proofs,1052,-inf,,,,False
sector,751-1000,ai-big-data,21110,-inf,,,,False
sector,751-1000,alameda-research-portfolio,640,-inf,,,,False
sector,751-1000,algorand,628,-inf,,,,False
sector,751-1000,amm,806,-inf,,,,False
sector,751-1000,arbitrum,325,-inf,,,,False
sector,751-1000,art,317,-inf,,,,False
sector,751-1000,asset-management,7646,-inf,,,,False
sector,751-1000,avalanche,1192,-inf,,,,False
sector,751-1000,base,630,-inf,,,,False
sector,751-1000,binance-chain,1009,-inf,,,,False
sector,751-1000,binance-labs-portfolio,407,-inf,,,,False
sector,751-1000,binance-launchpad,731,-inf,,,,False
sector,751-1000,binance-smart-chain,3742,-inf,,,,False
sector,751-1000,bitcoin,605,-inf,,,,False
sector,751-1000,bnb-chain,9554,-inf,,,,False
sector,751-1000,cardano,540,-inf,,,,False
sector,751-1000,centralized-exchange,2949,-inf,,,,False
sector,751-1000,coinbase-ventures-portfolio,411,-inf,,,,False
sector,751-1000,collectibles-nfts,29381,-inf,,,,False
sector,751-1000,commodities,351,-inf,,,,False
sector,751-1000,communications-social-media,4500,-inf,,,,False
sector,751-1000,content-creation,486,-inf,,,,False
sector,751-1000,cosmos,6369,-inf,,,,False
sector,751-1000,crowdfunding,515,-inf,,,,False
sector,751-1000,cybersecurity,3971,-inf,,,,False
sector,751-1000,dag,2646,-inf,,,,False
sector,751-1000,dao,2924,-inf,,,,False
sector,751-1000,dao-maker,428,-inf,,,,False
sector,751-1000,data-provenance,397,-inf,,,,False
sector,751-1000,decentralized-exchange,3384,-inf,,,,False
sector,751-1000,decentralized-exchange-dex-token,10107,-inf,,,,False
sector,751-1000,defi,46550,-inf,,,,False
sector,751-1000,defi-2,365,-inf,,,,False
sector,751-1000,derivatives,567,-inf,,,,False
sector,751-1000,distributed-computing,5515,-inf,,,,False
sector,751-1000,dpos,1349,-inf,,,,False
sector,751-1000,duckstarter,399,-inf,,,,False
sector,751-1000,dwf-labs-portfolio,965,-inf,,,,False
sector,751-1000,e-commerce,486,-inf,,,,False
sector,751-1000,education,1094,-inf,,,,False
sector,751-1000,energy,1542,-inf,,,,False
sector,751-1000,enterprise-solutions,779,-inf,,,,False
sector,751-1000,ethereum,19701,-inf,,,,False
sector,751-1000,events,1661,-inf,,,,False
sector,751-1000,exnetwork-capital-portfolio,581,-inf,,,,False
sector,751-1000,fan-token,1788,-inf,,,,False
sector,751-1000,fantom,807,-inf,,,,False
sector,751-1000,filesharing,1099,-inf,,,,False
sector,751-1000,gambling,3945,-inf,,,,False
sector,751-1000,gaming,10654,-inf,,,,False
sector,751-1000,hardware,642,-inf,,,,False
sector,751-1000,health,2407,-inf,,,,False
sector,751-1000,hospitality,946,-inf,,,,False
sector,751-1000,hybrid-pow-pos,910,0.0561956881164413,3.310581148049005,0.5120583494923985,0.6086101732267092,False
sector,751-1000,identity,814,-inf,,,,False
sector,751-1000,insurance,890,-inf,,,,False
sector,751-1000,interoperability,1468,-inf,,,,False
sector,751-1000,iot,617,-inf,,,,False
sector,751-1000,launchpad,1334,-inf,,,,False
sector,751-1000,layer-1,646,-inf,,,,False
sector,751-1000,layer-2,343,-inf,,,,False
sector,751-1000,liquid-staking-derivatives,359,-inf,,,,False
sector,751-1000,logistics,1702,-inf,,,,False
sector,751-1000,manufacturing,345,-inf,,,,False
sector,751-1000,marketing,2632,-inf,,,,False
sector,751-1000,marketplace,16496,-inf,,,,False
sector,751-1000,masternodes,1371,-inf,,,,False
sector,751-1000,media,5461,-inf,,,,False
sector,751-1000,medium-of-exchange,3602,-inf,,,,False
sector,751-1000,memes,18208,-inf,,,,False
sector,751-1000,metaverse,823,-inf,,,,False
sector,751-1000,mineable,33438,-inf,,,,False
sector,751-1000,music,431,-inf,,,,False
sector,751-1000,mvb,412,-inf,,,,False
sector,751-1000,olympus-pro,311,-inf,,,,False
sector,751-1000,optimism,1151,-inf,,,,False
sector,751-1000,oracles,1050,-inf,,,,False
sector,751-1000,payments,1764,-inf,,,,False
sector,751-1000,platform,25753,-inf,,,,False
sector,751-1000,play-to-earn,366,-inf,,,,False
sector,751-1000,polkadot,2283,-inf,,,,False
sector,751-1000,polkastarter,791,-inf,,,,False
sector,751-1000,polygon,1944,-inf,,,,False
sector,751-1000,pos,6330,-inf,,,,False
sector,751-1000,pow,2291,-inf,,,,False
sector,751-1000,prediction-markets,734,-inf,,,,False
sector,751-1000,privacy,2636,-inf,,,,False
sector,751-1000,real-estate,1568,-inf,,,,False
sector,751-1000,real-world-assets,1567,-inf,,,,False
sector,751-1000,retail,409,-inf,,,,False
sector,751-1000,scaling,488,-inf,,,,False
sector,751-1000,services,6451,-inf,,,,False
sector,751-1000,smart-contracts,616,-inf,,,,False
sector,751-1000,solana,4774,-inf,,,,False
sector,751-1000,spartan-group,308,-inf,,,,False
sector,751-1000,sports,10537,-inf,,,,False
sector,751-1000,stablecoin,5042,-inf,,,,False
sector,751-1000,staking,376,-inf,,,,False
sector,751-1000,store-of-value,1072,-inf,,,,False
sector,751-1000,substrate,1413,-inf,,,,False
sector,751-1000,sui,302,-inf,,,,False
sector,751-1000,tokenized-gold,917,-inf,,,,False
sector,751-1000,tokenized-stock,1057,-inf,,,,False
sector,751-1000,trustswap-launchpad,914,-inf,,,,False
sector,751-1000,vr-ar,2052,-inf,,,,False
sector,751-1000,wallet,1880,-inf,,,,False
sector,751-1000,web3,422,-inf,,,,False
sector,751-1000,yield-farming,1336,-inf,,,,False
sector,751-1000,zero-knowledge-proofs,1989,-inf,,,,False
sector,1001-1500,adult,593,-inf,,,,False
sector,1001-1500,ai-big-data,39047,-inf,,,,False
sector,1001-1500,algorand,1152,-inf,,,,False
sector,1001-1500,amm,804,-inf,,,,False
sector,1001-1500,aptos,479,-inf,,,,False
sector,1001-1500,arbitrum,683,-inf,,,,False
sector,1001-1500,arbitrum-ecosytem,1384,-inf,,,,False
sector,1001-1500,art,1374,-inf,,,,False
sector,1001-1500,asset-management,16421,-inf,,,,False
sector,1001-1500,avalanche,2282,-inf,,,,False
sector,1001-1500,base,1577,-inf,,,,False
sector,1001-1500,binance-chain,2873,-inf,,,,False
sector,1001-1500,binance-labs-portfolio,927,-inf,,,,False
sector,1001-1500,binance-launchpool,387,-inf,,,,False
sector,1001-1500,binance-smart-chain,8961,-inf,,,,False
sector,1001-1500,bnb-chain,19325,-inf,,,,False
