lens,value,rank_band,n,n_assets,p_ge1s,p_ge2s,p_ge3s,p_ge4s,med_z,p90_z,p95_z,p99_z,baseline_ge3s,zstat,pvalue,sig_bh5,lift_ge3s
sector,ai-big-data,501-750,18279,207,0.21593084960884074,0.05815416598282182,0.02341484763936758,0.011433885879971552,0.46186655426048717,1.540372012390063,2.1484472945465085,4.236589193737805,0.02135313681716707,1.928,0.05382581437644003,False,0.0020617108222005104
sector,algorand,501-750,310,6,0.22580645161290322,0.06451612903225806,0.04516129032258064,0.02258064516129032,0.4235612584910804,1.6747985207246976,2.595252684505135,5.493825837416146,0.02135313681716707,2.9,0.0037344322664016293,True,0.023808153505413574
sector,amm,501-750,220,3,0.2590909090909091,0.06363636363636363,0.02727272727272727,0.013636363636363636,0.49230601656910766,1.43432897542837,2.26025096819483,6.885524293650107,0.02135313681716707,0.607,0.5435999933020392,False,0.005919590455560203
sector,analytics,501-750,1144,2,0.1993006993006993,0.04895104895104895,0.017482517482517484,0.009615384615384616,0.4739432154937851,1.505613228565828,1.981414034712286,3.759450030099097,0.02135313681716707,-0.906,0.3651330186833246,False,-0.0038706193346495846
sector,aptos,501-750,249,3,0.24497991967871485,0.04819277108433735,0.012048192771084338,0.0,0.5339159254755975,1.5215465435540987,1.9883253136087942,3.21038557297203,0.02135313681716707,-1.016,0.30976765431098063,False,-0.00930494404608273
sector,arbitrum,501-750,395,6,0.18734177215189873,0.04810126582278481,0.017721518987341773,0.015189873417721518,0.37524607326892523,1.525084743240074,1.9348729440389931,4.764663360041956,0.02135313681716707,-0.499,0.6175735003987166,False,-0.0036316178298252955
sector,art,501-750,347,6,0.21902017291066284,0.043227665706051875,0.01729106628242075,0.011527377521613832,0.4579273682471556,1.5187720596659644,1.9187309991577945,3.673847040233712,0.02135313681716707,-0.523,0.6006668829158803,False,-0.004062070534746318
sector,asset-management,501-750,5440,58,0.21544117647058825,0.06268382352941176,0.026838235294117645,0.01213235294117647,0.4312106737742888,1.5899326828754368,2.2759295860094646,4.69241669166158,0.02135313681716707,2.799,0.005132548981145311,True,0.005485098476950577
sector,avalanche,501-750,457,8,0.2363238512035011,0.06345733041575492,0.024070021881838075,0.015317286652078774,0.49621277461415536,1.5178258855185343,2.2102671979380526,4.908703734164724,0.02135313681716707,0.402,0.6878478445793259,False,0.002716885064671007
sector,base,501-750,530,13,0.14150943396226415,0.03773584905660377,0.016981132075471698,0.01509433962264151,0.35636055225085383,1.200032296395501,1.793940569165206,4.971024430902314,0.02135313681716707,-0.696,0.48626273819173627,False,-0.004372004741695371
sector,binance-chain,501-750,1151,15,0.2206776715899218,0.09643788010425716,0.03301476976542137,0.023457862728062554,0.3530459588700317,1.9387992011910034,2.558059450303043,6.50531279017069,0.02135313681716707,2.737,0.006202796957093545,True,0.011661632948254303
sector,binance-labs-portfolio,501-750,572,6,0.19055944055944055,0.04020979020979021,0.017482517482517484,0.01048951048951049,0.3795837433943292,1.3217443812004586,1.7545755320271534,3.9906733798865215,0.02135313681716707,-0.64,0.5219285812157314,False,-0.0038706193346495846
sector,binance-launchpad,501-750,1171,5,0.1887275832621691,0.05721605465414176,0.025619128949615714,0.016225448334756618,0.4055619572648464,1.5421638733334428,2.20106869844874,5.305925684581407,0.02135313681716707,1.01,0.31256963178513053,False,0.0042659921324486455
sector,binance-smart-chain,501-750,2993,82,0.2061476779151353,0.057133311059137985,0.02505846976277982,0.01269629134647511,0.4072803564349108,1.494458573803566,2.140765859150401,4.703096399828377,0.02135313681716707,1.402,0.16082971227787746,False,0.00370533294561275
sector,bitcoin,501-750,1152,6,0.1501736111111111,0.05642361111111111,0.026909722222222224,0.017361111111111112,0.2751128082347213,1.2839936896144428,2.178789015719273,6.217475381351944,0.02135313681716707,1.305,0.19201577004070003,False,0.005556585405055155
sector,bnb-chain,501-750,7602,80,0.19468560905024992,0.056037884767166535,0.02459878979215996,0.013154433043935806,0.3851900496466946,1.4850752814286652,2.1265562923152834,4.727503442160209,0.02135313681716707,1.958,0.05027791279305789,False,0.00324565297499289
sector,centralized-exchange,501-750,2370,18,0.20717299578059073,0.05443037974683544,0.019409282700421943,0.01139240506329114,0.4564743489170187,1.4617593712528847,2.1343702416181447,4.232774728926592,0.02135313681716707,-0.655,0.5127078560579985,False,-0.0019438541167451258
sector,coinbase-ventures-portfolio,501-750,406,7,0.21182266009852216,0.06403940886699508,0.019704433497536946,0.0024630541871921183,0.4218998610955932,1.5759986179521706,2.2514558039088084,3.365145765712227,0.02135313681716707,-0.23,0.8182423905437799,False,-0.0016487033196301223
sector,collectibles-nfts,501-750,30221,173,0.21097912047913703,0.05688097680420899,0.022633268257172164,0.011316634128586082,0.44145029218799253,1.522117728369448,2.1152164612515736,4.182683097700128,0.02135313681716707,1.539,0.12369486822648816,False,0.0012801314400050952
sector,commodities,501-750,374,6,0.27807486631016043,0.10160427807486631,0.05080213903743316,0.02406417112299465,0.47461779922589004,1.9970919196472208,3.042493578369608,6.029838804372219,0.02135313681716707,3.94,8.158545313895886e-05,True,0.02944900222026609
sector,communications-social-media,501-750,3161,32,0.18696614995254665,0.054413160392280925,0.0249920911104081,0.014552356849098386,0.401417367293978,1.4826370585749373,2.078110439471811,4.982446374354935,0.02135313681716707,1.415,0.1569839012909917,False,0.003638954293241032
sector,content-creation,501-750,244,16,0.19262295081967212,0.06147540983606557,0.036885245901639344,0.028688524590163935,0.35089134978794045,1.6140277993948628,2.2436446648028703,8.591473398171493,0.02135313681716707,1.678,0.0932795715391428,False,0.015532109084472275
sector,cosmos,501-750,8430,40,0.20688018979833928,0.06037959667852906,0.023013048635824436,0.012099644128113879,0.439475135662542,1.5362314563950128,2.1787450004089792,4.326660070656626,0.02135313681716707,1.054,0.2917558637513661,False,0.0016599118186573676
sector,cross-chain,501-750,491,1,0.18126272912423624,0.054989816700611,0.026476578411405296,0.016293279022403257,0.4143531199312315,1.5608783962886243,2.057848425873855,4.406624656300225,0.02135313681716707,0.785,0.4322532188382041,False,0.0051234415942382275
sector,cybersecurity,501-750,5148,14,0.2134809634809635,0.06216006216006216,0.02428127428127428,0.012043512043512044,0.4561666055721035,1.580857905000484,2.2021804051369345,4.237746539105444,0.02135313681716707,1.453,0.1461296940774881,False,0.002928137464107212
sector,dag,501-750,1735,10,0.21498559077809798,0.05936599423631124,0.02363112391930836,0.011527377521613832,0.4479034048820762,1.593757633797661,2.1129100926097326,4.544309848834716,0.02135313681716707,0.656,0.5115778907738424,False,0.0022779871021412906
