rank_band,sign,amplitude,n_events,unique_assets,horizon,p_rev,gb_med,gb_p75,cont_prob,cont_amp_sig,fwd_med_sig
501-750,UP,2s,9500,1981,1D,0.6092631578947368,0.11636011927677431,0.41464434825722984,0.38894736842105265,0.7946758248359438,-0.27609242774472
501-750,UP,2s,9500,1981,2D,0.6022105263157894,0.14657664085385186,0.5427617169324285,0.39652631578947367,1.1107384621932235,-0.345432280310109
501-750,UP,2s,9500,1981,3D,0.5902105263157895,0.1723451914063446,0.6343380537128739,0.40378947368421053,1.257728628504363,-0.4133116462393908
501-750,UP,2s,9500,1981,5D,0.5793684210526315,0.17683713233697637,0.7534790489550841,0.41536842105263155,1.6341709010056518,-0.41500152656561823
501-750,UP,2s,9500,1981,7D,0.5750526315789474,0.19566384215952687,0.8430308308642195,0.42357894736842105,1.9064389025070914,-0.47316037105908465
501-750,UP,2s,9500,1981,10D,0.5645263157894737,0.18992197409120418,0.9618049264460968,0.4341052631578947,2.27466941460745,-0.45370724355029113
501-750,UP,2s,9500,1981,14D,0.5612631578947368,0.2262559156036591,1.1441213649334514,0.43726315789473685,2.6965592515325403,-0.5318271106978478
501-750,UP,2s,9500,1981,21D,0.5570526315789474,0.24643831915313777,1.411465716600019,0.4413684210526316,3.2587447816507926,-0.5876783263912897
501-750,UP,2s,9500,1981,30D,0.5636842105263158,0.34460915776384143,1.8017577836009253,0.43536842105263157,4.034818060790659,-0.8172665491253998
501-750,UP,3s,3804,1501,1D,0.6235541535226078,0.11196700937080187,0.3707091224447139,0.3722397476340694,0.9592851982147881,-0.37733807175401857
501-750,UP,3s,3804,1501,2D,0.6217139852786541,0.15054269447772403,0.48250357833322044,0.37723449001051523,1.3272936676878753,-0.5078003905696129
501-750,UP,3s,3804,1501,3D,0.6046267087276551,0.154911073669929,0.5375097283129581,0.38801261829652994,1.6032246467033158,-0.5299640716023735
501-750,UP,3s,3804,1501,5D,0.5964773922187171,0.18634044482984766,0.6299692866735411,0.3980021030494217,1.9803550639632792,-0.6332002284218303
501-750,UP,3s,3804,1501,7D,0.593322818086225,0.18403829469207794,0.7206267705199887,0.40562565720294425,2.189526980450729,-0.6315981026564776
501-750,UP,3s,3804,1501,10D,0.5872765509989485,0.2205332202566725,0.8310367210654959,0.4116719242902208,2.601161707048223,-0.751322075193513
501-750,UP,3s,3804,1501,14D,0.5817560462670873,0.22936704332002233,0.9335116364212331,0.4166666666666667,3.054806188314163,-0.7985408020279072
501-750,UP,3s,3804,1501,21D,0.5767613038906414,0.2544527127326862,1.129799234288751,0.4216614090431125,3.7389657462770822,-0.8546347275467073
501-750,UP,3s,3804,1501,30D,0.5725552050473186,0.33962611962012407,1.3736765831531241,0.4271819137749737,4.220930175037352,-1.15514334804032
