scale,rank_band,state,n,p_abs_gt1s,p_abs_gt2s,p_abs_gt3s,p_up_gt2s,p_dn_gt2s,bd_base_p_gt2s,bd_base_p_gt3s,lift_2s,risk_ratio_2s,odds_2s,med_fwd7_sig
20d,501-750,NON_SHMC,417908,0.27466571589919314,0.09463805430860381,0.043856542588320876,0.04955636168726131,0.0450816926213425,0.09169451558498344,0.04218330314198263,0.0029435387236203675,1.0321015788658838,0.10453062972105784,-0.06925816270969401
20d,501-750,SHMC,94380,0.24481881754609028,0.07866073320618776,0.03477431659249841,0.03601398601398601,0.04264674719220174,0.09169451558498344,0.04218330314198263,-0.013033782378795683,0.8578564672527679,0.08537651225907356,-0.11107051433288959
20d,751-1000,NON_SHMC,425345,0.2826129377328992,0.10146586888290682,0.0479798751601641,0.05820921839918184,0.04325665048372498,0.09910134417909199,0.046574492936686994,0.0023645247038148326,1.0238596632911634,0.11292377815048656,-0.049626315450341255
20d,751-1000,SHMC,100329,0.263532976507291,0.08907693687767246,0.04061637213567364,0.04672627056982528,0.04235066630784718,0.09910134417909199,0.046574492936686994,-0.010024407301419527,0.8988469088441039,0.0977875525210084,-0.10981185149680282
20d,1001-1500,NON_SHMC,844753,0.27657078459620743,0.1023861412744317,0.05143988834606092,0.059573626847137566,0.042812514427294134,0.1000170776920501,0.049904069165606864,0.002369063582381606,1.023686590700799,0.11406479554560298,-0.04045914945045235
20d,1001-1500,SHMC,203398,0.25851778286905475,0.09017787785523948,0.04352550172568068,0.04991691167071456,0.04026096618452492,0.1000170776920501,0.049904069165606864,-0.009839199836810614,0.9016248018452884,0.09911594328203355,-0.08988306114588013
20d,1501-2000,NON_SHMC,830226,0.2883805132578358,0.1238457962048888,0.07276934232365645,0.07505426233338874,0.04879153387150005,0.12033896509106531,0.07049988392266263,0.0035068311138234803,1.0291412769851371,0.14135159731979116,0.0
20d,1501-2000,SHMC,207875,0.26419723391461214,0.1063331328923632,0.06143595911004209,0.0637498496692724,0.0425832832230908,0.12033896509106531,0.07049988392266263,-0.01400583219870212,0.8836134897113055,0.11898520221132469,-0.027811408848617013
30d,501-750,NON_SHMC,418125,0.25422062780269056,0.08180328849028401,0.03735007473841555,0.04451778774289985,0.037285500747384154,0.07906834261452549,0.035759581351242714,0.0027349458757585238,1.0345896446709646,0.0890912453343266,-0.06476666118353465
30d,501-750,SHMC,94381,0.22243883832551042,0.06695203483752027,0.028713406299996823,0.03201915639800384,0.03493287843951643,0.07906834261452549,0.035759581351242714,-0.012116307777005217,0.846761581483063,0.07175626263314484,-0.10224372567846533
30d,751-1000,NON_SHMC,425984,0.2627117450420673,0.0890972430889423,0.04086773212139423,0.05306537334735577,0.036031869741586536,0.08675065977849683,0.0395373095477406,0.002346583310445474,1.0270497459781525,0.09781202484343994,-0.04553127799366244
30d,751-1000,SHMC,100329,0.24134597175293285,0.07678736955416679,0.03388850681258659,0.042191190981670304,0.034596178572496486,0.08675065977849683,0.0395373095477406,-0.00996329022433004,0.8851502657182133,0.08317408906882591,-0.10220704222168128
30d,1001-1500,NON_SHMC,846399,0.25678787427678906,0.09022340527339942,0.044627888265463454,0.054586548424560996,0.03563685684883843,0.08786261737972448,0.043174972709035454,0.0023607878936749427,1.0268690822568156,0.09917094569850163,-0.036255017634118765
30d,1001-1500,SHMC,203399,0.237424962757929,0.07803873175384343,0.03712899276790938,0.04521162837575406,0.03282710337808937,0.08786261737972448,0.043174972709035454,-0.009823885625881046,0.8881903826809051,0.08464426266224417,-0.08272097476622722
30d,1501-2000,NON_SHMC,832284,0.2673270181812939,0.11040101696055674,0.0643350106454047,0.06848143181894642,0.041919585141610316,0.10728744355430275,0.0623145115314101,0.0031135734062539833,1.0290208555922769,0.12410200445975751,0.0
30d,1501-2000,SHMC,207875,0.24496452194828622,0.09482140709561035,0.054224894768490677,0.058607336139506916,0.03621407095610343,0.10728744355430275,0.0623145115314101,-0.012466036458692403,0.8838071255525554,0.10475436321506772,-0.025450379466133047
63d,501-750,NON_SHMC,394051,0.22333911092726577,0.0675724715836275,0.030308259590763633,0.0378504305280281,0.0297220410555994,0.06455718505467171,0.028748510131108462,0.003015286528955788,1.0467072182035544,0.07246940863960982,-0.05487232870326669
63d,501-750,SHMC,88374,0.18453391268925248,0.05111231810260936,0.021793740240342183,0.025426030280399213,0.025686287822210153,0.06455718505467171,0.028748510131108462,-0.013444866952062352,0.7917370941642474,0.053865509140560715,-0.08599388841746454
63d,751-1000,NON_SHMC,413887,0.23286549227204525,0.07385349141190711,0.0336130393078304,0.045797524445078,0.02805596696682911,0.07122867061066836,0.03230626313988168,0.002624820801238756,1.0368506217894458,0.07974277366169258,-0.0382365251142073
63d,751-1000,SHMC,97438,0.20784498860814057,0.06007922986925019,0.026755475276586137,0.034432151727252204,0.02564707814199799,0.07122867061066836,0.03230626313988168,-0.011149440741418166,0.8434697623045594,0.06391946191474493,-0.08887762566705752
63d,1001-1500,NON_SHMC,826946,0.22676329530586037,0.07436882214799999,0.03614867234378061,0.0471300423485935,0.02723877979940649,0.07190390315410432,0.03473425800668878,0.0024649189938956706,1.034280739789784,0.08034390362755357,-0.02941726973046526
63d,1001-1500,SHMC,198353,0.20280509999848753,0.06162750248294707,0.028837476619965417,0.0371811870755673,0.024446315407379772,0.07190390315410432,0.03473425800668878,-0.010276400671157246,0.8570814626136097,0.06567488139945953,-0.07071678430221057
63d,1501-2000,NON_SHMC,814870,0.2364548946457717,0.09361002368475953,0.05443076809797882,0.05969295715881061,0.033917066525948926,0.09073289284710884,0.05270411781925919,0.0028771308376506904,1.0317098986637498,0.10327786728766974,0.0
63d,1501-2000,SHMC,203096,0.21264820577460905,0.07918915192815221,0.04577638161263639,0.050119155473273724,0.029069996454878483,0.09073289284710884,0.05270411781925919,-0.01154374091895663,0.872772259797683,0.0859993690278216,-0.02064072984194626
ewma,501-750,NON_SHMC,410917,0.2526130581114921,0.08186324732245198,0.03677871686983016,0.04382150166578652,0.03804174565666546,0.07927029137091536,0.03544049314731047,0.0025929559515366213,1.032710311854461,0.08916236833316547,-0.06065568793740048
ewma,501-750,SHMC,92462,0.22361618827193874,0.06774675001622288,0.029493197205338408,0.031796846271982,0.035949903744240876,0.07927029137091536,0.03544049314731047,-0.011523541354692482,0.854629759076166,0.07266989953363187,-0.10164110340606854
ewma,751-1000,NON_SHMC,423946,0.2627929028697051,0.0882683171913404,0.04060186910597104,0.051709415821826366,0.03655890136951404,0.08604457862404341,0.03940039553258367,0.00222373856729699,1.0258440287913224,0.09681391889269775,-0.04059839032207892
ewma,751-1000,SHMC,99399,0.24401653940180484,0.07656012635942011,0.03427599875250254,0.04171068119397579,0.03484944516544432,0.08604457862404341,0.03940039553258367,-0.0094844522646233,0.889772808278091,0.08290753794027607,-0.10194280665171741
ewma,1001-1500,NON_SHMC,846937,0.25378392961932233,0.0889806443690617,0.04353806717618902,0.05331447321347397,0.03566617115558773,0.08684196473186528,0.042183679619168225,0.002138679637196411,1.0246272599174815,0.09767151907265131,-0.029530241027355443
ewma,1001-1500,SHMC,201715,0.23695808442604666,0.07786233051582679,0.03649703790000744,0.04470168306769452,0.03316064744813227,0.08684196473186528,0.042183679619168225,-0.008979634216038493,0.89659798412249,0.08443677456467161,-0.08263039779506974
ewma,1501-2000,NON_SHMC,832075,0.2641264309106751,0.10833879157527868,0.06273833488567737,0.06659976564612564,0.041739025929153024,0.10550096056160353,0.060887568551357546,0.0028378310136751433,1.0268986272595888,0.12150219225828887,0.0
ewma,1501-2000,SHMC,206380,0.24242659172400427,0.094059501889718,0.05342571954646768,0.057917433859870145,0.03614206802984785,0.10550096056160353,0.060887568551357546,-0.011441458671885535,0.8915511421793672,0.10382525351931882,-0.024803729479009776
mad,501-750,NON_SHMC,328241,0.3828619825067557,0.1507977370285857,0.07514295898440475,0.0755268232792369,0.0752709137493488,0.1444312949389874,0.07130816584288882,0.006366442089598301,1.0440793810807256,0.17757575975002063,-0.11155859777467377
mad,501-750,SHMC,73971,0.3288586067512944,0.11618066539589839,0.05429154668721526,0.053669681361614686,0.0625109840342837,0.1444312949389874,0.07130816584288882,-0.028250629543089018,0.8044009121774957,0.1314529574621044,-0.15241513706856794
mad,751-1000,NON_SHMC,368683,0.39651136613296517,0.16828549187242156,0.08967595468193543,0.0921821727608813,0.07610331911154027,0.16215293731539218,0.08551799584290559,0.006132554557029379,1.0378195711934677,0.20233564549845257,-0.09127686875302118
mad,751-1000,SHMC,88367,0.35534758450552806,0.13656681792977016,0.06817024454830423,0.07039958355494698,0.06616723437482318,0.16215293731539218,0.08551799584290559,-0.025586119385622025,0.8422099543232061,0.1581672105794309,-0.15723382531565536
