pre_rank_state,cross_state,n,pct,n_total
RANK_IMPROVING,PRICE_RECOVERY_RANK_RECOVERY,93,0.29430379746835444,316
RANK_IMPROVING,PRICE_RECOVERY_RANK_DECAY,76,0.24050632911392406,316
RANK_IMPROVING,PRICE_DECAY_RANK_RECOVERY,47,0.14873417721518986,316
RANK_IMPROVING,PRICE_DECAY_RANK_DECAY,100,0.31645569620253167,316
RANK_IMPROVING,TOTAL,316,1.0,316
RANK_STABLE,PRICE_RECOVERY_RANK_RECOVERY,12,0.34285714285714286,35
RANK_STABLE,PRICE_RECOVERY_RANK_DECAY,9,0.2571428571428571,35
RANK_STABLE,PRICE_DECAY_RANK_RECOVERY,3,0.08571428571428572,35
RANK_STABLE,PRICE_DECAY_RANK_DECAY,11,0.3142857142857143,35
RANK_STABLE,TOTAL,35,1.0,35
RANK_DETERIORATING,PRICE_RECOVERY_RANK_RECOVERY,234,0.3482142857142857,672
RANK_DETERIORATING,PRICE_RECOVERY_RANK_DECAY,197,0.2931547619047619,672
RANK_DETERIORATING,PRICE_DECAY_RANK_RECOVERY,59,0.08779761904761904,672
RANK_DETERIORATING,PRICE_DECAY_RANK_DECAY,182,0.2708333333333333,672
RANK_DETERIORATING,TOTAL,672,1.0,672
