variable,n_lags_tested,first_sig_lag,continuous_sig_start,peak_abs_lag,peak_abs_diff,monotonic_from_start,sign_flip,any_sig
breadth_accel,17,10.0,,-14.0,0.020999999999999994,True,True,True
breadth_vel,17,2.0,,5.0,0.020000000000000018,True,True,True
btc_dom_chg30,17,,,-21.0,0.002982567888161869,False,True,False
btc_dominance,17,,,-30.0,0.010135340286204997,False,True,False
btc_return_30d,17,2.0,2.0,10.0,0.04281033686874447,True,True,True
chain_tvl_med_chg7,17,5.0,5.0,10.0,0.02713875487984707,True,True,True
dex_volume_change_7d,17,14.0,14.0,14.0,0.07341909372179262,True,True,True
eth_btc_relative_return_30d,17,,,-1.0,0.008349589521091327,False,True,False
eth_btc_relative_return_7d,17,5.0,,5.0,0.010685085020922636,True,True,True
eth_share,17,,,0.0,0.005230746774587458,False,True,False
leadership_width,17,,,-30.0,0.0,False,False,False
med_ret30_11_50,17,3.0,3.0,7.0,0.043564525140630694,True,True,True
med_ret30_201_500,17,2.0,2.0,7.0,0.05224914853805296,True,True,True
med_ret30_51_200,17,2.0,2.0,10.0,0.0595395807152575,True,True,True
mkt_ret_1d,17,2.0,,7.0,0.005239446867445921,True,True,True
n_stablecoins_in_top500,17,,,10.0,1.0,False,False,False
pos_ret_share,17,2.0,,2.0,0.10999999999999999,True,True,True
pos_vel7_share,17,7.0,,7.0,0.01200000000000001,True,True,True
rank_depth_rel,17,-21.0,,-21.0,0.007415730674996929,True,True,True
rb_spread,17,14.0,14.0,-30.0,0.5,True,True,True
stablecoin_change_30d,17,,,-10.0,0.004815932395188072,False,False,False
stablecoin_change_7d,17,,,-21.0,0.0019349416685914278,False,False,False
top3_share,17,,,14.0,0.002993659255506431,False,True,False
top3_share_chg7,17,,,7.0,0.0019031444637534478,False,True,False
top500_breadth_30d,17,3.0,3.0,10.0,0.133,True,True,True
top500_breadth_7d,17,2.0,,7.0,0.238,True,True,True
top500_dispersion_30d,17,3.0,7.0,-14.0,0.04977977885971546,True,True,True
top500_dispersion_7d,17,2.0,2.0,7.0,0.019433749304611142,True,False,True
total_mcap_chg30,17,3.0,3.0,10.0,0.05632655263952441,True,True,True
vol_med,17,,,14.0,0.0018554340520101908,False,True,False
