event_id,price_recovery_day,pre_rank_state,rank_outcome,fwd_rank_vel_14d,price_recovered,rank_recovered
LF2EV_3_20220519,2.0,RANK_DETERIORATING,RANK_RECOVERY,-5.0,1,1
LF2EV_3_20220804,3.0,RANK_DETERIORATING,RANK_CONTINUED_DETERIORATION,-13.0,1,0
LF2EV_3_20250228,1.0,RANK_DETERIORATING,RANK_RECOVERY,-1.0,1,1
LF2EV_5_20200925,1.0,RANK_IMPROVING,RANK_RECOVERY,263.0,1,1
LF2EV_5_20241130,3.0,RANK_DETERIORATING,RANK_RECOVERY,-80.0,1,1
LF2EV_41_20220625,1.0,RANK_IMPROVING,RANK_CONTINUED_DETERIORATION,-17.0,0,0
LF2EV_42_20220813,1.0,RANK_IMPROVING,RANK_CONTINUED_DETERIORATION,55.0,1,0
LF2EV_45_20201227,1.0,RANK_DETERIORATING,RANK_CONTINUED_DETERIORATION,-122.0,1,0
LF2EV_66_20210424,2.0,RANK_IMPROVING,RANK_RECOVERY,47.0,0,1
LF2EV_66_20210728,3.0,RANK_DETERIORATING,RANK_CONTINUED_DETERIORATION,-21.0,1,0
LF2EV_77_20220623,1.0,RANK_DETERIORATING,RANK_RECOVERY,35.0,1,1
LF2EV_77_20230120,1.0,RANK_DETERIORATING,RANK_RECOVERY,-137.0,1,1
LF2EV_90_20240126,10.0,RANK_DETERIORATING,RANK_CONTINUED_DETERIORATION,-15.0,1,0
LF2EV_90_20240210,1.0,RANK_DETERIORATING,RANK_RECOVERY,-18.0,1,1
LF2EV_233_20210414,2.0,RANK_IMPROVING,RANK_CONTINUED_DETERIORATION,26.0,0,0
LF2EV_258_20240603,,RANK_DETERIORATING,RANK_CONTINUED_DETERIORATION,-81.0,0,0
LF2EV_268_20250319,,RANK_DETERIORATING,RANK_CONTINUED_DETERIORATION,13.0,0,0
LF2EV_372_20220305,5.0,RANK_DETERIORATING,RANK_RECOVERY,-73.0,1,1
LF2EV_372_20220626,1.0,RANK_DETERIORATING,RANK_RECOVERY,-10.0,1,1
LF2EV_406_20210304,14.0,RANK_DETERIORATING,RANK_CONTINUED_DETERIORATION,-30.0,1,0
LF2EV_406_20210306,2.0,RANK_DETERIORATING,RANK_CONTINUED_DETERIORATION,-198.0,1,0
LF2EV_470_20210411,,RANK_IMPROVING,RANK_CONTINUED_DETERIORATION,49.0,0,0
LF2EV_506_20210703,30.0,RANK_DETERIORATING,RANK_RECOVERY,-12.0,1,1
LF2EV_624_20220907,3.0,RANK_DETERIORATING,RANK_CONTINUED_DETERIORATION,11.0,0,0
LF2EV_707_20210529,1.0,RANK_DETERIORATING,RANK_CONTINUED_DETERIORATION,-92.0,1,0
LF2EV_760_20210725,1.0,RANK_DETERIORATING,RANK_RECOVERY,-99.0,1,1
LF2EV_788_20210807,2.0,RANK_IMPROVING,RANK_RECOVERY,185.0,1,1
LF2EV_895_20200714,1.0,RANK_DETERIORATING,RANK_CONTINUED_DETERIORATION,-51.0,1,0
LF2EV_1008_20201020,,RANK_DETERIORATING,RANK_CONTINUED_DETERIORATION,-158.0,0,0
LF2EV_1107_20201224,5.0,RANK_DETERIORATING,RANK_RECOVERY,-99.0,1,1
LF2EV_1156_20200725,2.0,RANK_DETERIORATING,RANK_CONTINUED_DETERIORATION,785.0,1,0
LF2EV_1172_20210401,1.0,RANK_DETERIORATING,RANK_RECOVERY,-233.0,1,1
LF2EV_1298_20250302,1.0,RANK_DETERIORATING,RANK_RECOVERY,-100.0,1,1
LF2EV_1320_20260613,1.0,RANK_DETERIORATING,RANK_CONTINUED_DETERIORATION,-122.0,1,0
LF2EV_1392_20230701,,RANK_IMPROVING,RANK_CONTINUED_DETERIORATION,-1.0,0,0
LF2EV_1473_20220320,1.0,RANK_DETERIORATING,RANK_RECOVERY,-18.0,1,1
LF2EV_1475_20210606,1.0,RANK_IMPROVING,RANK_RECOVERY,-8.0,1,1
LF2EV_1500_20210106,,RANK_DETERIORATING,RANK_CONTINUED_DETERIORATION,-79.0,0,0
LF2EV_1587_20201023,1.0,RANK_DETERIORATING,RANK_CONTINUED_DETERIORATION,-18.0,1,0
LF2EV_1587_20210307,1.0,RANK_DETERIORATING,RANK_RECOVERY,-43.0,1,1
LF2EV_1587_20210630,,RANK_DETERIORATING,RANK_CONTINUED_DETERIORATION,-89.0,0,0
LF2EV_1588_20210531,1.0,RANK_DETERIORATING,RANK_CONTINUED_DETERIORATION,182.0,1,0
LF2EV_1609_20201015,,RANK_DETERIORATING,RANK_CONTINUED_DETERIORATION,-73.0,0,0
LF2EV_1654_20200927,1.0,RANK_IMPROVING,RANK_RECOVERY,147.0,1,1
LF2EV_1660_20210509,,RANK_IMPROVING,RANK_CONTINUED_DETERIORATION,12.0,0,0
LF2EV_1673_20210302,5.0,RANK_DETERIORATING,RANK_CONTINUED_DETERIORATION,-39.0,1,0
LF2EV_1674_20241129,1.0,RANK_DETERIORATING,RANK_STABLE,0.0,0,0
LF2EV_1681_20210908,1.0,RANK_DETERIORATING,RANK_RECOVERY,-168.0,1,1
LF2EV_1700_20230113,1.0,RANK_IMPROVING,RANK_CONTINUED_DETERIORATION,2.0,1,0
LF2EV_1710_20201004,1.0,RANK_DETERIORATING,RANK_RECOVERY,232.0,1,1
LF2EV_1710_20211012,1.0,RANK_DETERIORATING,RANK_RECOVERY,-140.0,1,1
LF2EV_1712_20211018,1.0,RANK_DETERIORATING,RANK_RECOVERY,-97.0,1,1
LF2EV_1777_20210328,1.0,RANK_DETERIORATING,RANK_CONTINUED_DETERIORATION,-183.0,1,0
LF2EV_1786_20260104,1.0,RANK_DETERIORATING,RANK_RECOVERY,-164.0,1,1
LF2EV_1807_20200920,,RANK_STABLE,RANK_RECOVERY,-25.0,0,1
LF2EV_1807_20210228,1.0,RANK_DETERIORATING,RANK_RECOVERY,-148.0,1,1
LF2EV_1808_20251019,,RANK_IMPROVING,RANK_CONTINUED_DETERIORATION,-10.0,0,0
LF2EV_1810_20210531,21.0,RANK_IMPROVING,RANK_CONTINUED_DETERIORATION,87.0,1,0
LF2EV_1814_20210717,2.0,RANK_DETERIORATING,RANK_RECOVERY,-75.0,1,1
LF2EV_1826_20210214,1.0,RANK_DETERIORATING,RANK_CONTINUED_DETERIORATION,-56.0,1,0
LF2EV_1826_20210922,1.0,RANK_DETERIORATING,RANK_RECOVERY,50.0,1,1
LF2EV_1826_20211212,1.0,RANK_DETERIORATING,RANK_RECOVERY,-70.0,1,1
LF2EV_1826_20230811,2.0,RANK_IMPROVING,RANK_RECOVERY,25.0,1,1
LF2EV_1828_20240202,1.0,RANK_DETERIORATING,RANK_CONTINUED_DETERIORATION,-112.0,1,0
LF2EV_1834_20210624,1.0,RANK_DETERIORATING,RANK_RECOVERY,-83.0,1,1
LF2EV_1856_20231217,1.0,RANK_IMPROVING,RANK_CONTINUED_DETERIORATION,-24.0,1,0
LF2EV_1856_20250726,,RANK_STABLE,RANK_CONTINUED_DETERIORATION,-8.0,0,0
LF2EV_1856_20251102,,RANK_DETERIORATING,RANK_CONTINUED_DETERIORATION,-132.0,0,0
LF2EV_1876_20211226,1.0,RANK_DETERIORATING,RANK_RECOVERY,71.0,0,1
LF2EV_1876_20241222,1.0,RANK_IMPROVING,RANK_RECOVERY,14.0,1,1
LF2EV_1883_20230923,1.0,RANK_DETERIORATING,RANK_CONTINUED_DETERIORATION,-87.0,1,0
LF2EV_1894_20210408,1.0,RANK_DETERIORATING,RANK_RECOVERY,-211.0,1,1
LF2EV_1899_20201216,,RANK_IMPROVING,RANK_CONTINUED_DETERIORATION,118.0,0,0
LF2EV_1935_20240514,,RANK_IMPROVING,RANK_CONTINUED_DETERIORATION,8.0,0,0
LF2EV_1947_20201017,1.0,RANK_DETERIORATING,RANK_RECOVERY,-32.0,1,1
LF2EV_1947_20211010,,RANK_IMPROVING,RANK_CONTINUED_DETERIORATION,83.0,0,0
LF2EV_1948_20230113,1.0,RANK_DETERIORATING,RANK_RECOVERY,-37.0,1,1
LF2EV_1954_20210321,10.0,RANK_DETERIORATING,RANK_CONTINUED_DETERIORATION,-70.0,1,0
LF2EV_1963_20200925,30.0,RANK_STABLE,RANK_RECOVERY,-4.0,1,1
LF2EV_1974_20210627,,RANK_DETERIORATING,RANK_CONTINUED_DETERIORATION,-141.0,0,0
LF2EV_1983_20210211,5.0,RANK_DETERIORATING,RANK_RECOVERY,-613.0,1,1
LF2EV_1993_20250326,,RANK_DETERIORATING,RANK_CONTINUED_DETERIORATION,-30.0,0,0
LF2EV_2019_20241227,1.0,RANK_IMPROVING,RANK_CONTINUED_DETERIORATION,91.0,0,0
LF2EV_2021_20220722,30.0,RANK_DETERIORATING,RANK_CONTINUED_DETERIORATION,-170.0,1,0
LF2EV_2062_20230226,5.0,RANK_DETERIORATING,RANK_CONTINUED_DETERIORATION,-289.0,1,0
LF2EV_2090_20230703,3.0,RANK_DETERIORATING,RANK_RECOVERY,-47.0,0,1
LF2EV_2095_20210914,21.0,RANK_DETERIORATING,RANK_CONTINUED_DETERIORATION,-199.0,0,0
LF2EV_2096_20210709,1.0,RANK_DETERIORATING,RANK_CONTINUED_DETERIORATION,-133.0,0,0
LF2EV_2134_20220223,2.0,RANK_DETERIORATING,RANK_RECOVERY,-53.0,1,1
LF2EV_2137_20231219,1.0,RANK_DETERIORATING,RANK_CONTINUED_DETERIORATION,-67.0,1,0
LF2EV_2161_20211227,,RANK_DETERIORATING,RANK_CONTINUED_DETERIORATION,-285.0,0,0
LF2EV_2165_20220221,1.0,RANK_DETERIORATING,RANK_RECOVERY,-56.0,1,1
LF2EV_2165_20220910,1.0,RANK_DETERIORATING,RANK_RECOVERY,-200.0,1,1
LF2EV_2178_20200918,1.0,RANK_IMPROVING,RANK_CONTINUED_DETERIORATION,345.0,1,0
LF2EV_2199_20200805,1.0,RANK_IMPROVING,RANK_CONTINUED_DETERIORATION,-7.0,0,0
LF2EV_2213_20210414,1.0,RANK_DETERIORATING,RANK_CONTINUED_DETERIORATION,29.0,0,0
LF2EV_2213_20210422,1.0,RANK_DETERIORATING,RANK_RECOVERY,-132.0,1,1
LF2EV_2222_20230619,1.0,RANK_DETERIORATING,RANK_CONTINUED_DETERIORATION,-126.0,1,0
LF2EV_2222_20230623,7.0,RANK_DETERIORATING,RANK_CONTINUED_DETERIORATION,-143.0,0,0
LF2EV_2235_20210203,1.0,RANK_IMPROVING,RANK_CONTINUED_DETERIORATION,13.0,1,0
LF2EV_2243_20211202,,RANK_DETERIORATING,RANK_CONTINUED_DETERIORATION,-94.0,0,0
LF2EV_2245_20230210,1.0,RANK_IMPROVING,RANK_CONTINUED_DETERIORATION,18.0,1,0
LF2EV_2245_20231205,1.0,RANK_DETERIORATING,RANK_CONTINUED_DETERIORATION,-58.0,1,0
LF2EV_2245_20231221,,RANK_IMPROVING,RANK_RECOVERY,58.0,0,1
LF2EV_2273_20240928,21.0,RANK_DETERIORATING,RANK_CONTINUED_DETERIORATION,-31.0,1,0
LF2EV_2273_20250424,1.0,RANK_IMPROVING,RANK_CONTINUED_DETERIORATION,-60.0,0,0
LF2EV_2273_20250601,1.0,RANK_DETERIORATING,RANK_RECOVERY,-11.0,1,1
LF2EV_2273_20251228,10.0,RANK_DETERIORATING,RANK_CONTINUED_DETERIORATION,30.0,1,0
LF2EV_2287_20210221,5.0,RANK_IMPROVING,RANK_RECOVERY,-8.0,1,1
LF2EV_2289_20220718,,RANK_IMPROVING,RANK_CONTINUED_DETERIORATION,32.0,0,0
LF2EV_2289_20240706,21.0,RANK_IMPROVING,RANK_CONTINUED_DETERIORATION,55.0,1,0
LF2EV_2297_20250521,1.0,RANK_IMPROVING,RANK_CONTINUED_DETERIORATION,-20.0,1,0
LF2EV_2298_20210202,1.0,RANK_IMPROVING,RANK_CONTINUED_DETERIORATION,313.0,1,0
LF2EV_2313_20210322,1.0,RANK_DETERIORATING,RANK_RECOVERY,-164.0,0,1
LF2EV_2316_20211013,1.0,RANK_DETERIORATING,RANK_CONTINUED_DETERIORATION,-18.0,1,0
LF2EV_2319_20220328,7.0,RANK_IMPROVING,RANK_CONTINUED_DETERIORATION,11.0,1,0
LF2EV_2324_20220327,2.0,RANK_DETERIORATING,RANK_CONTINUED_DETERIORATION,-58.0,1,0
LF2EV_2324_20220919,21.0,RANK_STABLE,RANK_RECOVERY,-4.0,1,1
LF2EV_2324_20230812,1.0,RANK_DETERIORATING,RANK_RECOVERY,-41.0,1,1
LF2EV_2335_20200930,2.0,RANK_DETERIORATING,RANK_STABLE,-126.0,1,0
LF2EV_2340_20221210,1.0,RANK_DETERIORATING,RANK_RECOVERY,-189.0,1,1
LF2EV_2341_20230225,1.0,RANK_IMPROVING,RANK_CONTINUED_DETERIORATION,-18.0,0,0
LF2EV_2346_20220606,,RANK_IMPROVING,RANK_CONTINUED_DETERIORATION,31.0,0,0
LF2EV_2359_20201214,1.0,RANK_IMPROVING,RANK_RECOVERY,80.0,1,1
LF2EV_2366_20210703,,RANK_IMPROVING,RANK_CONTINUED_DETERIORATION,-52.0,0,0
LF2EV_2374_20210620,2.0,RANK_DETERIORATING,RANK_RECOVERY,82.0,1,1
LF2EV_2381_20210101,5.0,RANK_DETERIORATING,RANK_CONTINUED_DETERIORATION,-69.0,0,0
LF2EV_2410_20211112,,RANK_DETERIORATING,RANK_CONTINUED_DETERIORATION,-246.0,0,0
LF2EV_2454_20200920,,RANK_STABLE,RANK_CONTINUED_DETERIORATION,1.0,0,0
LF2EV_2457_20210516,,RANK_IMPROVING,RANK_CONTINUED_DETERIORATION,51.0,0,0
LF2EV_2465_20210316,1.0,RANK_IMPROVING,RANK_RECOVERY,116.0,1,1
LF2EV_2465_20211018,14.0,RANK_DETERIORATING,RANK_CONTINUED_DETERIORATION,-40.0,1,0
LF2EV_2465_20211028,1.0,RANK_DETERIORATING,RANK_RECOVERY,-166.0,1,1
LF2EV_2476_20210129,1.0,RANK_DETERIORATING,RANK_RECOVERY,-105.0,1,1
LF2EV_2490_20210725,2.0,RANK_IMPROVING,RANK_RECOVERY,78.0,1,1
LF2EV_2503_20220714,3.0,RANK_DETERIORATING,RANK_RECOVERY,8.0,1,1
LF2EV_2529_20210927,3.0,RANK_DETERIORATING,RANK_CONTINUED_DETERIORATION,-28.0,1,0
LF2EV_2529_20211007,1.0,RANK_DETERIORATING,RANK_CONTINUED_DETERIORATION,-73.0,1,0
LF2EV_2530_20230121,7.0,RANK_IMPROVING,RANK_CONTINUED_DETERIORATION,-33.0,1,0
LF2EV_2540_20220327,1.0,RANK_DETERIORATING,RANK_RECOVERY,-61.0,1,1
LF2EV_2544_20230814,21.0,RANK_DETERIORATING,RANK_CONTINUED_DETERIORATION,-16.0,0,0
LF2EV_2545_20211103,1.0,RANK_STABLE,RANK_CONTINUED_DETERIORATION,8.0,1,0
LF2EV_2547_20210615,1.0,RANK_DETERIORATING,RANK_CONTINUED_DETERIORATION,-71.0,0,0
LF2EV_2553_20230214,1.0,RANK_DETERIORATING,RANK_CONTINUED_DETERIORATION,-82.0,1,0
LF2EV_2558_20201213,21.0,RANK_IMPROVING,RANK_CONTINUED_DETERIORATION,-39.0,1,0
LF2EV_2558_20210721,1.0,RANK_DETERIORATING,RANK_RECOVERY,-11.0,1,1
LF2EV_2569_20210718,1.0,RANK_IMPROVING,RANK_CONTINUED_DETERIORATION,67.0,1,0
LF2EV_2569_20221012,5.0,RANK_IMPROVING,RANK_RECOVERY,6.0,1,1
LF2EV_2575_20210307,1.0,RANK_DETERIORATING,RANK_RECOVERY,-450.0,1,1
LF2EV_2576_20200924,1.0,RANK_IMPROVING,RANK_RECOVERY,-197.0,1,1
LF2EV_2585_20230323,3.0,RANK_DETERIORATING,RANK_RECOVERY,-26.0,0,1
LF2EV_2585_20230528,1.0,RANK_DETERIORATING,RANK_RECOVERY,-179.0,1,1
LF2EV_2606_20240403,1.0,RANK_DETERIORATING,RANK_RECOVERY,55.0,0,1
LF2EV_2620_20220816,,RANK_IMPROVING,RANK_CONTINUED_DETERIORATION,27.0,0,0
