from,to,n,p,med_dwell_before_d,med_state_age,fwd7_isol_dn_per_day,fwd7_coord_dn_per_day,fwd7_band_up_per_day,fwd7_prop,fwd7_reentry,fwd7_mixed,fwd7_rank_depth_rel,fwd7_top3_chg,p_conc_rising,p_btc_up,p_vol_high,p_brd_expanding,subperiods
HIGH_BREADTH_HIGH_DISP,HIGH_BREADTH_HIGH_DISP,677,0.899070385126162,13.0,13.0,0.4933530280649926,26.47858197932053,57.502215657311666,0.5140324963072378,0.23929098966026588,0.18759231905465287,-0.04640227498957988,-0.0026471499321701155,0.4032496307237814,0.8670605612998523,0.37813884785819796,0.7902511078286558,5
HIGH_BREADTH_HIGH_DISP,HIGH_BREADTH_LOW_DISP,29,0.03851261620185923,2.0,2.0,0.4482758620689655,31.896551724137932,48.724137931034484,0.3103448275862069,0.2413793103448276,0.3448275862068966,-0.030713720964608067,0.002263896521785518,0.6206896551724138,0.8620689655172413,0.10344827586206896,0.6896551724137931,5
HIGH_BREADTH_HIGH_DISP,LOW_BREADTH_HIGH_DISP,28,0.03718459495351926,3.5,3.5,0.39285714285714285,26.214285714285715,38.285714285714285,0.14285714285714285,0.32142857142857145,0.25,-0.06073579732249611,-0.0001375244345996261,0.4642857142857143,0.5714285714285714,0.25,0.07142857142857142,5
HIGH_BREADTH_HIGH_DISP,LOW_BREADTH_LOW_DISP,19,0.025232403718459494,7.0,7.0,0.5263157894736842,24.736842105263158,85.57894736842105,0.3684210526315789,0.42105263157894735,0.15789473684210525,-0.05292914826499606,-0.0007812268827664129,0.42105263157894735,0.8421052631578947,0.47368421052631576,0.631578947368421,4
HIGH_BREADTH_LOW_DISP,HIGH_BREADTH_HIGH_DISP,32,0.09815950920245399,3.0,3.0,0.40625,18.78125,66.5,0.34375,0.28125,0.34375,-0.03517453718778038,-0.0018591016799071117,0.5625,0.90625,0.0,0.75,5
HIGH_BREADTH_LOW_DISP,HIGH_BREADTH_LOW_DISP,244,0.7484662576687117,3.0,3.0,0.4262295081967213,30.62295081967213,42.84836065573771,0.21721311475409835,0.4139344262295082,0.3114754098360656,-0.02302343597652328,0.0009204516808273806,0.6229508196721312,0.8483606557377049,0.00819672131147541,0.4344262295081967,4
HIGH_BREADTH_LOW_DISP,LOW_BREADTH_LOW_DISP,46,0.1411042944785276,2.0,2.0,0.30434782608695654,19.043478260869566,42.891304347826086,0.13043478260869565,0.391304347826087,0.43478260869565216,-0.020833611512518942,0.0031723194391115642,0.6956521739130435,0.6739130434782609,0.06521739130434782,0.10869565217391304,4
LOW_BREADTH_HIGH_DISP,HIGH_BREADTH_HIGH_DISP,23,0.08424908424908426,1.0,1.0,0.5217391304347826,19.695652173913043,47.21739130434783,0.08695652173913043,0.4782608695652174,0.17391304347826086,-0.056020542049710506,0.0029645397068224417,0.6521739130434783,0.391304347826087,0.17391304347826086,0.0,5
LOW_BREADTH_HIGH_DISP,LOW_BREADTH_HIGH_DISP,207,0.7582417582417582,6.0,6.0,0.46859903381642515,30.028985507246375,36.68115942028986,0.08695652173913043,0.1932367149758454,0.37681159420289856,-0.05965802791382015,0.0009590383875515612,0.5603864734299517,0.22705314009661837,0.4251207729468599,0.0,5
LOW_BREADTH_HIGH_DISP,LOW_BREADTH_LOW_DISP,37,0.13553113553113552,2.0,2.0,0.5945945945945946,32.054054054054056,39.5945945945946,0.02702702702702703,0.24324324324324326,0.3783783783783784,-0.03566297124222826,-0.0006897275947162061,0.40540540540540543,0.1891891891891892,0.4864864864864865,0.0,5
LOW_BREADTH_LOW_DISP,HIGH_BREADTH_HIGH_DISP,21,0.02595797280593325,1.0,1.0,0.23809523809523808,19.80952380952381,51.57142857142857,0.3333333333333333,0.3333333333333333,0.23809523809523808,-0.04481274140596253,0.013349546842497392,0.5238095238095238,0.047619047619047616,0.47619047619047616,0.0,5
LOW_BREADTH_LOW_DISP,HIGH_BREADTH_LOW_DISP,45,0.05562422744128554,3.0,3.0,0.35555555555555557,30.555555555555557,39.666666666666664,0.2222222222222222,0.4444444444444444,0.28888888888888886,-0.024718866356204218,-0.0037605350433138496,0.6,0.3333333333333333,0.1111111111111111,0.0,4
LOW_BREADTH_LOW_DISP,LOW_BREADTH_HIGH_DISP,34,0.042027194066749075,3.0,3.0,0.4117647058823529,28.176470588235293,35.26470588235294,0.029411764705882353,0.17647058823529413,0.6176470588235294,-0.03190619696195245,-0.001039895867423143,0.38235294117647056,0.23529411764705882,0.3235294117647059,0.0,5
LOW_BREADTH_LOW_DISP,LOW_BREADTH_LOW_DISP,709,0.8763906056860321,11.0,11.0,0.47531734837799716,25.47249647390691,36.60366713681241,0.0465444287729196,0.20874471086036672,0.5063469675599436,-0.029103249655475498,0.0008600303920537373,0.5275035260930888,0.153737658674189,0.31734837799717913,0.0,5
