dimension,path,n_episodes,median_dwell_d,n_subperiods,p_7d_success,p_30d_success,p_7d_reentry,p_7d_hh_reentry,med_rank_depth_chg,med_isol_dn_per_ep,med_band_up_per_ep
origin_cell,HIGH_BREADTH_LOW_DISP,33,2.0,5,0.2727272727272727,0.12121212121212122,0.3333333333333333,0.3333333333333333,0.0,1.0,89.0
origin_cell,LOW_BREADTH_HIGH_DISP,23,3.0,5,0.2608695652173913,0.30434782608695654,0.2608695652173913,0.34782608695652173,0.0,2.0,178.0
origin_cell,LOW_BREADTH_LOW_DISP,23,7.0,5,0.21739130434782608,0.2608695652173913,0.391304347826087,0.6086956521739131,-0.0052964152097502715,1.0,382.0
entry_order,BRD_FIRST,33,2.0,5,0.2727272727272727,0.12121212121212122,0.3333333333333333,0.3333333333333333,0.0,1.0,89.0
entry_order,DISP_FIRST,23,3.0,5,0.2608695652173913,0.30434782608695654,0.2608695652173913,0.34782608695652173,0.0,2.0,178.0
entry_order,FRESH,23,7.0,5,0.21739130434782608,0.2608695652173913,0.391304347826087,0.6086956521739131,-0.0052964152097502715,1.0,382.0
exit_order,BRD_FIRST_EXIT,28,3.5,5,0.14285714285714285,0.25,0.32142857142857145,0.25,-0.011076057473418138,2.0,184.0
exit_order,COUPLED_EXIT,19,7.0,4,0.3684210526315789,0.3684210526315789,0.42105263157894735,0.7894736842105263,0.000555880654092844,1.0,482.0
exit_order,DISP_FIRST_EXIT,31,2.0,5,0.2903225806451613,0.0967741935483871,0.25806451612903225,0.3225806451612903,0.0,1.0,72.0
dwell_bucket,DAY_1,21,1.0,5,0.19047619047619047,0.14285714285714285,0.38095238095238093,0.14285714285714285,0.0,0.0,37.0
dwell_bucket,DAY_15_PLUS,14,36.0,5,0.35714285714285715,0.21428571428571427,0.14285714285714285,0.42857142857142855,-0.09339599429639789,17.0,2487.0
dwell_bucket,DAY_2_3,21,2.0,5,0.23809523809523808,0.23809523809523808,0.42857142857142855,0.5714285714285714,0.00040807264930653453,1.0,89.0
dwell_bucket,DAY_4_7,13,5.0,5,0.3076923076923077,0.3076923076923077,0.3076923076923077,0.5384615384615384,0.000555880654092844,2.0,232.0
dwell_bucket,DAY_8_14,10,9.5,5,0.2,0.2,0.3,0.5,-0.06819772618965905,3.5,480.5
origin_entry_exit,HIGH_BREADTH_LOW_DISP|BRD_FIRST|DISP_FIRST_EXIT,24,2.0,4,0.375,0.125,0.20833333333333334,0.2916666666666667,0.0,1.0,69.5
origin_entry_exit,LOW_BREADTH_HIGH_DISP|DISP_FIRST|BRD_FIRST_EXIT,15,3.0,4,0.26666666666666666,0.3333333333333333,0.2,0.26666666666666666,-0.006457765429421614,2.0,178.0
origin_entry_exit,LOW_BREADTH_LOW_DISP|FRESH|COUPLED_EXIT,13,7.0,4,0.38461538461538464,0.38461538461538464,0.46153846153846156,0.8461538461538461,-0.0052964152097502715,1.0,482.0
