lag_d,variable,n_rev,n_con,med_rev,med_con,diff,ranksum_p,p_fdr
-30,top500_breadth_30d,539,433,0.352,0.31,0.04199999999999998,0.6799622742064309,0.8934401662994176
-30,top500_breadth_7d,539,433,0.43,0.448,-0.018000000000000016,0.17754756247926418,0.5996639527445347
-30,breadth_vel,539,433,0.0,-0.0040000000000000036,0.0040000000000000036,0.31234668031244606,0.6936477230603573
-30,breadth_accel,539,433,0.0059999999999999915,0.011999999999999997,-0.006000000000000005,0.8009944287739182,0.9434345465928368
-30,top500_dispersion_30d,507,415,0.3469985096564996,0.3349978087860878,0.012000700870411773,0.902858206326167,0.9838839427913358
-30,top500_dispersion_7d,531,425,0.15437925139910116,0.15258907546244005,0.0017901759366611147,0.7525544164244311,0.9181884028144973
-30,top3_share,539,433,0.7139572597718427,0.7132889533134343,0.0006683064584083187,0.33730320650778156,0.6936477230603573
-30,top3_share_chg7,539,433,-0.0009649436611877116,-0.0009603264571635961,-4.617204024115473e-06,0.3880336522489468,0.7311308279135796
-30,btc_return_30d,507,415,0.023327187190932186,0.023773122223432086,-0.0004459350324999001,0.5589474557045766,0.8191471333601553
-30,btc_dominance,539,433,0.5073652398487964,0.5175005801350014,-0.010135340286204997,0.5543568633113025,0.817115607770995
-30,btc_dom_chg30,536,432,-0.0010724557597807383,-0.001472877272994999,0.0004004215132142608,0.3341111557064369,0.6936477230603573
-30,eth_btc_relative_return_30d,507,415,-0.011353455189254458,-0.004999996012043262,-0.006353459177211196,0.7822269297632585,0.9364688595757319
-30,eth_btc_relative_return_7d,531,425,-0.005760781460672382,-0.001885426835025461,-0.0038753546256469207,0.8621748181604019,0.9658054219748001
-30,med_ret30_11_50,507,415,-0.0006086208755355371,-0.027392236692573457,0.02678361581703792,0.09020753821464102,0.42598004156913816
-30,med_ret30_51_200,507,415,-0.026015109952966742,-0.044289392321242516,0.018274282368275774,0.20783463518377443,0.6423979632953027
-30,med_ret30_201_500,507,415,-0.03110637289306667,-0.054693524507177294,0.023587151614110624,0.27505133855465524,0.6744047243407413
-30,rb_spread,531,425,0.5,1.0,-0.5,0.47014677911076264,0.7759704121245597
-30,pos_ret_share,539,433,0.456,0.442,0.014000000000000012,0.872704310351784,0.9658054219748001
-30,pos_vel7_share,539,433,0.36,0.362,-0.0020000000000000018,0.8009055898430048,0.9434345465928368
-30,leadership_width,539,433,0.0,0.0,0.0,1.0,1.0
-30,rank_depth_rel,507,415,-0.033109137369399855,-0.028101809574142156,-0.005007327795257699,0.18281858968869835,0.6054381866314037
-30,vol_med,522,422,0.053257063443356664,0.0522422398740455,0.0010148235693111657,0.2941894595156679,0.6936477230603573
-30,chain_tvl_med_chg7,539,433,0.007283676956863827,0.011185884968286208,-0.003902208011422381,0.33407223586310053,0.6936477230603573
-30,stablecoin_change_7d,539,433,0.006894493045297656,0.006856504894928062,3.7988150369594464e-05,0.7557825037357481,0.9192393009278752
-30,stablecoin_change_30d,539,433,0.032940964956442054,0.032023717718838496,0.0009172472376035579,0.8622134116087438,0.9658054219748001
-30,dex_volume_change_7d,539,433,-0.01856103690863986,-0.00816349417472928,-0.01039754273391058,0.6574525046885364,0.8870390936273904
