cell,age_bucket,n_days,p_leave,next_state_mode,fwd7_isol_dn,fwd7_coord_dn,fwd7_band_up,fwd7_prop,fwd7_reentry,fwd7_mixed,fwd7_rank_depth_rel,fwd7_top3_chg,p_conc_rising,p_btc_up,p_vol_high,subperiods
HIGH_BREADTH_HIGH_DISP,DAY_1,79,0.26582278481012656,HIGH_BREADTH_LOW_DISP,0.34177215189873417,28.734177215189874,52.30379746835443,0.22784810126582278,0.4177215189873418,0.22784810126582278,-0.0448892482262163,0.0032572053378131798,0.6075949367088608,0.8227848101265823,0.189873417721519,5
HIGH_BREADTH_HIGH_DISP,DAY_2_3,101,0.2079207920792079,HIGH_BREADTH_LOW_DISP,0.44554455445544555,32.92079207920792,51.65346534653465,0.2871287128712871,0.36633663366336633,0.25742574257425743,-0.04607183947089851,0.0009165633168854464,0.5643564356435643,0.8514851485148515,0.19801980198019803,5
HIGH_BREADTH_HIGH_DISP,DAY_4_7,125,0.104,LOW_BREADTH_HIGH_DISP,0.48,28.616,53.896,0.376,0.36,0.224,-0.06302783060315122,-3.9234471702360275e-05,0.504,0.912,0.264,5
HIGH_BREADTH_HIGH_DISP,DAY_8_14,124,0.08064516129032258,LOW_BREADTH_LOW_DISP,0.47580645161290325,24.56451612903226,71.36290322580645,0.41935483870967744,0.33064516129032256,0.22580645161290322,-0.06565515701587105,-0.001961100058840166,0.47580645161290325,0.9112903225806451,0.25806451612903225,5
HIGH_BREADTH_HIGH_DISP,DAY_15_PLUS,341,0.04105571847507331,LOW_BREADTH_HIGH_DISP,0.5454545454545454,24.41642228739003,55.369501466275665,0.6656891495601173,0.10263929618768329,0.1495601173020528,-0.03582249845658212,-0.004940215923010397,0.28152492668621704,0.8181818181818182,0.5366568914956011,5
HIGH_BREADTH_LOW_DISP,DAY_1,83,0.3253012048192771,LOW_BREADTH_LOW_DISP,0.4578313253012048,22.89156626506024,43.3012048192771,0.21686746987951808,0.3253012048192771,0.39759036144578314,-0.019449693625475616,0.0019614516551534965,0.6385542168674698,0.6987951807228916,0.060240963855421686,5
HIGH_BREADTH_LOW_DISP,DAY_2_3,95,0.23157894736842105,HIGH_BREADTH_HIGH_DISP,0.4421052631578947,26.357894736842105,38.43157894736842,0.18947368421052632,0.4,0.3368421052631579,-0.0180074561001799,0.0012675924286995775,0.6842105263157895,0.8,0.010526315789473684,4
HIGH_BREADTH_LOW_DISP,DAY_4_7,99,0.23232323232323232,LOW_BREADTH_LOW_DISP,0.3838383838383838,20.757575757575758,50.515151515151516,0.2727272727272727,0.35353535353535354,0.3434343434343434,-0.02955662055835462,0.0019972736002129006,0.5959595959595959,0.9292929292929293,0.0,4
HIGH_BREADTH_LOW_DISP,DAY_8_14,35,0.2857142857142857,HIGH_BREADTH_HIGH_DISP,0.34285714285714286,68.54285714285714,55.028571428571425,0.2,0.45714285714285713,0.2571428571428571,-0.0378569382741045,-0.004843136720967878,0.4,0.8,0.0,4
LOW_BREADTH_HIGH_DISP,DAY_1,66,0.4696969696969697,HIGH_BREADTH_HIGH_DISP,0.5,44.86363636363637,43.78787878787879,0.06060606060606061,0.3333333333333333,0.3484848484848485,-0.0364631628320968,-0.0006211593706328181,0.5151515151515151,0.2878787878787879,0.3181818181818182,5
