group,n_events,n_dates,reversal_rate,med_fwd7_sigma,p_isolated,p_coordinated_up,med_breadth30,med_disp30,med_btc_ret7,med_rank_depth_rel,cell_mode,subperiods,reversal_ranksum_p
SHHM,79755,2154,0.5614318851482666,-0.17517516016960144,0.0017302990408124882,0.8829415083693812,0.53,0.37212017792426416,0.026796230398921095,-0.032699170645904996,HIGH_BREADTH_HIGH_DISP,5,7.055436287629969e-07
SHMC,23364,2145,0.5827341208697141,-0.17857712507247925,0.002182845403184386,0.8245163499400787,0.224,0.2758804931633823,-0.001581580892613066,-0.03128836519395062,LOW_BREADTH_LOW_DISP,5,7.055436287629969e-07
