d,R101_250,R1_25,R251_500,R26_100,YOUNG,MID_AGE,MATURE,LIQ_LO,LIQ_MID,LIQ_HI,VOL_HI,VOL_LO,VOL_MID,RH_DETERIORATING,RH_IMPROVING,RH_STABLE,entropy_layers,share_strong_ge1s,subperiod,top500_breadth_30d
2020-07-01,0.6345177664974619,0.88,0.5555555555555556,0.7733333333333333,0.6378600823045267,,,0.5432098765432098,0.6419753086419753,0.7283950617283951,0.5657894736842105,0.7350993377483444,0.6357615894039735,0.5525114155251142,0.711764705882353,0.7010309278350515,1.2342700958182151,0.12580645161290321,2020-2021,0.43
2020-07-02,0.40404040404040403,0.36,0.37894736842105264,0.52,0.4098360655737705,,,0.3803680981595092,0.3888888888888889,0.4601226993865031,0.4533333333333333,0.44,0.29333333333333333,0.24545454545454545,0.577639751552795,0.4953271028037383,1.192637282857293,0.165,2020-2021,0.476
2020-07-03,0.41116751269035534,0.12,0.5208333333333334,0.3333333333333333,0.4274028629856851,,,0.5276073619631901,0.4049079754601227,0.3496932515337423,0.4900662251655629,0.26490066225165565,0.49333333333333335,0.3745173745173745,0.6384615384615384,0.29,1.034989119835691,0.18181818181818182,2020-2021,0.416
2020-07-04,0.655,0.88,0.6436170212765957,0.7466666666666667,0.6762295081967213,,,0.6441717791411042,0.6481481481481481,0.7361963190184049,0.5855263157894737,0.7368421052631579,0.7152317880794702,0.652,0.6917808219178082,0.717391304347826,1.2161710362435325,0.14242424242424243,2020-2021,0.416
2020-07-05,0.2676767676767677,0.16,0.3422459893048128,0.18666666666666668,0.27835051546391754,,,0.3333333333333333,0.2670807453416149,0.2345679012345679,0.3355263157894737,0.17105263157894737,0.2980132450331126,0.2140221402214022,0.43609022556390975,0.2345679012345679,1.060193527976395,0.17037037037037037,2020-2021,0.392
2020-07-06,0.803030303030303,1.0,0.7634408602150538,0.8,0.7975206611570248,,,0.7577639751552795,0.8012422360248447,0.8333333333333334,0.6776315789473685,0.8874172185430463,0.8410596026490066,0.7509433962264151,0.8099173553719008,0.9081632653061225,1.199837940222792,0.24093264248704663,2020-2021,0.472
2020-07-07,0.44387755102040816,0.44,0.43010752688172044,0.52,0.45020746887966806,,,0.4161490683229814,0.4625,0.4720496894409938,0.5460526315789473,0.3618421052631579,0.4503311258278146,0.3716475095785441,0.6212121212121212,0.42696629213483145,1.1939439466432356,0.12442396313364056,2020-2021,0.426
2020-07-08,0.7587939698492462,0.92,0.680628272251309,0.7466666666666667,0.7346938775510204,,,0.7055214723926381,0.7177914110429447,0.7804878048780488,0.5789473684210527,0.8223684210526315,0.8157894736842105,0.671875,0.8226950354609929,0.7741935483870968,1.1974240437673276,0.30277777777777776,2020-2021,0.476
2020-07-09,0.39086294416243655,0.36,0.3697916666666667,0.2972972972972973,0.3668032786885246,,,0.37423312883435583,0.36419753086419754,0.3619631901840491,0.4144736842105263,0.35526315789473684,0.32450331125827814,0.3037037037037037,0.4892086330935252,0.3670886075949367,1.1376581861615596,0.19553072625698323,2020-2021,0.448
2020-07-10,0.5175879396984925,0.32,0.5833333333333334,0.3333333333333333,0.505091649694501,,,0.5792682926829268,0.5644171779141104,0.3719512195121951,0.506578947368421,0.3973509933774834,0.5695364238410596,0.38197424892703863,0.718562874251497,0.42857142857142855,1.0660239585526967,0.18951612903225806,2020-2021,0.436
2020-07-11,0.6432160804020101,0.68,0.5729166666666666,0.6933333333333334,0.6252545824847251,,,0.5792682926829268,0.6319018404907976,0.6646341463414634,0.5657894736842105,0.6357615894039735,0.7152317880794702,0.5958333333333333,0.6967741935483871,0.5833333333333334,1.1934861377042436,0.1758957654723127,2020-2021,0.642
2020-07-12,0.42424242424242425,0.6,0.5364583333333334,0.4266666666666667,0.4775510204081633,,,0.5337423312883436,0.4601226993865031,0.43902439024390244,0.47368421052631576,0.4900662251655629,0.4503311258278146,0.39316239316239315,0.58125,0.5104166666666666,1.1771587273379782,0.18803418803418803,2020-2021,0.562
2020-07-13,0.36787564766839376,0.28,0.37433155080213903,0.4246575342465753,0.37447698744769875,,,0.3522012578616352,0.3836477987421384,0.3875,0.37333333333333335,0.37333333333333335,0.34,0.30985915492957744,0.5470085470085471,0.35064935064935066,1.1643695343557536,0.16201117318435754,2020-2021,0.492
2020-07-14,0.4723618090452261,0.52,0.42487046632124353,0.44594594594594594,0.45213849287169044,,,0.4268292682926829,0.49079754601226994,0.43902439024390244,0.5,0.3933333333333333,0.48322147651006714,0.38162544169611307,0.6060606060606061,0.4473684210526316,1.1812819810414554,0.11261261261261261,2020-2021,0.54
2020-07-15,0.4393939393939394,0.52,0.4397905759162304,0.37333333333333335,0.4335378323108384,,,0.43558282208588955,0.4110429447852761,0.4539877300613497,0.4899328859060403,0.4527027027027027,0.3581081081081081,0.3527272727272727,0.5864661654135338,0.4567901234567901,1.1708849286451595,0.1650943396226415,2020-2021,0.58
