atom,n_events,n_dates,p_reversal,base_p_reversal,lift,n_subperiods,p_value,p_fdr
VOL_HIGH_0,349,272,0.5902578796561605,0.5581622678396871,1.0575022957762736,5,0.11364144197250492,0.5799717568993155
BRD_EXPANDING_14_0,350,285,0.5885714285714285,0.5581622678396871,1.054480860645484,5,0.12598372632181243,0.5799717568993155
BTC_SUPPORT_30,379,302,0.58311345646438,0.5581622678396871,1.0447023922295284,5,0.1640035528601369,0.5799717568993155
DISP_RISING_7_0,437,350,0.5812356979405034,0.5581622678396871,1.041338211896909,5,0.16570621625694726,0.5799717568993155
RISK_ON_7,535,425,0.5700934579439252,0.5581622678396871,1.021375844967838,5,0.28920420675022906,0.8097717789006413
CONC_RISING_14_0,502,399,0.5657370517928287,0.5581622678396871,1.0135709351734918,5,0.3662689434173849,0.8250123474753304
BRD_HEALTHY_7,505,394,0.5603960396039604,0.5581622678396871,1.0040020114095474,5,0.45974277373522154,0.8250123474753304
DISP_RISING_14_7,375,304,0.56,0.5581622678396871,1.0032924693520142,5,0.4714356271287602,0.8250123474753304
CONC_FALLING_14_0,521,413,0.5508637236084453,0.5581622678396871,0.9869239741706473,5,0.6313617370687865,0.8450213402260005
RISK_OFF_7,472,374,0.5444915254237288,0.5581622678396871,0.975507584077889,5,0.7251031311013496,0.8450213402260005
BRD_CONTRACTING_14_0,673,527,0.5423476968796433,0.5581622678396871,0.9716667143745625,5,0.7956374759509934,0.8450213402260005
ETH_STRONG_7,419,328,0.5417661097852029,0.5581622678396871,0.9706247466029118,5,0.7504257092308901,0.8450213402260005
BTC_WEAKENING_14_0,382,309,0.5392670157068062,0.5581622678396871,0.9661473854081661,5,0.7714580286319832,0.8450213402260005
BRD_FALLING_14_0,407,318,0.5331695331695332,0.5581622678396871,0.9552231741373599,5,0.8450213402260005,0.8450213402260005
