condition,n_days,med_run_len_hh,p_in_hh,n,rate,rate_other,p
HH_persistence|VOL_HIGH,656.0,44.0,0.43140243902439024,,,,
HH_persistence|VOL_LOW,864.0,18.0,0.35300925925925924,,,,
early_recovery|VOL_HIGH,,,,349.0,0.4699140401146132,0.3694362017804154,0.008347308738960377
early_recovery|VOL_LOW,,,,384.0,0.3541666666666667,0.433489827856025,0.03343668312306342
coord_up_retention|VOL_HIGH,,,,34369.0,0.43996042945677794,0.430776681397179,0.016767303059841972
coord_up_retention|VOL_LOW,,,,36558.0,0.4035778762514361,0.4512811683128023,2.135208463497841e-36
