sign,horizon,n,median_asset_return,median_neighbor_return,same_sign_share,neighbor_tail_share,neighbor_dispersion
DOWN,0,1023,-0.1869124029233273,0.03339891031166818,0.4266480442980107,0.038979708391383705,0.2238596869387089
DOWN,1,1023,-0.062438634600774846,0.03339891031166818,0.4266480442980107,0.038979708391383705,0.2238596869387089
DOWN,2,1023,-0.06402115330408541,0.03339891031166818,0.4266480442980107,0.038979708391383705,0.2238596869387089
DOWN,3,1023,-0.06340891962509489,0.03339891031166818,0.4266480442980107,0.038979708391383705,0.2238596869387089
DOWN,5,1023,-0.06604070598035834,0.03339891031166818,0.4266480442980107,0.038979708391383705,0.2238596869387089
DOWN,7,1023,-0.09951311512284104,0.03339891031166818,0.4266480442980107,0.038979708391383705,0.2238596869387089
DOWN,10,1023,0.12424553855939961,0.03339891031166818,0.4266480442980107,0.038979708391383705,0.2238596869387089
DOWN,14,1023,0.04742246099711468,0.03339891031166818,0.4266480442980107,0.038979708391383705,0.2238596869387089
UP,0,0,,,,,
UP,1,0,,,,,
UP,2,0,,,,,
UP,3,0,,,,,
UP,5,0,,,,,
UP,7,0,,,,,
UP,10,0,,,,,
UP,14,0,,,,,
