peer_family,status,event_coverage,median_neighbor_count,median_same_sign,overlap_stability,out_of_sample_similarity,missing_rate
RANK_100,VALID,1.0,199.0,0.415,NOT_ESTIMATED_OUT_OF_SAMPLE,NOT_AVAILABLE_FOR_SAME_DAY_RANK_MAP,0.0
RANK_25,VALID,1.0,50.0,0.42,NOT_ESTIMATED_OUT_OF_SAMPLE,NOT_AVAILABLE_FOR_SAME_DAY_RANK_MAP,0.0
RANK_50,VALID,1.0,100.0,0.41,NOT_ESTIMATED_OUT_OF_SAMPLE,NOT_AVAILABLE_FOR_SAME_DAY_RANK_MAP,0.0
BEHAVIORAL,DATA_BLOCKED,0.0,,,NOT_AVAILABLE,NOT_AVAILABLE,1.0
CORRELATION,DATA_BLOCKED,0.0,,,NOT_AVAILABLE,NOT_AVAILABLE,1.0
STATE,DATA_BLOCKED,0.0,,,NOT_AVAILABLE,NOT_AVAILABLE,1.0
LOCAL_BASKET,DATA_BLOCKED,0.0,,,NOT_AVAILABLE,NOT_AVAILABLE,1.0
