rank_band,volume_bucket,n,p_early_1s,p_full_reversal,p_new_low_proxy,controls,status
1001-1500,Q1,9735,0.12378017462763226,0.5889060092449923,0.8578325629173087,"rank,z1,age,breadth,dispersion,BTC,volatility not jointly fit",DESCRIPTIVE_ONLY
1001-1500,Q2,12491,0.16475862621087184,0.5509566888159475,0.8213113441678008,"rank,z1,age,breadth,dispersion,BTC,volatility not jointly fit",DESCRIPTIVE_ONLY
1001-1500,Q3,13934,0.1744653365867662,0.552533371609014,0.8126883881154012,"rank,z1,age,breadth,dispersion,BTC,volatility not jointly fit",DESCRIPTIVE_ONLY
1001-1500,Q4,13342,0.1944236246439814,0.545795233098486,0.8027282266526757,"rank,z1,age,breadth,dispersion,BTC,volatility not jointly fit",DESCRIPTIVE_ONLY
1001-1500,Q5,7956,0.18765711412770236,0.5705128205128205,0.8085721468074409,"rank,z1,age,breadth,dispersion,BTC,volatility not jointly fit",DESCRIPTIVE_ONLY
1501-2000,Q1,19424,0.1307145799011532,0.5842771828665568,0.8497219934102141,"rank,z1,age,breadth,dispersion,BTC,volatility not jointly fit",DESCRIPTIVE_ONLY
1501-2000,Q2,15827,0.17192140013900298,0.553547734883427,0.8199279711884754,"rank,z1,age,breadth,dispersion,BTC,volatility not jointly fit",DESCRIPTIVE_ONLY
1501-2000,Q3,11162,0.17953771725497222,0.5471241712954668,0.8087260347607955,"rank,z1,age,breadth,dispersion,BTC,volatility not jointly fit",DESCRIPTIVE_ONLY
1501-2000,Q4,6131,0.1818626651443484,0.5651606589463383,0.8103082694503344,"rank,z1,age,breadth,dispersion,BTC,volatility not jointly fit",DESCRIPTIVE_ONLY
1501-2000,Q5,2009,0.1951219512195122,0.5664509706321553,0.8003982080637133,"rank,z1,age,breadth,dispersion,BTC,volatility not jointly fit",DESCRIPTIVE_ONLY
501-750,Q1,1161,0.14039621016365203,0.5607235142118863,0.8277347114556417,"rank,z1,age,breadth,dispersion,BTC,volatility not jointly fit",DESCRIPTIVE_ONLY
501-750,Q2,1819,0.1423859263331501,0.5777899945024739,0.8460692688290269,"rank,z1,age,breadth,dispersion,BTC,volatility not jointly fit",DESCRIPTIVE_ONLY
501-750,Q3,3120,0.1733974358974359,0.5426282051282051,0.8243589743589743,"rank,z1,age,breadth,dispersion,BTC,volatility not jointly fit",DESCRIPTIVE_ONLY
501-750,Q4,6212,0.18206696716033482,0.5579523502897618,0.8216355441081777,"rank,z1,age,breadth,dispersion,BTC,volatility not jointly fit",DESCRIPTIVE_ONLY
501-750,Q5,14908,0.1718540381003488,0.5776093372685807,0.8331097397370539,"rank,z1,age,breadth,dispersion,BTC,volatility not jointly fit",DESCRIPTIVE_ONLY
751-1000,Q1,2486,0.1415929203539823,0.5543041029766693,0.8467417538213998,"rank,z1,age,breadth,dispersion,BTC,volatility not jointly fit",DESCRIPTIVE_ONLY
751-1000,Q2,3552,0.16328828828828829,0.5481418918918919,0.8271396396396397,"rank,z1,age,breadth,dispersion,BTC,volatility not jointly fit",DESCRIPTIVE_ONLY
751-1000,Q3,5497,0.18209932690558486,0.5372021102419502,0.8106239767145715,"rank,z1,age,breadth,dispersion,BTC,volatility not jointly fit",DESCRIPTIVE_ONLY
751-1000,Q4,8003,0.18930401099587654,0.5320504810695988,0.8049481444458328,"rank,z1,age,breadth,dispersion,BTC,volatility not jointly fit",DESCRIPTIVE_ONLY
751-1000,Q5,9662,0.18753881184019872,0.5620989443179466,0.8113227075139723,"rank,z1,age,breadth,dispersion,BTC,volatility not jointly fit",DESCRIPTIVE_ONLY
