rank_band,state,n,tail2,tail3,up_share,isolated_down_share,median_volume
1001-1500,HH,20414,1.0,0.44591946703242874,0.7139218183599491,0.0014205937101988832,1315145.3556827453
1001-1500,HL,11205,1.0,0.39937527889335117,0.67095046854083,0.00107095046854083,2113280.205669225
1001-1500,LH,15227,1.0,0.4232613121429041,0.5960464963551586,0.001970184540618638,2446249.345682642
1001-1500,LL,13796,1.0,0.37713830095679907,0.45556683096549727,0.0008698173383589446,2041918.245687614
1501-2000,HH,19181,1.0,0.44314686408425,0.6494968979719514,0.000729888952609353,306469.0038312056
1501-2000,HL,11129,1.0,0.40273160212058584,0.606164075837901,0.0002695659987420253,1260779.6284403582
1501-2000,LH,13624,1.0,0.41103934233705225,0.5684086905460951,0.0006605989430416912,301032.64666827855
1501-2000,LL,15503,1.0,0.38869896149132427,0.3798619622008643,0.00019351093336773527,656171.6139303588
501-750,HH,5715,1.0,0.4818897637795276,0.7942257217847769,0.019247594050743656,12789835.301570158
501-750,HL,9109,1.0,0.4128883521791635,0.7349873751235042,0.016137885607640796,13492665.410806844
501-750,LH,3759,1.0,0.4602287842511306,0.6108007448789572,0.023676509710029263,13761185.73153538
501-750,LL,9155,1.0,0.37782632441288916,0.5192790824685964,0.017695248498088477,14726260.101641368
751-1000,HH,6480,1.0,0.4506172839506173,0.7311728395061728,0.014197530864197531,4254052.842415004
751-1000,HL,9164,1.0,0.40626364033173284,0.7092972501091227,0.013203841117415975,6355782.030861222
751-1000,LH,4546,1.0,0.4423669159700836,0.6027276726792785,0.015618125824901012,4415365.151931998
751-1000,LL,9859,1.0,0.37417587990668427,0.4934577543361396,0.01207018967440917,7984231.583701271
