date,state,bias_direction,confidence,regime_ratio,asian_range_pips,actual_direction_12pm,direction_correct_12pm,target_25_hit_12pm,mfe_pips_12pm,lens_a,lens_b,lens_c,lens_a_time,lens_b_time
2022-09-13,NO_SIGNAL,NONE,0.0,0.276,153.8,LONG,,,0.0,NONE,SHORT,FAILED,,09:10
2022-09-14,NO_SIGNAL,NONE,0.0,0.815,47.5,LONG,,,0.0,NONE,SHORT,FAILED,,07:30
2022-09-15,NO_SIGNAL,NONE,0.0,0.995,85.5,SHORT,,,0.0,NONE,SHORT,FAILED,,09:25
2022-09-16,NO_SIGNAL,NONE,0.0,0.627,64.4,LONG,,,0.0,NONE,LONG,FAILED,,08:55
2022-09-19,NO_SIGNAL,NONE,0.0,0.533,86.6,LONG,,,0.0,NONE,LONG,FAILED,,08:35
2022-09-20,NO_SIGNAL,NONE,0.0,0.759,58.8,LONG,,,0.0,NONE,SHORT,FAILED,,09:25
2022-09-21,NO_SIGNAL,NONE,0.0,0.68,79.8,LONG,,,0.0,NONE,SHORT,FAILED,,09:20
2022-09-22,NO_SIGNAL,NONE,0.0,0.86,230.0,LONG,,,0.0,NONE,LONG,FAILED,,09:10
2022-09-23,NO_SIGNAL,NONE,0.0,0.661,89.4,SHORT,,,0.0,NONE,SHORT,FAILED,,09:00
2022-09-26,NO_SIGNAL,NONE,0.0,0.642,176.4,LONG,,,0.0,NONE,LONG,FAILED,,09:25
2022-09-27,NO_SIGNAL,NONE,0.0,0.636,94.2,SHORT,,,0.0,NONE,SHORT,FAILED,,08:40
2022-09-28,NO_SIGNAL,NONE,0.0,0.406,219.9,SHORT,,,0.0,NONE,LONG,FAILED,,09:25
2022-09-29,NO_SIGNAL,NONE,0.0,0.628,110.4,LONG,,,0.0,NONE,LONG,FAILED,,08:30
2022-09-30,NO_SIGNAL,NONE,0.0,0.362,152.4,LONG,,,0.0,NONE,LONG,FAILED,,07:45
2022-10-03,NO_SIGNAL,NONE,0.0,0.668,128.1,LONG,,,0.0,NONE,LONG,FAILED,,07:05
2022-10-04,NO_SIGNAL,NONE,0.0,0.375,156.6,SHORT,,,0.0,NONE,LONG,FAILED,,07:00
2022-10-05,NO_SIGNAL,NONE,0.0,0.548,104.3,LONG,,,0.0,NONE,LONG,FAILED,,09:15
2022-10-06,NO_SIGNAL,NONE,0.0,0.485,133.1,LONG,,,0.0,NONE,LONG,FAILED,,09:00
2022-10-07,NO_SIGNAL,NONE,0.0,0.326,108.0,LONG,,,0.0,NONE,LONG,FAILED,,09:25
2022-10-10,NO_SIGNAL,NONE,0.0,0.554,96.7,LONG,,,0.0,NONE,LONG,FAILED,,09:50
2022-10-11,NO_SIGNAL,NONE,0.0,1.473,35.7,SHORT,,,0.0,SHORT,SHORT,CAUTION,12:05,08:00
2022-10-12,EXHAUSTION,SHORT,0.3,0.928,41.5,LONG,False,True,16.1,SHORT,SHORT,FAILED,09:30,07:00
2022-10-13,EXHAUSTION,LONG,0.3,1.024,33.9,LONG,True,True,114.6,LONG,LONG,FAILED,09:30,09:25
2022-10-14,EXHAUSTION,SHORT,0.3,1.366,53.8,LONG,False,False,7.5,SHORT,SHORT,FAILED,10:05,09:00
2022-10-17,NO_SIGNAL,NONE,0.0,0.421,110.2,SHORT,,,0.0,NONE,SHORT,FAILED,,08:05
2022-10-18,EXHAUSTION,SHORT,0.3,1.418,39.2,LONG,False,True,20.6,SHORT,SHORT,FAILED,10:00,07:00
2022-10-19,9/9_LOCK,LONG,0.97,3.135,26.0,LONG,True,True,112.9,LONG,LONG,CONFIRMED,08:10,09:00
2022-10-20,KINETIC_CONFLICT,NONE,0.0,0.632,57.3,LONG,,,0.0,LONG,SHORT,FAILED,10:35,07:15
2022-10-21,KINETIC_CONFLICT,NONE,0.0,1.546,57.5,LONG,,,0.0,LONG,SHORT,CONFIRMED,09:30,09:35
2022-10-24,KINETIC_CONFLICT,NONE,0.0,0.877,75.8,LONG,,,0.0,LONG,SHORT,FAILED,11:30,08:45
2022-10-25,KINETIC_CONFLICT,NONE,0.0,0.968,28.2,SHORT,,,0.0,LONG,SHORT,FAILED,08:05,09:15
2022-10-26,9/9_LOCK,SHORT,0.97,4.211,22.8,SHORT,True,True,85.2,SHORT,SHORT,CONFIRMED,08:35,08:35
2022-10-27,KINETIC_CONFLICT,NONE,0.0,1.908,28.3,LONG,,,0.0,LONG,SHORT,CONFIRMED,09:30,08:35
2022-10-28,9/9_LOCK,LONG,0.97,2.429,31.0,LONG,True,True,75.9,LONG,LONG,CONFIRMED,08:55,07:20
2022-10-31,EXHAUSTION,LONG,0.3,0.998,47.2,LONG,True,True,75.8,LONG,LONG,FAILED,10:15,10:00
2022-11-01,9/9_LOCK,SHORT,0.97,2.39,37.7,SHORT,True,True,72.4,SHORT,SHORT,CONFIRMED,09:50,08:45
2022-11-02,KINETIC_CONFLICT,NONE,0.0,0.938,38.7,SHORT,,,0.0,SHORT,LONG,FAILED,12:25,10:05
2022-11-03,9/9_LOCK,LONG,0.97,3.466,36.9,LONG,True,True,123.0,LONG,LONG,CONFIRMED,09:20,08:00
2022-11-04,EXHAUSTION,SHORT,0.3,0.933,56.8,SHORT,True,True,117.0,SHORT,SHORT,FAILED,10:00,09:00
2022-11-07,EXHAUSTION,SHORT,0.3,0.985,68.9,SHORT,True,True,49.1,SHORT,SHORT,FAILED,12:00,08:00
2022-11-08,EXHAUSTION,LONG,0.3,0.834,45.9,LONG,True,True,39.2,LONG,LONG,FAILED,08:10,08:55
2022-11-09,EXHAUSTION,LONG,0.3,1.22,40.0,SHORT,False,True,15.9,LONG,LONG,FAILED,08:35,07:00
2022-11-10,KINETIC_CONFLICT,NONE,0.0,2.459,29.0,SHORT,,,0.0,SHORT,LONG,CONFIRMED,09:45,10:20
2022-11-11,9/9_LOCK,SHORT,0.97,1.533,52.3,SHORT,True,True,202.6,SHORT,SHORT,CONFIRMED,10:15,07:40
2022-11-14,EXHAUSTION,LONG,0.3,0.695,90.5,LONG,True,True,106.1,LONG,LONG,FAILED,08:15,07:05
2022-11-15,9/9_LOCK,SHORT,0.97,1.587,44.3,SHORT,True,True,73.1,SHORT,SHORT,CONFIRMED,10:20,08:05
2022-11-16,KINETIC_CONFLICT,NONE,0.0,1.327,60.5,SHORT,,,0.0,SHORT,LONG,FAILED,12:35,07:10
2022-11-17,KINETIC_CONFLICT,NONE,0.0,2.474,31.2,LONG,,,0.0,LONG,SHORT,CONFIRMED,12:30,09:45
2022-11-18,KINETIC_CONFLICT,NONE,0.0,1.147,28.6,LONG,,,0.0,SHORT,LONG,FAILED,12:30,10:20
2022-11-21,KINETIC_CONFLICT,NONE,0.0,1.35,33.1,LONG,,,0.0,LONG,SHORT,FAILED,08:40,09:30
2022-11-22,KINETIC_CONFLICT,NONE,0.0,1.816,26.1,SHORT,,,0.0,SHORT,LONG,CONFIRMED,11:30,10:00
2022-11-23,9/9_LOCK,SHORT,0.97,2.339,18.9,SHORT,True,True,68.1,SHORT,SHORT,CONFIRMED,09:15,07:20
2022-11-24,NO_SIGNAL,NONE,0.0,1.493,36.1,LONG,,,0.0,LONG,LONG,CAUTION,10:00,08:20
2022-11-25,KINETIC_CONFLICT,NONE,0.0,1.557,29.1,LONG,,,0.0,LONG,SHORT,CONFIRMED,09:15,10:05
2022-11-28,NO_SIGNAL,NONE,0.0,1.491,45.0,LONG,,,0.0,SHORT,SHORT,CAUTION,10:35,07:10
2022-11-29,KINETIC_CONFLICT,NONE,0.0,1.538,40.5,LONG,,,0.0,LONG,SHORT,CONFIRMED,11:15,08:40
2022-11-30,KINETIC_CONFLICT,NONE,0.0,1.198,52.6,LONG,,,0.0,SHORT,LONG,FAILED,12:00,07:55
2022-12-01,EXHAUSTION,LONG,0.3,1.122,42.5,SHORT,False,False,3.7,LONG,LONG,FAILED,13:50,08:10
2022-12-02,9/9_LOCK,SHORT,0.97,1.705,26.4,LONG,False,True,39.3,SHORT,SHORT,CONFIRMED,09:40,09:00
2022-12-05,KINETIC_CONFLICT,NONE,0.0,0.922,42.4,LONG,,,0.0,SHORT,LONG,FAILED,11:05,08:10
2022-12-06,EXHAUSTION,LONG,0.3,1.348,44.2,SHORT,False,True,38.8,LONG,LONG,FAILED,08:10,08:10
2022-12-07,EXHAUSTION,LONG,0.3,1.386,23.6,SHORT,False,True,24.7,LONG,LONG,FAILED,08:10,08:05
2022-12-08,EXHAUSTION,SHORT,0.3,1.081,31.0,SHORT,True,True,37.4,SHORT,SHORT,FAILED,15:30,08:35
2022-12-09,EXHAUSTION,SHORT,0.3,0.747,36.7,SHORT,True,True,40.6,SHORT,SHORT,FAILED,09:00,08:55
2022-12-12,EXHAUSTION,LONG,0.3,1.059,52.8,LONG,True,True,45.0,LONG,LONG,FAILED,08:30,07:10
2022-12-13,9/9_LOCK,SHORT,0.97,1.807,19.7,SHORT,True,True,129.2,SHORT,SHORT,CONFIRMED,08:40,09:00
2022-12-14,NO_SIGNAL,NONE,0.0,0.718,48.9,LONG,,,0.0,NONE,SHORT,FAILED,,09:20
2022-12-15,KINETIC_CONFLICT,NONE,0.0,1.09,53.5,LONG,,,0.0,LONG,SHORT,FAILED,09:05,07:50
2022-12-16,KINETIC_CONFLICT,NONE,0.0,1.128,41.3,LONG,,,0.0,LONG,SHORT,FAILED,11:40,09:10
2022-12-19,EXHAUSTION,SHORT,0.3,1.161,40.4,LONG,False,True,27.7,SHORT,SHORT,FAILED,09:50,09:05
2022-12-20,KINETIC_CONFLICT,NONE,0.0,0.949,52.5,SHORT,,,0.0,SHORT,LONG,FAILED,11:25,07:20
2022-12-21,EXHAUSTION,SHORT,0.3,1.218,31.2,LONG,False,True,19.1,SHORT,SHORT,FAILED,10:55,09:25
2022-12-22,KINETIC_CONFLICT,NONE,0.0,1.404,32.4,LONG,,,0.0,SHORT,LONG,FAILED,08:05,09:10
2022-12-23,KINETIC_CONFLICT,NONE,0.0,1.914,16.3,LONG,,,0.0,LONG,SHORT,CONFIRMED,10:20,09:00
2022-12-26,NO_SIGNAL,NONE,0.0,0.502,32.3,LONG,,,0.0,NONE,SHORT,FAILED,,08:20
2022-12-27,KINETIC_CONFLICT,NONE,0.0,1.316,39.2,LONG,,,0.0,SHORT,LONG,FAILED,11:30,09:10
