date,bias_state,bias_direction,bias_confidence,markov_p_target25_from_ar,markov_p_target25_from_p90,regime_ratio,asian_range_pips,actual_mfe,target_hit,direction_correct
2022-10-11,EXHAUSTION,LONG,0.3,0.0594,0.0594,0.956,52.4,43.9,True,1
2022-10-13,9/9_LOCK,SHORT,0.97,0.0594,0.0594,2.182,26.9,69.2,True,1
2022-10-14,9/9_LOCK,SHORT,0.97,0.0594,0.0594,1.667,46.9,62.0,True,1
2022-10-18,EXHAUSTION,LONG,0.3,0.0594,0.0594,1.415,43.1,43.0,True,1
2022-10-20,EXHAUSTION,LONG,0.3,0.0594,0.0594,1.144,31.2,66.4,True,1
2022-10-25,EXHAUSTION,SHORT,0.3,0.0594,0.0594,0.876,31.4,25.6,True,0
2022-10-26,9/9_LOCK,LONG,0.97,0.0594,0.0594,3.955,24.2,84.0,True,1
2022-10-28,9/9_LOCK,SHORT,0.97,0.0594,0.0594,1.639,39.9,38.1,True,0
2022-10-31,9/9_LOCK,SHORT,0.97,0.0594,0.0594,2.026,23.5,55.3,True,1
2022-11-01,EXHAUSTION,LONG,0.3,0.0594,0.0594,1.202,36.2,74.5,True,1
2022-11-08,EXHAUSTION,SHORT,0.3,0.0594,0.0594,1.314,27.4,48.9,True,1
2022-11-09,9/9_LOCK,SHORT,0.97,0.0594,0.0594,1.763,29.1,48.8,True,1
2022-11-10,9/9_LOCK,LONG,0.97,0.0594,0.0594,3.891,27.4,149.3,True,1
2022-11-11,9/9_LOCK,LONG,0.97,0.0594,0.0594,1.539,58.8,128.6,True,1
2022-11-14,EXHAUSTION,SHORT,0.3,0.0594,0.0594,1.153,54.9,87.0,True,1
2022-11-15,9/9_LOCK,LONG,0.97,0.0594,0.0594,5.614,21.0,149.9,True,1
2022-11-17,9/9_LOCK,LONG,0.97,0.0594,0.0594,1.787,39.5,9.1,False,0
2022-11-18,9/9_LOCK,SHORT,0.97,0.0594,0.0594,1.591,33.7,25.6,True,1
2022-11-22,9/9_LOCK,LONG,0.97,0.0594,0.0594,1.534,29.2,50.6,True,1
2022-11-23,9/9_LOCK,LONG,0.97,0.0594,0.0594,1.684,31.0,74.5,True,1
