regime,lens,band,label,n,mean_resid,tstat,pvalue,sig_bh5,abs_mean_resid_pct
BTC_UP,chain,501-750,,55136,0.00099,7.41,0.0,True,0.00099
BTC_UP,chain,501-750,-,2760,0.0043,6.581,0.0,True,0.0043
BTC_UP,chain,501-750,A,236,0.00617,2.689,0.007159,True,0.00617
BTC_UP,chain,501-750,ADA,987,0.00753,8.249,0.0,True,0.00753
BTC_UP,chain,501-750,ARB,1799,0.00031,0.462,0.643769,True,0.00031
BTC_UP,chain,501-750,AVAX,1255,0.00613,7.101,0.0,True,0.00613
BTC_UP,chain,501-750,BLAST,214,-0.00481,-3.733,0.000189,True,0.00481
BTC_UP,chain,501-750,BNB,28708,0.00041,2.247,0.024667,True,0.00041
BTC_UP,chain,501-750,BTC,452,-0.00046,-0.292,0.770413,True,0.00046
BTC_UP,chain,501-750,CELO,645,-0.01089,-16.895,0.0,True,0.01089
BTC_UP,chain,501-750,CRO,257,-0.00237,-1.362,0.173287,True,0.00237
BTC_UP,chain,501-750,ETH,154759,0.00147,18.371,0.0,True,0.00147
BTC_UP,chain,501-750,GRAM,557,0.00255,1.988,0.046836,True,0.00255
BTC_UP,chain,501-750,HBAR,327,0.00786,5.616,0.0,True,0.00786
BTC_UP,chain,501-750,KAIA,1521,-0.00215,-2.665,0.0077,True,0.00215
BTC_UP,chain,501-750,NEO,1090,0.00794,8.865,0.0,True,0.00794
BTC_UP,chain,501-750,ONT,373,0.0003,0.259,0.795502,True,0.0003
BTC_UP,chain,501-750,OP,327,0.00866,5.713,0.0,True,0.00866
BTC_UP,chain,501-750,OSMO,586,-0.0025,-1.62,0.105234,True,0.0025
BTC_UP,chain,501-750,POL,2377,0.00045,0.724,0.469145,True,0.00045
BTC_UP,chain,501-750,SDN,319,0.00534,3.412,0.000644,True,0.00534
BTC_UP,chain,501-750,SOL,15410,0.00192,7.427,0.0,True,0.00192
BTC_UP,chain,501-750,SUI,1074,0.00691,6.666,0.0,True,0.00691
BTC_UP,chain,501-750,TAO,306,0.0087,5.176,0.0,True,0.0087
BTC_UP,chain,501-750,TRX,855,-0.00817,-7.731,0.0,True,0.00817
