rank_band,horizon_d,n,median_abs_cum_sigma,mean_abs_cum_sigma,p90_abs_cum_sigma
501-750,1,52754,0.0322,0.1095,0.1848
501-750,2,52659,0.0479,0.1714,0.2501
501-750,3,52567,0.0606,0.2171,0.2972
501-750,4,52473,0.0701,0.2569,0.3409
501-750,5,52380,0.0808,0.2941,0.3876
501-750,6,52286,0.0892,0.3308,0.4279
501-750,7,52191,0.0981,0.3551,0.4712
501-750,8,52098,0.106,0.3917,0.5117
501-750,9,52005,0.1143,0.4244,0.5568
501-750,10,51916,0.1217,0.4654,0.5965
501-750,11,51820,0.1297,0.4957,0.6387
501-750,12,51726,0.1363,0.5273,0.6777
501-750,13,51627,0.1439,0.5526,0.7191
501-750,14,51533,0.1512,0.5933,0.7632
751-1000,1,56915,0.0326,0.1155,0.1863
751-1000,2,56801,0.0479,0.1634,0.2532
751-1000,3,56702,0.0598,0.2029,0.2995
751-1000,4,56605,0.0707,0.2428,0.3485
751-1000,5,56505,0.0803,0.282,0.3871
751-1000,6,56410,0.0889,0.3191,0.4252
751-1000,7,56316,0.0971,0.3595,0.4664
751-1000,8,56228,0.1059,0.3863,0.5083
751-1000,9,56131,0.1134,0.4165,0.5423
751-1000,10,56041,0.121,0.443,0.5792
751-1000,11,55951,0.1287,0.4763,0.6168
751-1000,12,55863,0.136,0.5083,0.6573
751-1000,13,55779,0.1433,0.548,0.6941
751-1000,14,55695,0.1492,0.57,0.741
1001-1500,1,113200,0.0317,0.0963,0.1797
1001-1500,2,113003,0.047,0.1406,0.2448
1001-1500,3,112806,0.0593,0.1813,0.2935
1001-1500,4,112597,0.0696,0.2189,0.3378
1001-1500,5,112394,0.0785,0.2542,0.3789
1001-1500,6,112193,0.0869,0.2889,0.4205
1001-1500,7,111993,0.095,0.3271,0.4575
1001-1500,8,111791,0.1039,0.3631,0.4949
1001-1500,9,111588,0.1113,0.3986,0.5296
1001-1500,10,111378,0.1192,0.4298,0.5643
1001-1500,11,111180,0.1266,0.4622,0.5967
1001-1500,12,110974,0.1326,0.4933,0.6316
1001-1500,13,110777,0.1396,0.5214,0.6697
1001-1500,14,110572,0.1458,0.5526,0.705
1501-2000,1,106043,0.0312,0.0968,0.1803
1501-2000,2,105886,0.0462,0.14,0.2488
1501-2000,3,105724,0.0579,0.1749,0.3011
1501-2000,4,105574,0.0681,0.2092,0.3442
1501-2000,5,105420,0.0773,0.242,0.3853
1501-2000,6,105260,0.0858,0.2735,0.426
1501-2000,7,105100,0.0936,0.3041,0.4658
1501-2000,8,104937,0.1016,0.335,0.5012
1501-2000,9,104786,0.1098,0.3648,0.5411
1501-2000,10,104631,0.117,0.3962,0.5818
1501-2000,11,104473,0.1245,0.427,0.6239
1501-2000,12,104320,0.1317,0.4573,0.6632
1501-2000,13,104160,0.1382,0.4892,0.7037
1501-2000,14,104003,0.1446,0.5186,0.7455
