rank_band,metric,n,censor_rate_30d,median_d,p25_d,p75_d,p90_d
501-750,time_to_1sigma,41826,0.2087,2.0,1.0,5.0,10.0
501-750,time_to_2sigma,37520,0.2901,5.0,2.0,11.0,19.0
501-750,time_to_3sigma,31056,0.4124,8.0,3.0,16.0,24.0
501-750,time_to_peak,52065,0.0149,10.0,5.0,13.0,14.0
501-750,time_above_2sigma_d,52855,0.0,0.0,0.0,0.0,1.0
501-750,time_to_return_inside_1sigma_d,39383,0.2549,1.0,1.0,2.0,5.0
501-750,time_to_half_decay_d,50593,0.0428,1.0,1.0,1.0,3.0
751-1000,time_to_1sigma,48659,0.1466,2.0,1.0,5.0,10.0
751-1000,time_to_2sigma,44146,0.2258,5.0,2.0,11.0,19.0
751-1000,time_to_3sigma,37173,0.348,8.0,3.0,16.0,23.0
751-1000,time_to_peak,56343,0.0118,9.0,5.0,13.0,14.0
751-1000,time_above_2sigma_d,57018,0.0,0.0,0.0,0.0,2.0
751-1000,time_to_return_inside_1sigma_d,45978,0.1936,1.0,1.0,1.0,5.0
751-1000,time_to_half_decay_d,52741,0.075,1.0,1.0,1.0,3.0
1001-1500,time_to_1sigma,97194,0.1429,2.0,1.0,5.0,11.0
1001-1500,time_to_2sigma,87904,0.2249,5.0,2.0,11.0,19.0
1001-1500,time_to_3sigma,75323,0.3358,7.0,3.0,15.0,23.0
1001-1500,time_to_peak,111101,0.0203,9.0,5.0,13.0,14.0
1001-1500,time_above_2sigma_d,113403,0.0,0.0,0.0,0.0,8.0
1001-1500,time_to_return_inside_1sigma_d,93580,0.1748,1.0,1.0,1.0,4.0
1001-1500,time_to_half_decay_d,100729,0.1118,1.0,1.0,1.0,3.0
1501-2000,time_to_1sigma,92607,0.1281,2.0,1.0,5.0,11.0
1501-2000,time_to_2sigma,82936,0.2191,4.0,2.0,11.0,19.0
1501-2000,time_to_3sigma,70716,0.3342,7.0,2.0,14.0,22.0
1501-2000,time_to_peak,99072,0.0672,10.0,5.0,13.0,14.0
1501-2000,time_above_2sigma_d,106212,0.0,0.0,0.0,0.0,12.0
1501-2000,time_to_return_inside_1sigma_d,87312,0.1779,1.0,1.0,1.0,4.0
1501-2000,time_to_half_decay_d,89907,0.1535,1.0,1.0,1.0,3.0
