rank_band,state,n,P_gt_1sigma,P_gt_2sigma,P_gt_3sigma,P_up_extreme,P_dn_extreme
501-750,SHORT_HOT_MEDIUM_HOT,22097,0.5892,0.3803,0.2467,0.1599,0.2203
501-750,SHORT_COLD_MEDIUM_COLD,17135,0.4041,0.2396,0.1491,0.1317,0.1079
501-750,SHORT_COLD_MEDIUM_HOT,6066,0.4728,0.2562,0.1451,0.1304,0.1258
501-750,SHORT_HOT_MEDIUM_COLD,7557,0.3885,0.2109,0.1157,0.0867,0.1243
751-1000,SHORT_COLD_MEDIUM_COLD,21654,0.4436,0.2772,0.1742,0.1585,0.1187
751-1000,SHORT_HOT_MEDIUM_HOT,21190,0.6137,0.4068,0.2708,0.1959,0.2109
751-1000,SHORT_COLD_MEDIUM_HOT,6239,0.5099,0.2762,0.1601,0.1569,0.1192
751-1000,SHORT_HOT_MEDIUM_COLD,7935,0.4765,0.2762,0.1583,0.1229,0.1534
1001-1500,SHORT_COLD_MEDIUM_COLD,46954,0.4379,0.283,0.1878,0.1791,0.1038
1001-1500,SHORT_HOT_MEDIUM_COLD,15548,0.4927,0.2833,0.1713,0.1371,0.1462
1001-1500,SHORT_HOT_MEDIUM_HOT,39399,0.6122,0.3991,0.267,0.1998,0.1992
1001-1500,SHORT_COLD_MEDIUM_HOT,11502,0.4974,0.2708,0.1524,0.1737,0.0971
1501-2000,SHORT_COLD_MEDIUM_COLD,48629,0.4846,0.3288,0.2294,0.2386,0.0902
1501-2000,SHORT_HOT_MEDIUM_COLD,15302,0.5142,0.3046,0.1921,0.1804,0.1242
1501-2000,SHORT_COLD_MEDIUM_HOT,10574,0.4947,0.2869,0.1747,0.2095,0.0775
1501-2000,SHORT_HOT_MEDIUM_HOT,31707,0.5906,0.3822,0.2544,0.1997,0.1825
