rank_band,feature,n_realized,n_nondelivery,realized_med,nondelivery_med,cohens_d
501-750,volume_24h_usd,22769,39250,1064442.73,1076005.315,-0.0004
501-750,rank_vel_7d,23099,39999,-2.0,-2.0,0.0
501-750,mkt_vol_30d,22751,38953,0.04793,0.04842,-0.0268
501-750,btc_ret_1d,22812,39487,0.00344,0.00371,-0.0096
501-750,eth_ret_1d,22812,39487,0.006,0.006,0.0002
501-750,top500_breadth_30d,23099,39999,0.232,0.218,0.0602
501-750,band_breadth,23099,39999,0.528,0.528,0.0
501-750,band_dispersion,23099,39999,0.08123,0.0806,0.0
501-750,band_tail_share,23099,39999,0.04,0.04,0.0
501-750,listing_age_days,23099,39999,963.0,956.0,0.0093
501-750,ret_3d,23099,39999,0.03314,0.03258,0.0003
501-750,ret_14d,23099,39999,-0.08179,-0.09113,0.0828
751-1000,volume_24h_usd,27879,41148,436877.77,316929.47,0.0041
751-1000,rank_vel_7d,28557,42589,-5.0,-5.0,0.0
751-1000,mkt_vol_30d,28051,41354,0.04836,0.04881,-0.024
751-1000,btc_ret_1d,28243,41997,0.00331,0.00364,-0.0118
751-1000,eth_ret_1d,28243,41997,0.006,0.00583,0.0044
751-1000,top500_breadth_30d,28557,42589,0.254,0.23,0.0992
751-1000,band_breadth,28557,42589,0.504,0.504,0.0
751-1000,band_dispersion,28557,42589,0.0917,0.09337,-0.0
751-1000,band_tail_share,28557,42589,0.048,0.052,-0.0816
751-1000,listing_age_days,28557,42589,887.0,907.0,-0.0264
751-1000,ret_3d,28557,42589,0.03603,0.03344,0.0002
751-1000,ret_14d,28556,42589,-0.09274,-0.09854,0.0498
1001-1500,volume_24h_usd,53972,83627,146541.29,107735.57,0.0012
1001-1500,rank_vel_7d,56642,90105,-7.0,-6.0,-0.0139
1001-1500,mkt_vol_30d,55519,87560,0.04841,0.04903,-0.0335
1001-1500,btc_ret_1d,55935,88854,0.00319,0.0035,-0.0109
1001-1500,eth_ret_1d,55935,88854,0.00551,0.00549,0.0007
1001-1500,top500_breadth_30d,56642,90105,0.268,0.238,0.122
1001-1500,band_breadth,56642,90105,0.494,0.498,-0.0235
1001-1500,band_dispersion,56642,90105,0.13095,0.1403,-0.0097
1001-1500,band_tail_share,56642,90105,0.06,0.06,0.0
1001-1500,listing_age_days,56642,90105,872.0,939.0,-0.0892
1001-1500,ret_3d,56642,90105,0.03711,0.03533,0.0032
1001-1500,ret_14d,56642,90105,-0.09695,-0.10268,0.044
1501-2000,volume_24h_usd,49672,81698,40797.005,24070.36,0.0029
1501-2000,rank_vel_7d,55551,94964,-10.0,-7.0,-0.0373
1501-2000,mkt_vol_30d,54464,92370,0.0482,0.04877,-0.0308
1501-2000,btc_ret_1d,54877,93471,0.00319,0.00302,0.0059
1501-2000,eth_ret_1d,54877,93471,0.00539,0.00535,0.0012
1501-2000,top500_breadth_30d,55551,94964,0.28,0.244,0.1443
1501-2000,band_breadth,55551,94964,0.476,0.474,0.0121
1501-2000,band_dispersion,55551,94964,0.12088,0.12554,-0.001
1501-2000,band_tail_share,55551,94964,0.076,0.078,-0.0327
1501-2000,listing_age_days,55551,94964,923.0,998.0,-0.1018
1501-2000,ret_3d,55551,94964,0.0391,0.03684,0.0109
1501-2000,ret_14d,55550,94961,-0.10987,-0.11429,0.028
