rank_band,sign,n,P_rev_7d,median_giveback_pct,P_cont_7d,median_fwd7_sigma
501-750,UP,29945,0.5955,0.1958,0.4015,-0.4261
501-750,DOWN,19824,0.5035,0.0101,0.4919,0.0351
751-1000,UP,28988,0.554,0.118,0.443,-0.2439
751-1000,DOWN,21615,0.5328,0.0902,0.4593,0.1251
1001-1500,UP,55554,0.5461,0.0923,0.45,-0.1673
1001-1500,DOWN,43616,0.5758,0.2152,0.4177,0.288
1501-2000,UP,47520,0.5178,0.0308,0.4737,-0.0502
1501-2000,DOWN,47647,0.6425,0.4283,0.3461,0.5978
