rank_band,depth_rank_mid,mean_dispersion,p95_dispersion,mean_extreme_share,mean_breadth,corr_band_btc,mean_shmc_share,mean_rank_migration
501-750,625,0.04969,0.09479,0.10313,0.4756,0.8117,0.1907,-2.4793
751-1000,875,0.05162,0.09458,0.10442,0.4561,0.8285,0.1928,-7.3291
1001-1500,1250,0.05507,0.10448,0.1021,0.4502,0.8644,0.1941,-9.5166
1501-2000,1750,0.05428,0.10144,0.10195,0.4433,0.8822,0.1988,-13.3778
