band,atom,streak_len,date,subperiod,tail_after,revert
501-750,VOL_EXPANSION,2,2020-10-20,2020-2021,True,False
501-750,VOL_EXPANSION,6,2020-10-27,2020-2021,False,True
501-750,VOL_EXPANSION,4,2020-11-23,2020-2021,False,False
501-750,VOL_EXPANSION,2,2020-12-01,2020-2021,False,False
501-750,VOL_EXPANSION,2,2020-12-16,2020-2021,True,True
501-750,VOL_EXPANSION,2,2020-12-23,2020-2021,False,False
501-750,VOL_EXPANSION,3,2020-12-26,2020-2021,False,True
501-750,VOL_EXPANSION,12,2020-12-30,2020-2021,False,False
501-750,VOL_EXPANSION,6,2021-01-13,2020-2021,False,False
501-750,VOL_EXPANSION,4,2021-01-21,2020-2021,False,True
501-750,VOL_EXPANSION,3,2021-01-27,2020-2021,False,False
501-750,VOL_EXPANSION,30,2021-01-31,2020-2021,False,True
501-750,VOL_EXPANSION,4,2021-03-03,2020-2021,False,False
501-750,VOL_EXPANSION,34,2021-03-08,2020-2021,False,True
501-750,VOL_EXPANSION,3,2021-04-12,2020-2021,False,True
501-750,VOL_EXPANSION,7,2021-04-18,2020-2021,False,False
501-750,VOL_EXPANSION,2,2021-04-26,2020-2021,False,True
501-750,VOL_EXPANSION,5,2021-05-02,2020-2021,False,False
501-750,VOL_EXPANSION,4,2021-05-12,2020-2021,False,False
501-750,VOL_EXPANSION,10,2021-05-17,2020-2021,False,True
501-750,VOL_EXPANSION,3,2021-06-21,2020-2021,False,False
501-750,VOL_EXPANSION,2,2021-09-06,2020-2021,False,False
501-750,VOL_EXPANSION,3,2021-09-20,2020-2021,False,False
501-750,VOL_EXPANSION,4,2021-10-27,2020-2021,False,True
501-750,VOL_EXPANSION,2,2021-11-02,2020-2021,False,True
501-750,VOL_EXPANSION,2,2021-11-10,2020-2021,False,True
501-750,VOL_EXPANSION,3,2021-11-18,2020-2021,False,True
501-750,VOL_EXPANSION,4,2021-11-22,2020-2021,False,True
501-750,VOL_EXPANSION,6,2021-12-02,2020-2021,False,False
501-750,VOL_EXPANSION,2,2022-03-31,2022,False,True
501-750,VOL_EXPANSION,2,2022-04-29,2022,False,True
501-750,VOL_EXPANSION,11,2022-05-09,2022,False,True
501-750,VOL_EXPANSION,6,2022-06-11,2022,False,True
501-750,VOL_EXPANSION,2,2022-06-18,2022,False,False
501-750,VOL_EXPANSION,2,2022-06-23,2022,False,False
501-750,VOL_EXPANSION,2,2022-06-29,2022,False,False
501-750,VOL_EXPANSION,3,2022-09-17,2022,False,True
501-750,VOL_EXPANSION,2,2022-11-03,2022,True,False
501-750,VOL_EXPANSION,8,2022-11-08,2022,False,True
501-750,VOL_EXPANSION,4,2022-11-20,2022,False,True
501-750,VOL_EXPANSION,2,2022-12-19,2022,False,True
501-750,VOL_EXPANSION,2,2023-01-13,2023,False,False
501-750,VOL_EXPANSION,3,2023-01-18,2023,False,True
501-750,VOL_EXPANSION,2,2023-01-23,2023,False,True
501-750,VOL_EXPANSION,2,2023-01-26,2023,False,True
501-750,VOL_EXPANSION,2,2023-01-29,2023,False,True
501-750,VOL_EXPANSION,11,2023-02-01,2023,False,True
501-750,VOL_EXPANSION,12,2023-02-13,2023,False,False
501-750,VOL_EXPANSION,4,2023-02-28,2023,False,False
501-750,VOL_EXPANSION,12,2023-03-07,2023,False,True
501-750,VOL_EXPANSION,3,2023-03-20,2023,False,True
501-750,VOL_EXPANSION,2,2023-04-10,2023,False,False
501-750,VOL_EXPANSION,4,2023-04-18,2023,False,True
501-750,VOL_EXPANSION,5,2023-05-08,2023,False,True
501-750,VOL_EXPANSION,2,2023-06-06,2023,True,True
501-750,VOL_EXPANSION,2,2023-06-13,2023,False,True
501-750,VOL_EXPANSION,2,2023-06-23,2023,False,
501-750,VOL_EXPANSION,2,2023-07-13,2023,False,True
501-750,VOL_EXPANSION,2,2023-07-24,2023,False,False
501-750,VOL_EXPANSION,4,2023-08-15,2023,False,
501-750,VOL_EXPANSION,2,2023-08-21,2023,False,True
501-750,VOL_EXPANSION,2,2023-09-10,2023,False,True
501-750,VOL_EXPANSION,4,2023-10-23,2023,False,True
501-750,VOL_EXPANSION,4,2023-10-30,2023,True,True
501-750,VOL_EXPANSION,63,2023-11-04,2023,False,True
501-750,VOL_EXPANSION,7,2024-01-17,2024,False,True
501-750,VOL_EXPANSION,2,2024-01-25,2024,False,False
501-750,VOL_EXPANSION,55,2024-02-11,2024,False,True
501-750,VOL_EXPANSION,14,2024-04-07,2024,False,True
501-750,VOL_EXPANSION,2,2024-04-23,2024,False,False
501-750,VOL_EXPANSION,4,2024-04-30,2024,False,False
501-750,VOL_EXPANSION,2,2024-05-08,2024,False,True
501-750,VOL_EXPANSION,2,2024-05-14,2024,False,True
501-750,VOL_EXPANSION,2,2024-06-07,2024,False,True
501-750,VOL_EXPANSION,2,2024-06-17,2024,False,True
501-750,VOL_EXPANSION,6,2024-07-03,2024,False,False
501-750,VOL_EXPANSION,7,2024-08-02,2024,False,True
501-750,VOL_EXPANSION,2,2024-08-11,2024,True,False
501-750,VOL_EXPANSION,3,2024-08-16,2024,False,False
