band,n_exits_valid,frac_7d_disp_rise,frac_7d_disp_fall,n_rise,n_fall
501-750,125,0.28,0.72,35,90
751-1000,125,0.256,0.744,32,93
1001-1500,125,0.248,0.752,31,94
1501-2000,125,0.264,0.736,33,92
