rank_band,corr_band_btc_sameday,corr_band_eth_sameday,corr_band_mkt_sameday,corr_band_disp_lag0,n_events,frac_event_co_btc,frac_event_co_eth,frac_event_co_mkt,frac_events_btc_up
501-750,0.8107,0.8506,0.0745,-0.0022,52855,0.6247,0.6374,0.6599,0.4904
751-1000,0.8283,0.864,0.0779,0.0592,57018,0.5762,0.5845,0.6003,0.4943
1001-1500,0.8629,0.8782,0.0896,0.0099,113403,0.5437,0.553,0.5678,0.4966
1501-2000,0.8742,0.8573,0.0752,0.0137,106212,0.53,0.5339,0.5513,0.4986
