pair,feature,success_mean,failure_mean,cohend,n_success,n_failure
TRUE+EARLY_RECOVERY vs TRUE+NO_RECOVERY,z1,3.931,4.9815,-0.014,390,1567
TRUE+EARLY_RECOVERY vs TRUE+NO_RECOVERY,rank,462.5846,506.4008,-0.062,390,1567
TRUE+EARLY_RECOVERY vs TRUE+NO_RECOVERY,vol_63d,0.0584,0.0657,-0.083,390,1567
TRUE+EARLY_RECOVERY vs TRUE+NO_RECOVERY,turnover,0.3454,0.3385,0.002,390,1567
TRUE+EARLY_RECOVERY vs TRUE+NO_RECOVERY,rank_vel_7d,-37.0103,-24.2463,-0.073,390,1567
TRUE+EARLY_RECOVERY vs TRUE+NO_RECOVERY,top500_breadth_30d,0.387,0.3728,0.027,390,1567
TRUE+EARLY_RECOVERY vs TRUE+NO_RECOVERY,top500_dispersion_30d,0.5775,0.6281,-0.009,390,1567
FALSE+PEER_RECOVERY vs FALSE+PEER_CONTAGION,z1,3.6176,3.0181,0.047,313,182
FALSE+PEER_RECOVERY vs FALSE+PEER_CONTAGION,rank,318.5335,322.5714,-0.007,313,182
FALSE+PEER_RECOVERY vs FALSE+PEER_CONTAGION,vol_63d,0.0087,0.0152,-0.142,313,182
FALSE+PEER_RECOVERY vs FALSE+PEER_CONTAGION,turnover,0.2328,0.1914,0.027,313,182
FALSE+PEER_RECOVERY vs FALSE+PEER_CONTAGION,rank_vel_7d,-1.2907,2.0604,-0.023,313,182
FALSE+PEER_RECOVERY vs FALSE+PEER_CONTAGION,top500_breadth_30d,0.4045,0.4234,-0.035,313,182
FALSE+PEER_RECOVERY vs FALSE+PEER_CONTAGION,top500_dispersion_30d,0.4467,1.1656,-0.094,313,182
