cell,age_band,loner,n,p_1s_recovery_7d,p_reversal_7d,p_new_low_30d,p_rank_repair_30d
HH,AGE_1,TRUE,63,0.2698,0.4127,0.381,0.5556
HH,AGE_1,FALSE,19,0.0,0.7895,0.7368,0.5789
HH,AGE_2_3,TRUE,73,0.2055,0.4247,0.3562,0.6575
HH,AGE_2_3,FALSE,18,0.1111,0.6111,0.5,0.6111
HH,AGE_4_7,TRUE,111,0.2072,0.4955,0.4324,0.6306
HH,AGE_4_7,FALSE,30,0.2333,0.5667,0.5667,0.6667
HH,AGE_8_14,TRUE,112,0.2054,0.4464,0.4375,0.6518
HH,AGE_8_14,FALSE,37,0.1351,0.5676,0.5405,0.6757
HH,AGE_15_PLUS,TRUE,323,0.2105,0.4768,0.3808,0.6285
HH,AGE_15_PLUS,FALSE,109,0.0734,0.6147,0.5505,0.4679
HL,AGE_1,TRUE,96,0.1562,0.4375,0.3542,0.4688
HL,AGE_1,FALSE,15,0.0667,0.6,0.8667,0.4667
HL,AGE_2_3,TRUE,94,0.2128,0.3936,0.3404,0.5851
HL,AGE_2_3,FALSE,25,0.08,0.6,0.56,0.48
HL,AGE_4_7,TRUE,81,0.1481,0.5432,0.4074,0.6173
HL,AGE_4_7,FALSE,20,0.2,0.65,0.6,0.55
HL,AGE_8_14,TRUE,22,0.2727,0.4091,0.3636,0.5455
LH,AGE_1,TRUE,56,0.25,0.3571,0.375,0.6071
LH,AGE_1,FALSE,12,0.25,0.4167,0.5,0.4167
LH,AGE_2_3,TRUE,55,0.2545,0.4727,0.3818,0.6364
LH,AGE_4_7,TRUE,71,0.2113,0.4085,0.3662,0.662
LH,AGE_8_14,TRUE,53,0.2075,0.4528,0.3774,0.566
LH,AGE_15_PLUS,TRUE,24,0.25,0.4167,0.3333,0.625
LL,AGE_1,TRUE,97,0.1546,0.5464,0.4536,0.5052
LL,AGE_1,FALSE,25,0.2,0.52,0.64,0.52
LL,AGE_2_3,TRUE,79,0.1899,0.4304,0.3797,0.6329
LL,AGE_2_3,FALSE,25,0.08,0.72,0.8,0.52
LL,AGE_4_7,TRUE,118,0.178,0.4322,0.4237,0.5763
LL,AGE_4_7,FALSE,28,0.0,0.7857,0.7857,0.3214
LL,AGE_8_14,TRUE,149,0.1879,0.4698,0.3758,0.604
LL,AGE_8_14,FALSE,36,0.1111,0.7222,0.6944,0.6389
LL,AGE_15_PLUS,TRUE,271,0.1734,0.4834,0.4354,0.524
LL,AGE_15_PLUS,FALSE,55,0.0727,0.6909,0.6727,0.5455
