horizon,n,median_peer_return,median_global_breadth,median_asset_rank
0,48,-0.00012,0.219,275.5
3,48,-0.02101,0.219,275.5
7,48,-0.05552,0.219,275.5
14,48,-0.09615,0.219,275.5
30,48,-0.09024,0.219,275.5
