from_h,to_h,transition,n
3,7,PDD->PDD,841
3,7,PDD->PDU,304
3,7,PDD->PRD,29
3,7,PDD->PRU,43
3,7,PDU->PDD,210
3,7,PDU->PDU,498
3,7,PDU->PRD,4
3,7,PDU->PRU,78
3,7,PRD->PDD,24
3,7,PRD->PDU,11
3,7,PRD->PRD,13
3,7,PRD->PRU,16
3,7,PRU->PDD,41
3,7,PRU->PDU,93
3,7,PRU->PRD,13
3,7,PRU->PRU,244
7,14,PDD->PDD,793
7,14,PDD->PDU,267
7,14,PDD->PRD,23
7,14,PDD->PRU,33
7,14,PDU->PDD,199
7,14,PDU->PDU,617
7,14,PDU->PRD,6
7,14,PDU->PRU,84
7,14,PRD->PDD,21
7,14,PRD->PDU,5
7,14,PRD->PRD,20
7,14,PRD->PRU,13
7,14,PRU->PDD,38
7,14,PRU->PDU,92
7,14,PRU->PRD,11
7,14,PRU->PRU,240
14,30,PDD->PDD,731
14,30,PDD->PDU,272
14,30,PDD->PRD,12
14,30,PDD->PRU,36
14,30,PDU->PDD,213
14,30,PDU->PDU,670
14,30,PDU->PRD,7
14,30,PDU->PRU,91
14,30,PRD->PDD,14
14,30,PRD->PDU,6
14,30,PRD->PRD,20
14,30,PRD->PRU,20
14,30,PRU->PDD,39
14,30,PRU->PDU,96
14,30,PRU->PRD,11
14,30,PRU->PRU,224
