group,n,p_true_loner,p_false_loner,p_1s_recovery_7d,p_reversal_7d,median_z1
SHMC,141,0.7447,0.2553,0.1135,0.4113,2.275
SHHM,326,0.8405,0.1595,0.1411,0.3436,2.357
