horizon,n,p_peer_negative,median_peer_return,median_asset_return
1,348,0.6523,-0.00357,-0.01745
2,348,0.6954,-0.00941,-0.03068
3,348,0.7471,-0.01788,-0.03017
5,348,0.8534,-0.04187,-0.0497
7,348,1.0,-0.05762,-0.05385
