event_index,peer_med_t0,z1,rank_band,sigma_t0,ret_1d,timing
4730,-0.040157683,2.0118513,26-100,0.02146518,-0.043184754,PEER_LEADS
4746,-0.052424453,2.7976763,26-100,0.02414575,-0.06755199,PEER_LEADS
6362,-0.010614395,2.014434,251-500,0.14672525,-0.29556835,SIMULTANEOUS
9131,-7.065166e-05,3.047526,251-500,0.0005827473,-0.0017759374,SIMULTANEOUS
10392,-0.07575559,2.2466912,26-100,0.040521976,-0.091040365,PEER_LEADS
11820,-0.0064158463,2.643425,26-100,0.03143602,-0.083098754,SIMULTANEOUS
15890,0.00061592826,2.784065,501-750,0.00044402765,-0.0012362018,ASSET_LEADS
22997,-0.00018145118,6.4686303,501-750,0.0033947856,-0.021959612,SIMULTANEOUS
26676,-0.035553724,2.4185166,26-100,0.021255407,-0.051406555,PEER_LEADS
26736,-0.014772658,2.6943483,26-100,0.023738837,-0.063960694,SIMULTANEOUS
28021,0.04992777,3.3167415,26-100,0.007764939,-0.025754295,ASSET_LEADS
32445,-4.053547e-05,3.2119918,251-500,0.005571769,-0.017896477,SIMULTANEOUS
34201,-0.037474792,2.7009735,101-250,0.019312916,-0.052163675,PEER_LEADS
36068,-0.02528115,2.0178468,251-500,0.03088835,-0.062327962,SIMULTANEOUS
38112,0.049302522,2.9861665,501-750,0.1291988,-0.38580915,ASSET_LEADS
38477,-0.032529637,2.093487,26-100,0.04006207,-0.08386943,SIMULTANEOUS
40621,0.010168402,2.87426,26-100,0.00057600066,-0.0016555756,ASSET_LEADS
40628,-0.0072789383,4.4905267,101-250,0.000607311,-0.0027271463,PEER_LEADS
40638,-0.00066020526,4.3438587,26-100,0.0003375894,-0.0014664406,SIMULTANEOUS
40644,-0.0006235847,5.059598,26-100,0.00046560643,-0.0023557814,SIMULTANEOUS
40649,0.00047256323,2.2419555,26-100,0.00031783438,-0.0007125705,ASSET_LEADS
40655,-0.005601724,2.0206594,26-100,0.00035509505,-0.0007175261,PEER_LEADS
40659,-0.00028418674,2.8589172,26-100,0.00026693006,-0.00076313096,SIMULTANEOUS
40660,-0.0071368683,2.1570342,26-100,0.0002841425,-0.0006129051,PEER_LEADS
40673,0.030214068,5.186496,26-100,0.00074495864,-0.0038637249,ASSET_LEADS
40674,-0.015596669,2.2954102,26-100,0.0009035627,-0.002074047,PEER_LEADS
40676,0.010944649,2.667727,26-100,0.0011463155,-0.0030580568,ASSET_LEADS
40703,-0.01109579,5.3061204,26-100,0.0013036892,-0.006917532,PEER_LEADS
40704,-0.002212995,2.9510229,26-100,0.0015792552,-0.0046604183,SIMULTANEOUS
40707,0.0058287065,2.4188416,26-100,0.0022493908,-0.00544092,ASSET_LEADS
40711,0.006376832,3.180688,26-100,0.0027833963,-0.008853115,ASSET_LEADS
40715,-0.015059035,2.9471996,101-250,0.0063955956,-0.018849097,PEER_LEADS
40719,-0.0031061198,2.363796,101-250,0.00072505407,-0.0017138799,PEER_LEADS
40736,7.140792e-05,5.7132893,101-250,0.002836454,-0.016205482,ASSET_LEADS
40738,0.004330734,3.8432002,101-250,0.00030210876,-0.0011610645,ASSET_LEADS
40739,-0.0011005744,6.1596837,101-250,0.0003331789,-0.0020522766,PEER_LEADS
40747,-0.0025839866,2.237735,26-100,0.0004550667,-0.0010183187,PEER_LEADS
40749,-0.0006371606,2.167302,26-100,0.00053809,-0.0011662035,PEER_LEADS
40750,-0.014408544,2.0315478,26-100,0.0005576014,-0.0011327938,PEER_LEADS
40759,-0.002108546,2.2899597,26-100,0.0005615602,-0.0012859503,PEER_LEADS
40763,0.0013578567,5.1974106,26-100,0.0002481258,-0.0012896117,ASSET_LEADS
40764,-0.010718537,2.5835469,26-100,0.00029638637,-0.00076572807,PEER_LEADS
45586,-0.017511835,2.2612941,26-100,0.019690664,-0.044526383,SIMULTANEOUS
45593,-0.022039846,2.0047877,26-100,0.016849501,-0.033779673,PEER_LEADS
49217,-0.0014898547,2.9804122,751-1000,0.082683325,-0.2464304,SIMULTANEOUS
51458,0.008576023,3.6000526,101-250,0.004177453,-0.015039051,ASSET_LEADS
51471,-0.0006692674,2.0898066,101-250,0.005154141,-0.010771158,SIMULTANEOUS
51482,-0.00070533936,4.1652117,251-500,0.0038273486,-0.015941717,SIMULTANEOUS
51523,-0.00059089396,2.9191563,501-750,0.0013732016,-0.0040085902,SIMULTANEOUS
51527,0.00039597126,3.6392078,501-750,0.0030743014,-0.011188022,ASSET_LEADS
51528,-0.00033180692,4.253483,501-750,0.0033661975,-0.014318063,SIMULTANEOUS
51799,-0.032081857,2.6970575,501-750,0.027281445,-0.073579624,SIMULTANEOUS
53253,0.010367661,2.491775,251-500,0.012262159,-0.03055454,ASSET_LEADS
53272,0.0,3.6119776,101-250,0.0046715704,-0.016873607,ASSET_LEADS
53299,-0.004529815,2.052225,101-250,0.0041752313,-0.008568515,PEER_LEADS
53301,-0.003303067,2.806437,101-250,0.004480779,-0.012575025,SIMULTANEOUS
58813,0.0048699253,4.451644,251-500,0.008640225,-0.038463205,ASSET_LEADS
58816,-0.00075542345,2.5660043,251-500,0.012906054,-0.03311699,SIMULTANEOUS
58822,-0.0014433353,2.0169423,251-500,0.0024642507,-0.004970251,SIMULTANEOUS
58824,0.00029654853,2.0628839,101-250,0.002598327,-0.0053600464,ASSET_LEADS
58836,-0.0043049837,2.1728857,101-250,0.0030959686,-0.006727186,PEER_LEADS
58840,-0.00032633293,2.2198746,26-100,0.0036790736,-0.008167082,SIMULTANEOUS
58842,-0.00028207529,2.1776855,26-100,0.00409628,-0.008920409,SIMULTANEOUS
58843,-6.646188e-05,5.297236,26-100,0.0043502403,-0.023044249,SIMULTANEOUS
58846,-0.006759166,4.3584814,26-100,0.006559966,-0.028591491,SIMULTANEOUS
58848,0.003364285,2.5774844,26-100,0.008006867,-0.020637574,ASSET_LEADS
58866,-0.0030458022,2.7007244,251-500,0.0027739503,-0.007491675,SIMULTANEOUS
58889,0.00042054505,3.0189474,501-750,0.0017235483,-0.0052033016,ASSET_LEADS
58891,0.0,3.1403227,251-500,0.0018407325,-0.0057804943,ASSET_LEADS
58894,0.0,2.2987442,501-750,0.00028370772,-0.0006521715,ASSET_LEADS
58902,0.00010708977,2.358922,501-750,0.00039539125,-0.00093269715,ASSET_LEADS
58917,8.063765e-05,2.2032154,501-750,0.0005268001,-0.0011606541,ASSET_LEADS
58919,0.00014999375,2.083584,501-750,0.00055879063,-0.0011642873,ASSET_LEADS
59061,0.0030900454,2.671827,251-500,0.008019532,-0.021426803,ASSET_LEADS
59063,0.0013432456,3.2080705,501-750,0.009228428,-0.029605448,ASSET_LEADS
59250,-0.0057261297,2.2464921,26-100,0.0020997769,-0.004717132,PEER_LEADS
59253,0.0042359526,2.2912698,26-100,0.0025604537,-0.0058666905,ASSET_LEADS
59254,-0.0013408418,2.4949446,26-100,0.0024831921,-0.0061954265,SIMULTANEOUS
59264,-0.0016693523,2.0090637,101-250,0.00061599753,-0.0012375783,PEER_LEADS
