class,horizon,n,p_reversal,p_new_low,p_price_repair_1s,p_rank_repair,median_vol_63d,p_tail_recurrence
TRUE_MULTI_PEER_LONER,1,1957,0.5125,0.5125,0.184,0.4584,0.05367,0.2887
TRUE_MULTI_PEER_LONER,3,1957,0.4911,0.4911,0.1993,0.4803,0.05367,0.2887
TRUE_MULTI_PEER_LONER,7,1957,0.4599,0.4599,0.1972,0.533,0.05367,0.2887
TRUE_MULTI_PEER_LONER,14,1957,0.4216,0.4216,0.1911,0.5652,0.05367,0.2887
TRUE_MULTI_PEER_LONER,30,1957,0.395,0.395,0.188,0.5897,0.05367,0.2887
AMBIGUOUS,1,10,0.5,0.5,0.0,0.1,0.06527,0.5
AMBIGUOUS,3,10,0.7,0.7,0.1,0.4,0.06527,0.5
AMBIGUOUS,7,10,0.5,0.5,0.1,0.6,0.06527,0.5
AMBIGUOUS,14,10,0.7,0.7,0.0,0.3,0.06527,0.5
AMBIGUOUS,30,10,0.4,0.4,0.0,0.5,0.06527,0.5
BEHAVIORAL_FALSE,1,328,0.6707,0.6707,0.1311,0.4024,0.00168,0.2622
BEHAVIORAL_FALSE,3,328,0.6738,0.6738,0.125,0.4848,0.00168,0.2622
BEHAVIORAL_FALSE,7,328,0.6128,0.6128,0.1189,0.4878,0.00168,0.2622
BEHAVIORAL_FALSE,14,328,0.6463,0.6463,0.1067,0.4939,0.00168,0.2622
BEHAVIORAL_FALSE,30,328,0.6159,0.6159,0.1006,0.497,0.00168,0.2622
CORR_FALSE,1,161,0.6273,0.6273,0.1242,0.323,0.00582,0.2609
CORR_FALSE,3,161,0.6273,0.6273,0.1366,0.472,0.00582,0.2609
CORR_FALSE,7,161,0.6832,0.6832,0.087,0.472,0.00582,0.2609
CORR_FALSE,14,161,0.6335,0.6335,0.1304,0.4969,0.00582,0.2609
CORR_FALSE,30,161,0.6398,0.6398,0.118,0.5714,0.00582,0.2609
