initial_amp,recovery_amp_sigma,n,p_reached_by_7d,median_days_to_reach
2s,0.5,1762,0.5897,2.0
2s,1.0,1762,0.4654,3.0
2s,2.0,1762,0.2889,7.0
2s,3.0,1762,0.1782,10.0
3s,0.5,387,0.5375,2.0
3s,1.0,387,0.4832,3.0
3s,2.0,387,0.3463,5.0
3s,3.0,387,0.2248,7.0
4s+,0.5,313,0.5655,2.0
4s+,1.0,313,0.5016,2.0
4s+,2.0,313,0.3994,3.0
4s+,3.0,313,0.3419,5.0
