rank_band,n_events,true_loner_freq,false_loner_freq,ambiguous_freq,peer_cohesion_med
26-100,382,0.623,0.3743,0.0026,3.0
101-250,566,0.735,0.2562,0.0088,4.0
251-500,537,0.8175,0.1788,0.0037,4.0
501-750,465,0.8581,0.1398,0.0022,4.0
751-1000,400,0.905,0.0925,0.0025,5.0
1001-1500,82,0.9024,0.0976,0.0,4.0
1501-2000,30,0.9667,0.0333,0.0,5.0
TOP_500,1485,0.736,0.2586,0.0054,4.0
501_1000,865,0.8798,0.1179,0.0023,5.0
1001_2000,112,0.9196,0.0804,0.0,5.0
