patch,n_events,internal_dispersion_proxy,same_sign_coherence,rank50_beh10_overlap_jaccard,median_z1,tail_sync_share,median_rank_vel_7d,reversal_7d,false_loner_density
26-100,9433,0.0839,1.0,0.0187,2.608,0.341,1.0,0.5253,0.3743
101-250,18525,0.1468,0.913,0.0187,2.66,0.3691,2.0,0.5368,0.2562
251-500,30764,0.2024,0.6667,0.0187,2.682,0.3801,8.0,0.5549,0.1788
501-750,30500,0.2294,0.6,0.0187,2.712,0.3969,10.0,0.5635,0.1398
751-1000,30635,0.2756,0.5385,0.0187,2.74,0.4099,11.0,0.566,0.0925
1001-1500,61458,0.434,0.4595,0.0187,2.757,0.416,10.0,0.5797,0.0976
1501-2000,60131,0.3832,0.3333,0.0187,2.767,0.4143,-4.0,0.5657,0.0333
