horizon,rank_region,state,n,pct
3,26-500,PRICE_UP_RANK_UP,230,0.1549
3,26-500,PRICE_UP_RANK_DOWN,49,0.033
3,26-500,PRICE_DOWN_RANK_UP,471,0.3172
3,26-500,PRICE_DOWN_RANK_DOWN,735,0.4949
3,501-1000,PRICE_UP_RANK_UP,145,0.1676
3,501-1000,PRICE_UP_RANK_DOWN,15,0.0173
3,501-1000,PRICE_DOWN_RANK_UP,292,0.3376
3,501-1000,PRICE_DOWN_RANK_DOWN,413,0.4775
3,1001-2000,PRICE_UP_RANK_UP,16,0.1429
3,1001-2000,PRICE_UP_RANK_DOWN,0,0.0
3,1001-2000,PRICE_DOWN_RANK_UP,27,0.2411
3,1001-2000,PRICE_DOWN_RANK_DOWN,69,0.6161
7,26-500,PRICE_UP_RANK_UP,236,0.1589
7,26-500,PRICE_UP_RANK_DOWN,43,0.029
7,26-500,PRICE_DOWN_RANK_UP,526,0.3542
7,26-500,PRICE_DOWN_RANK_DOWN,680,0.4579
7,501-1000,PRICE_UP_RANK_UP,134,0.1549
7,501-1000,PRICE_UP_RANK_DOWN,13,0.015
7,501-1000,PRICE_DOWN_RANK_UP,346,0.4
7,501-1000,PRICE_DOWN_RANK_DOWN,372,0.4301
7,1001-2000,PRICE_UP_RANK_UP,11,0.0982
7,1001-2000,PRICE_UP_RANK_DOWN,3,0.0268
7,1001-2000,PRICE_DOWN_RANK_UP,34,0.3036
7,1001-2000,PRICE_DOWN_RANK_DOWN,64,0.5714
14,26-500,PRICE_UP_RANK_UP,230,0.1549
14,26-500,PRICE_UP_RANK_DOWN,42,0.0283
14,26-500,PRICE_DOWN_RANK_UP,593,0.3993
14,26-500,PRICE_DOWN_RANK_DOWN,620,0.4175
14,501-1000,PRICE_UP_RANK_UP,131,0.1514
14,501-1000,PRICE_UP_RANK_DOWN,17,0.0197
14,501-1000,PRICE_DOWN_RANK_UP,347,0.4012
14,501-1000,PRICE_DOWN_RANK_DOWN,370,0.4277
14,1001-2000,PRICE_UP_RANK_UP,9,0.0804
14,1001-2000,PRICE_UP_RANK_DOWN,1,0.0089
14,1001-2000,PRICE_DOWN_RANK_UP,41,0.3661
14,1001-2000,PRICE_DOWN_RANK_DOWN,61,0.5446
30,26-500,PRICE_UP_RANK_UP,233,0.1569
30,26-500,PRICE_UP_RANK_DOWN,32,0.0215
30,26-500,PRICE_DOWN_RANK_UP,620,0.4175
30,26-500,PRICE_DOWN_RANK_DOWN,600,0.404
30,501-1000,PRICE_UP_RANK_UP,133,0.1538
30,501-1000,PRICE_UP_RANK_DOWN,17,0.0197
30,501-1000,PRICE_DOWN_RANK_UP,374,0.4324
30,501-1000,PRICE_DOWN_RANK_DOWN,341,0.3942
30,1001-2000,PRICE_UP_RANK_UP,5,0.0446
30,1001-2000,PRICE_UP_RANK_DOWN,1,0.0089
30,1001-2000,PRICE_DOWN_RANK_UP,50,0.4464
30,1001-2000,PRICE_DOWN_RANK_DOWN,56,0.5
