sequence,n,pct
PRICE_REPAIR,46,0.2434
2SIGMA->PRICE_REPAIR,32,0.1693
STABILIZATION->1SIGMA->2SIGMA->PRICE_REPAIR,28,0.1481
1SIGMA->2SIGMA->PRICE_REPAIR,16,0.0847
2SIGMA,14,0.0741
STABILIZATION->1SIGMA->2SIGMA,11,0.0582
1SIGMA->2SIGMA,9,0.0476
STABILIZATION->2SIGMA->PRICE_REPAIR,7,0.037
STABILIZATION->1SIGMA,6,0.0317
STABILIZATION->1SIGMA->PRICE_REPAIR,5,0.0265
