class,checkpoint,n,p_checkpoint,p_full_repair_30d,p_new_low_30d,p_rank_recovery_30d
TRUE_MULTI_PEER_LONER,1S_BY_1D,1957,0.184,0.35,0.2028,0.7028
TRUE_MULTI_PEER_LONER,1S_BY_3D,1957,0.2969,0.3546,0.1979,0.7298
TRUE_MULTI_PEER_LONER,1S_BY_7D,1957,0.3746,0.3602,0.176,0.7408
TRUE_MULTI_PEER_LONER,2S_BY_3D,1957,0.1686,0.4545,0.1606,0.7364
TRUE_MULTI_PEER_LONER,2S_BY_7D,1957,0.2586,0.4506,0.1225,0.7628
TRUE_MULTI_PEER_LONER,2S_BY_14D,1957,0.3306,0.4575,0.0757,0.796
TRUE_MULTI_PEER_LONER,3S_BY_7D,1957,0.1732,0.5605,0.0767,0.7758
TRUE_MULTI_PEER_LONER,3S_BY_14D,1957,0.2463,0.5581,0.0539,0.8071
TRUE_MULTI_PEER_LONER,3S_BY_30D,1957,0.3413,0.5509,0.0,0.8683
BEHAVIORAL_FALSE,1S_BY_1D,328,0.1311,0.2558,0.3488,0.5116
BEHAVIORAL_FALSE,1S_BY_3D,328,0.1951,0.3281,0.25,0.625
BEHAVIORAL_FALSE,1S_BY_7D,328,0.2287,0.3333,0.2133,0.56
BEHAVIORAL_FALSE,2S_BY_3D,328,0.1098,0.4444,0.2222,0.6667
BEHAVIORAL_FALSE,2S_BY_7D,328,0.1555,0.4902,0.1176,0.6078
BEHAVIORAL_FALSE,2S_BY_14D,328,0.1585,0.4615,0.2115,0.5962
BEHAVIORAL_FALSE,3S_BY_7D,328,0.1037,0.6176,0.1176,0.6471
BEHAVIORAL_FALSE,3S_BY_14D,328,0.122,0.55,0.125,0.65
BEHAVIORAL_FALSE,3S_BY_30D,328,0.1555,0.6471,0.0,0.7059
CORR_FALSE,1S_BY_1D,161,0.1242,0.3,0.55,0.75
CORR_FALSE,1S_BY_3D,161,0.1863,0.3333,0.4667,0.7333
CORR_FALSE,1S_BY_7D,161,0.1801,0.4138,0.3448,0.7586
CORR_FALSE,2S_BY_3D,161,0.1056,0.4706,0.3529,0.7647
CORR_FALSE,2S_BY_7D,161,0.1056,0.5882,0.2941,1.0
CORR_FALSE,2S_BY_14D,161,0.205,0.4848,0.2121,0.7576
CORR_FALSE,3S_BY_7D,161,0.087,0.6429,0.2857,1.0
CORR_FALSE,3S_BY_14D,161,0.1801,0.5517,0.2414,0.7586
CORR_FALSE,3S_BY_30D,161,0.2112,0.5588,0.0,0.7941
